method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,handover_attempts,handover_committed,handover_aborted,handover_radio_failures,migration_rejections,reconnection_attempts,reconnections,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,failed_tasks,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_mec_load_fairness,reachable_jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,resolved_tasks,pending_tasks,total_tasks,completed_tasks,deadline_violations,energy_per_resolved_task,energy_per_successful_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_task_success,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_attn_latency_priority_multiuser_u20,HAN+Attn,True,10,136.91656635522523,5.590224445824803,1.0499507755188193,0.8040563037630124,2.07684714521043,580.0329213547269,1.0,0.0,0.5822699475062632,10240.0,182.4,0.0178125,22.8000008225441,205.2000004887581,16.1,16.1,16.1,0.0,0.0,0.0,21.9,21.9,0.0,0.9799609374522695,0.9821874999999999,0.9550028971801598,0.954869856869007,0.04499035672243448,0.9998602135914417,0.9998602135914417,0.00013978640855826112,0.04487861107839574,0.4,0.0015722656249999999,0.0943359375,0.08588111619683138,0.48862194356586724,2105,0.48862194356586724,0.4677916331403284,0.017144901122200448,0.4677916331403284,0.48862194356586724,0.48862194356586724,3572.2,0.5,3572.7,3411.7,160.1,0.16237414516396811,0.17001287374468063,0.0037109375,0.0,0.705035924911499,170.58500000000453,-20.18806370675305,-2.377370032762463,-8.024999999999993,-3.0780001249164344,0.0,reward,136.91656635522523,2,P95 Successful-Task Delay | Service Continuity,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u20_multiuser_20260730/training_history.json,checkpoint_eval
han_pdqn,HAN+PDQN,False,10,139.07369294847012,3.947574613359774,1.0196446962925678,0.8084633074312236,2.338311228426684,391.3901916611759,0.7741009575048083,0.22589904249519166,0.3389404843519007,10240.0,186.4,0.018203125,37.800001335144046,224.2000009536743,80.6,80.6,44.1,36.5,38.9,0.2,21.5,18.9,36.5,0.9781054686568679,0.981796875,0.9597310389550827,0.959382994699457,0.04025408435823375,0.9996370790576906,0.9996370790576906,0.0003629209423093811,0.04014220196001149,0.4,0.004306640624999999,0.2583984375,0.08356666027302287,0.49895076321701987,2072,0.49895076321701987,0.48508268821992473,0.02959908678587429,0.48508268821992473,0.49895076321701987,0.49895076321701987,3571.4,1.3,3572.7,3427.7,143.3,0.10959013038617234,0.11418449446018494,0.009970703125,0.26673828125,0.6904404163360596,171.3850000000047,-19.838634120454266,-1.5336730970754602,-7.184999999999986,-3.363000137731433,-0.3909999999999994,reward,139.07369294847012,2,Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_20260730/u20/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval
joint_greedy,Joint Greedy,False,10,137.6417689945738,6.565993656707646,1.1101427732656164,0.7777034193181095,2.2240676170676767,388.10356349642836,0.7039374665439206,0.2960625334560794,0.3675694492771152,10240.0,192.6,0.018808593749999998,33.90000133514404,226.50000059604645,54.7,54.7,36.3,18.4,18.5,0.0,20.3,20.2,18.4,0.9778808593167924,0.98119140625,0.9518476531009474,0.9516604495170492,0.04814350332146418,0.9998039528385133,0.9998039528385133,0.00019604716148663876,0.04800429480922834,0.5,0.003544921875,0.2126953125,0.08397217318184227,0.49713071971346057,2194,0.49713071971346057,0.48278607487130876,0.03390896220370311,0.48278607487130876,0.49713071971346057,0.49713071971346057,3572.0,0.7,3572.7,3400.2,171.3,0.1086516135208366,0.11414139271114299,0.00732421875,0.662197265625,0.33521485328674316,170.0100000000044,-18.923500324822164,-1.272230577145884,-8.59,-3.3975001350045204,-0.1850000000000001,reward,137.6417689945738,0,,,,,heuristic_eval
attn_mappo,Attn+MAPPO,False,10,137.34131001862698,5.743968367257227,1.0206144152353942,0.7709998355953881,2.077426135268285,545.9162444475091,0.9199364072819052,0.08006359271809485,0.36934963583631064,10240.0,183.1,0.017880859375,34.860001266002655,217.96000094413756,41.9,41.9,38.5,3.4,6.1,0.0,22.3,19.6,3.4,0.978714843657799,0.9821191406249999,0.9547990944006127,0.9545331322526491,0.04518837726830355,0.9997215095209528,0.9997215095209528,0.00027849047904729185,0.0451328551741319,0.2,0.003759765625,0.2255859375,0.0858825103256401,0.4886157648257631,2054,0.4886157648257631,0.4738777517045956,0.01985640289127325,0.4738777517045956,0.4886157648257631,0.4886157648257631,3571.7,1.0,3572.7,3410.4,161.1,0.15284493223045306,0.16007396330269444,0.00626953125,0.0,0.6374737024307251,170.52000000000453,-19.582176127987033,-2.201113621388851,-8.064999999999996,-3.269400132726878,-0.06100000000000003,reward,137.34131001862698,1,Successful-Task Delay,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_20260730/u20/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
mappo_no_han,MAPPO,False,10,136.7216775198467,4.5343716584766804,1.058119529939629,0.8213684704902429,2.24506263360795,619.2206711822462,1.0,0.0,0.601815411497441,10240.0,188.6,0.018417968750000003,23.94000095129013,212.5400005698204,15.5,15.5,15.5,0.0,2.3,0.0,26.7,24.4,0.0,0.9792441405693534,0.98158203125,0.9559041456577588,0.9557172908819915,0.04408878345222909,0.9998060743342204,0.9998060743342204,0.00019392566577949004,0.04389374701730963,0.7,0.001513671875,0.0908203125,0.0858814217529197,0.4886205893453936,1843,0.4886205893453936,0.46717486273542247,0.01109032403825112,0.46717486273542247,0.4886205893453936,0.4886205893453936,3572.0,0.7,3572.7,3414.6,156.7,0.1733540512828237,0.18134501001061507,0.00412109375,0.0,0.6930279731750488,170.7300000000046,-20.327746862738383,-2.599475641599713,-7.86999999999999,-3.188100127223879,-0.023000000000000013,reward,136.7216775198467,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_20260730/u20/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
pdqn,PDQN,False,10,135.776968833126,4.569310118512409,1.0444987668595194,0.8102289680422393,2.2959020289130194,376.2994264248199,0.7629721829139093,0.23702781708609058,0.04376078021831405,10240.0,169.7,0.016572265625000002,165.30000587701798,335.0000042676926,344.7,344.7,266.8,77.9,77.4,0.5,8.7,8.7,77.9,0.9672851558332332,0.9834277343750001,0.9563723054365075,0.9562124790189014,0.04361969262215921,0.9998321716410606,0.9998321716410606,0.00016782835893934113,0.04359199946236968,0.1,0.0260546875,1.56328125,0.08546349245182362,0.4904751522903963,2409,0.4904751522903963,0.4825756148438226,0.03233646893057057,0.4825756148438226,0.4904751522903963,0.4904751522903963,3572.1,0.6,3572.7,3416.4,155.6,0.10534403472042214,0.1101450141742243,0.03451171875,0.008857421875,0.9873478412628174,170.8200000000046,-20.072707150373944,-1.3813240891981513,-7.784999999999992,-5.025000205729157,-0.7790000000000006,reward,135.776968833126,1,Energy per Successful Task,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_20260730/u20/learned_baselines/pdqn/training_history.json,pdqn_train_eval
random,Random,False,10,99.69352238360734,2.9399405127431377,1.330557573512273,0.9145700484397163,2.67421213510307,492.6551826077959,0.627438039510199,0.3725619604898009,0.0018323512008428528,10240.0,166.6,0.016269531250000004,1076.2200138330459,1242.8200131058693,2815.9,2815.9,1790.4,1025.5,1024.9,0.6,3.3,3.3,1025.5,0.87863085809513,0.9837304687500001,0.9264568344591165,0.9261983424851123,0.07352088836107952,0.9997192308461917,0.9997192308461917,0.00028076915380821236,0.07346556325876442,0.2,0.17484375000000002,10.490625,0.08926586033990207,0.4737704509939855,2718,0.4737704509939855,0.46010757197371,0.015193615079332382,0.46010757197371,0.4737704509939855,0.4737704509939855,3571.7,1.0,3572.7,3309.1,262.4,0.13793296822459777,0.14887890441745366,0.2753125,0.0,1.0,165.4550000000034,-22.291985639150862,-1.4421918433183336,-13.130000000000052,-18.642300928663463,-10.254999999999825,reward,99.69352238360734,0,,1.0,random(best_offload=1.00),,heuristic_eval
min_distance,Min-Distance,False,10,74.74605914127751,3.5090550598082335,1.329627564187159,0.9213137942398291,2.7239149436933427,489.0411985689792,0.6276786010218998,0.37232139897810024,0.0009320738975145867,10240.0,163.8,0.015996093749999996,2110.5600422859193,2274.360056900978,5526.8,5526.8,3514.3,2012.5,2009.4,3.1,3.3,3.3,2012.5,0.7778945256932639,0.9840039062499999,0.9279244924927671,0.9277437805665242,0.07206002228021016,0.9998038028467343,0.9998038028467343,0.0001961971532655823,0.0720323903376846,0.1,0.343193359375,20.5916015625,0.0899553501087952,0.4707813830257005,2680,0.4707813830257005,0.4604020024393761,0.01734234787958776,0.4604020024393761,0.4707813830257005,0.4707813830257005,3572.0,0.7,3572.7,3314.6,257.3,0.13690963005850482,0.14754154304259315,0.540048828125,0.0,1.0,165.73000000000343,-22.429945291071096,-1.4435941865650146,-12.870000000000047,-34.11540270671249,-20.125000000000348,reward,74.74605914127751,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
full_local,Full-Local,False,10,-236.29065583064803,35.01993237844012,4.500227163829568,2.366082533032736,4.610404820611931,549.4446721465204,0.0,0.0,1.0,10240.0,7285.4,0.7114648437500001,0.0,7285.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28853515625000004,0.28853515625000004,0.18000572959008196,0.17872208451645177,0.8141682146910905,0.9928902992075421,0.9928902992075421,0.0071097007924578615,0.8141682146910905,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3547.3,25.4,3572.7,637.6,2909.7,0.15489095146915127,0.8617388208069642,0.0,1.0,0.0,31.88000000000004,-12.462069785174238,-0.9425884514742677,-145.48499999999922,-109.28101275414228,0.0,reward,-236.29065583064803,0,,,,,heuristic_eval
