method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,220.09669968916768,2.4093202033922654,2008.4300620066313,0.8095238095238095,0.19047619047619047,0.0,0.98013,0.98265,0.5251327233706088,1.0,0.0,0.6202703796203793,0.47486727662939116,8853.0,4649.0,4204.0,
han_mappo_latency_priority,HAN+MAPPO,2,215.5096683826029,2.437716293592188,2051.623855088101,0.7472527472527473,0.25274725274725274,0.0,0.9795699999999999,0.9823,0.5230435774583618,1.0,0.0,0.6172292679542677,0.47695642254163817,8766.0,4585.0,4181.0,
han_mappo_latency_priority,HAN+MAPPO,3,189.30740145920535,2.411532082328454,1998.7287186607655,0.8717948717948718,0.1282051282051282,0.0,0.98061,0.98295,0.5107030193780983,1.0,0.0,0.6160784271284269,0.48929698062190174,8876.0,4533.0,4343.0,
han_mappo_latency_priority,HAN+MAPPO,4,209.28648293087988,2.437420841541453,2050.2288685690996,0.7666666666666667,0.23333333333333334,0.0,0.9797,0.9824,0.5212984054669704,1.0,0.0,0.6092864942619997,0.47870159453302963,8780.0,4577.0,4203.0,
han_mappo_latency_priority,HAN+MAPPO,5,211.40666542298868,2.4268978762483924,2061.161548646507,0.8607594936708861,0.13924050632911392,0.0,0.98053,0.9829,0.5211916807195054,1.0,0.0,0.6178194777444774,0.47880831928049467,8895.0,4636.0,4259.0,
max_elev,Max-Elev,1,282.8234777334992,2.2358236485567886,813.7171806100323,0.7525773195876289,0.24742268041237114,0.0,0.97934,0.98225,0.5437902587863035,1.0,0.0,0.6906305139305139,0.45620974121369645,8849.0,4812.0,4037.0,1.0
max_elev,Max-Elev,2,286.01363956372546,2.2451819851156904,818.3281217166942,0.7156862745098039,0.28431372549019607,0.0,0.9789399999999999,0.982,0.5433070866141733,0.9996577686516085,0.00034223134839151266,0.6927661685536685,0.4566929133858268,8763.0,4761.0,4002.0,1.0
max_elev,Max-Elev,3,253.92399910369255,2.2382742152367365,804.6116779850616,0.7849462365591398,0.21505376344086022,0.0,0.97966,0.98245,0.5310842829741622,0.9998871841155235,0.0001128158844765343,0.6908110389610403,0.46891571702583773,8863.0,4707.0,4156.0,1.0
max_elev,Max-Elev,4,283.34335601244345,2.238542128487842,828.4489794613668,0.7934782608695652,0.20652173913043478,0.0,0.9797399999999999,0.9825,0.542407660738714,0.9998860139063034,0.00011398609369656902,0.6927338300588308,0.4575923392612859,8772.0,4758.0,4014.0,1.0
max_elev,Max-Elev,5,280.32024703068237,2.2419615711761876,830.7934142379374,0.7448979591836735,0.25510204081632654,0.0,0.97926,0.9822,0.54181654676259,1.0,0.0,0.6898545954045955,0.45818345323741005,8896.0,4820.0,4076.0,1.0
min_distance,Min-Distance,1,282.8234777334992,2.2358236485567886,813.7171806100323,0.7525773195876289,0.24742268041237114,0.0,0.97934,0.98225,0.5437902587863035,1.0,0.0,0.6906305139305139,0.45620974121369645,8849.0,4812.0,4037.0,1.0
min_distance,Min-Distance,2,286.01363956372546,2.2451819851156904,818.3281217166942,0.7156862745098039,0.28431372549019607,0.0,0.9789399999999999,0.982,0.5433070866141733,0.9996577686516085,0.00034223134839151266,0.6927661685536685,0.4566929133858268,8763.0,4761.0,4002.0,1.0
min_distance,Min-Distance,3,253.92399910369255,2.2382742152367365,804.6116779850616,0.7849462365591398,0.21505376344086022,0.0,0.97966,0.98245,0.5310842829741622,0.9998871841155235,0.0001128158844765343,0.6908110389610403,0.46891571702583773,8863.0,4707.0,4156.0,1.0
min_distance,Min-Distance,4,283.34335601244345,2.238542128487842,828.4489794613668,0.7934782608695652,0.20652173913043478,0.0,0.9797399999999999,0.9825,0.542407660738714,0.9998860139063034,0.00011398609369656902,0.6927338300588308,0.4575923392612859,8772.0,4758.0,4014.0,1.0
min_distance,Min-Distance,5,280.32024703068237,2.2419615711761876,830.7934142379374,0.7448979591836735,0.25510204081632654,0.0,0.97926,0.9822,0.54181654676259,1.0,0.0,0.6898545954045955,0.45818345323741005,8896.0,4820.0,4076.0,1.0
stay,Stay,1,262.3938541184808,2.188010814056826,737.0487521028114,0.8461538461538461,0.15384615384615385,0.0,0.8335500000000001,0.8355,0.5513993898395012,0.999867374005305,0.0001326259946949602,0.6555541139416129,0.44860061016049874,7539.0,4157.0,3382.0,1.0
stay,Stay,2,271.9023417191597,2.1884414199181523,754.9579239576657,0.873015873015873,0.12698412698412698,0.0,0.8337100000000002,0.8356,0.5563002680965148,0.9995980168832909,0.00040198311670909824,0.6554741092241082,0.4436997319034853,7460.0,4150.0,3310.0,1.0
stay,Stay,3,248.0565125803473,2.1830533918114146,734.3549311043936,0.7857142857142857,0.21428571428571427,0.0,0.8331500000000002,0.83525,0.5447218919275995,0.9997358341038172,0.0002641658961828028,0.653333091908091,0.4552781080724006,7569.0,4123.0,3446.0,1.0
stay,Stay,4,258.5713800495248,2.1972964851575023,750.3445764935221,0.8461538461538461,0.15384615384615385,0.0,0.8335500000000001,0.8355,0.54968654128318,0.9996,0.0004,0.6554986041736032,0.45031345871682005,7497.0,4121.0,3376.0,1.0
stay,Stay,5,259.8262228353277,2.191764985517045,755.5470011975247,0.9016393442622951,0.09836065573770492,0.0,0.8338700000000001,0.8357,0.5510312004230565,1.0,0.0,0.6548974969474957,0.4489687995769434,7564.0,4168.0,3396.0,1.0
max_rvt,Max-RVT,1,307.32801800665067,2.1695814327304115,985.7727471899229,0.7346938775510204,0.2653061224489796,0.0,0.9707299999999999,0.97955,0.5521660240417329,1.0,0.0,0.4261613587827408,0.4478339759582672,8818.0,4869.0,3949.0,1.0
max_rvt,Max-RVT,2,315.67085087116413,2.1739434367793216,994.361235276878,0.782608695652174,0.21739130434782608,0.0,0.9721699999999999,0.98045,0.5551617697496285,0.9998856881572931,0.00011431184270690443,0.426639802865614,0.44483823025037156,8747.0,4856.0,3891.0,1.0
max_rvt,Max-RVT,3,282.24045703974275,2.172218517411876,973.0042296718066,0.7686832740213523,0.2313167259786477,0.0,0.9717699999999999,0.9802,0.5413839891451832,0.9998869417750141,0.00011305822498586772,0.42878630260395056,0.45861601085481685,8844.0,4788.0,4056.0,1.0
