method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,True,3,-19.32826188835563,3.4272837538367327,2.6547071151331605,964.0212806776386,0.7275103980986334,0.2724896019013666,0.0,0.9850500000000001,0.9876666666666667,0.8280858027321182,0.8280203223414859,0.17190038809302086,0.9999207104345068,0.9999207104345068,7.92895654931811e-05,0.17190038809302086,0.22322937272203483,0.5741506228454111,0.22911065848315898,0.001138888888888889,0.0,0.7812625765800476,-1056.8313544999826,-3.3903177381442866,815.0666666666247,1393.7333333333763,333.69779712789,-1.3454999999999977,2.4277045419652254,-0.0489853543429395,0.0,-225.7723451614123,-578.666666666668,-215.70000000000246,0.0,-2.6666666666666665,-4.299999999999999,-1.1416666666666673,latency_priority_score,0.5711541652466764,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_g1_300k_600s_u20_20260603_201842/training_history.json,checkpoint_eval
min_distance,Min-Distance,False,3,-28.98013711806895,2.3924921846617906,2.7861416071944274,678.8161079085403,0.7121693121693121,0.2878306878306878,0.0,0.9848666666666667,0.9879166666666667,0.8142723708973459,0.8140789690325403,0.1856831245409942,0.9997620935735346,0.9997620935735346,0.00023790642646550245,0.1856831245409942,0.21179512307341983,0.5818033625936438,0.1613539595694177,0.005083333333333333,0.0,1.0,-1093.8279273818614,-1.706374085536347,745.1999999999598,1370.2666666667044,314.72771511190655,-1.3619999999999977,2.537819194883569,0.04669449797471739,0.0,-250.24997280476762,-625.0666666666654,-259.0000000000041,0.0,-2.6666666666666665,-5.399999999999999,-1.2933333333333341,latency_priority_score,0.5682923982048937,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
mappo_no_han,MAPPO (no HAN),False,3,-21.031699583081018,6.107806370529103,2.6902689513587976,831.6007807178743,0.7202364199268224,0.2797635800731776,0.0,0.9828388888888888,0.9855555555555555,0.825924864975962,0.8257948354034349,0.1740465666005858,0.9998414020040207,0.9998414020040207,0.0001585979959793418,0.1740465666005858,0.22008295611314033,0.5081408844734895,0.19765507385149922,0.0006111111111111111,0.0,0.8643881678581238,-1063.7046166289817,-2.7372279995985322,804.1333333332901,1390.000000000042,326.5037373234571,-1.5444999999999987,2.4842063252575546,-0.05009469848454684,0.0,-230.09893950080962,-585.8666666666676,-217.90000000000256,0.0,-2.6666666666666665,-4.599999999999999,-1.1716666666666675,latency_priority_score,0.5603682188821897,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/g1_300k_600s_u20_20260603_201842/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
attn_mappo,Attn+MAPPO,False,3,-12.137789587445747,6.0138897887817775,2.581568860885075,949.1800901939883,0.7605982905982906,0.23940170940170943,0.0,0.9844666666666667,0.988,0.837745370212863,0.8376794181974064,0.16224129223710032,0.9999207104345068,0.9999207104345068,7.92895654931811e-05,0.16224129223710032,0.23040190251641976,0.35211697878964743,0.22558348020137564,0.002972222222222222,0.0,0.7557154893875122,-1042.287753058692,-3.583578251278136,863.8666666666223,1410.0000000000466,339.02104437820543,-1.3979999999999968,3.2883355025997383,-0.03728046251747911,0.0,-195.90517252233613,-546.1333333333365,-168.800000000001,0.0,-2.6666666666666665,-5.099999999999999,-1.6116666666666672,latency_priority_score,0.5418128436937105,4,Average Delay | Service Availability | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/g1_300k_600s_u20_20260603_201842/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
full_local,Full-Local,False,3,-133.7913093131396,4.624018749679631,4.222776528635116,2041.7499981940825,0.774074074074074,0.22592592592592595,0.0,0.9220055555555554,0.9242222222222223,0.5571692621618775,0.5566389965011568,0.44241067540655926,0.999049671907716,0.999049671907716,0.00095032809228396,0.44241067540655926,0.09828463200703562,0.6037797841754231,0.4856684106075363,0.0,1.0,0.0,-1316.5794908990456,-3.4255455597058133,-552.4000000000225,936.9333333332974,208.30328527813427,-7.019499999999998,2.218024995781644,-0.03177273305756278,0.0,-868.625480652836,-1489.333333333283,0.0,0.0,-2.6666666666666665,-2.9999999999999996,-1.0300000000000007,latency_priority_score,0.47835942069793835,0,,,,,heuristic_eval
joint_greedy,Joint Greedy,False,3,-130.67961539285741,6.197672023914538,4.2181705995989365,2083.835125359701,0.7664970706136294,0.23350292938637063,0.0,0.9406499999999999,0.9430000000000001,0.5677929450078283,0.5675693222604994,0.43203469990848414,0.9996040221689836,0.9996040221689836,0.0003959778310164324,0.43203469990848414,0.10237944499375617,0.4280353423846555,0.4954041822711074,0.00047222222222222224,0.9578333333333333,0.0421319454908371,-1343.8218229983079,-3.491853704109585,-499.06666666669116,955.3333333332962,212.39621985479707,-5.341499999999967,2.298318447273101,-0.05283621989471895,0.0,-869.4070722519991,-1454.3999999999517,0.0,0.0,-2.6666666666666665,-3.2999999999999994,-1.0800000000000007,latency_priority_score,0.4571771387977725,0,,,,,heuristic_eval
random,Random,False,3,-145.08882189879475,4.89663388758995,3.1330940701204546,419.89674012364793,0.7420627925328561,0.2579372074671438,0.000990984160624782,0.38551111111111086,0.7384444444444443,0.6660991500695315,0.6649938053125892,0.3333421473157303,0.9983359526283194,0.9983359526283194,0.001664047371680467,0.3333421473157303,0.06205148590053646,0.3038486332360464,0.09995161631127063,0.58725,0.0,1.0,-1128.955897497417,-1.180472949018716,-2.799999999999784,1119.333333333314,237.5828340909272,-55.30400000000015,330.2125813426174,-1.0567944656663393,0.0,-430.2216266923402,-1122.1333333333039,-91.49999999999949,-9.5,-1.6666666666666667,-540.2000000000094,-157.95833333333795,latency_priority_score,0.3769282048265666,0,,1.0,random(best_offload=1.00),,heuristic_eval
