method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_delay_focus_fast,HAN+MAPPO,1,19.07419222702359,2.1199477955029273,68.15017576324452,1.0,1.0,0.5355555555555556,0.9977827050997783,0.0022172949002217295,0.5189999999999997,0.46444444444444444,450.0,241.0,209.0,
max_rvt,Max-RVT,1,18.81254187453942,2.1097081978386982,56.077819939572244,0.8260869565217391,1.0,0.5336322869955157,1.0,0.0,0.5179400015115057,0.4663677130044843,446.0,238.0,208.0,1.0
stay,Stay,1,18.675546101320258,2.1476996738352385,44.72796331623084,1.0,1.0,0.5311111111111111,0.9977827050997783,0.0022172949002217295,0.5163333333333331,0.4688888888888889,450.0,239.0,211.0,1.0
random,Random,1,12.359682028601506,2.120842700058492,38.22042984820107,0.7926267281105991,1.0,0.5324324324324324,0.9919571045576407,0.00804289544235925,0.47015406994583797,0.46756756756756757,370.0,197.0,173.0,1.0
max_elev,Max-Elev,1,18.502028959927387,2.1558064129999956,38.15008244819044,0.8333333333333334,1.0,0.5256124721603563,0.9977777777777778,0.0022222222222222222,0.3199619824619823,0.47438752783964366,449.0,236.0,213.0,1.0
min_distance,Min-Distance,1,18.502028959927387,2.1558064129999956,38.15008244819044,0.8333333333333334,1.0,0.5256124721603563,0.9977777777777778,0.0022222222222222222,0.3199619824619823,0.47438752783964366,449.0,236.0,213.0,1.0
threshold_rvt_adaptive,Threshold-RVT Adaptive,1,24.66411786881035,3.6585180888428637,206.24895725851647,1.0,1.0,0.623059866962306,1.0,0.0,0.555,0.376940133037694,451.0,281.0,170.0,
joint_greedy,Joint Greedy,1,24.51179504387692,3.663525374869953,206.0733023364349,1.0,1.0,0.6222222222222222,1.0,0.0,0.5333333333333333,0.37777777777777777,450.0,280.0,170.0,
