method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority,HAN+MAPPO,True,10,411.6640495799273,7.314963766261328,2.1995279374211636,1192.0807176457922,0.7976986167639437,0.20230138323605637,0.0,0.9670079999999999,0.972675,0.5487278310962077,0.999874017253757,0.00012598274624300753,0.4512721689037922,0.6058048615853486,0.13662189901274352,latency_priority_score,0.551217254242921,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_20260427_140046/training_history.json,checkpoint_eval
min_distance,Min-Distance,False,10,402.12255073442265,8.393375705601306,2.243356051332508,818.3459609026089,0.7590025833571815,0.24099741664281846,0.0,0.979383,0.9822750000000001,0.5419105736392296,0.9998751685404184,0.0001248314595814523,0.4580894263607703,0.6917333592796098,0.09288408709055308,latency_priority_score,0.5654188700494913,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
mappo_no_han,MAPPO (no HAN),False,10,396.7062003132152,9.334188954524889,2.245897259841559,1658.3450155002872,0.888817112700344,0.11118288729965589,0.0,0.9413249999999997,0.9619199999999999,0.5438913713038487,0.9998724945307975,0.0001275054692023585,0.4561086286961514,0.4963805568985296,0.19217384934065954,latency_priority_score,0.5248825318044372,0,,,,results/baseline_compare/20260427_140046/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
maddpg,MADDPG,False,10,442.3814749461282,11.372882545300543,3.8239440636308393,4212.583007241759,0.8505802288713683,0.14941977112863186,0.0,0.980434,0.98284,0.6082832318545084,0.999943174736803,5.6825263196990934e-05,0.39171676814549156,0.6218390079365086,0.4779314069616935,latency_priority_score,0.5077208691360663,3,Service Continuity | Service Availability | Task Completion,,,results/baseline_compare/maddpg_20260507_124338/learned_baselines/maddpg/training_history.json,maddpg_train_eval
dqn,DQN,False,10,375.1177563795209,16.882241413136118,2.8637664463830155,2014.705452954919,0.832550269763647,0.16744973023635307,0.002302513904942954,0.8174700000000005,0.85524,0.5749437754471091,0.9994488044925445,0.0005511955074553041,0.42505622455289105,0.6378310109335092,0.2627865252266189,latency_priority_score,0.5014718592271667,0,,,,results/baseline_compare/20260427_140046/learned_baselines/dqn/training_history.json,dqn_train_eval
joint_greedy,Joint Greedy,False,10,396.5575787225638,12.091026252226813,3.828717057698866,3788.990219978582,0.8504805774889862,0.14951942251101386,0.0,0.8815660000000001,0.8836299999999999,0.6079593663234958,0.9998365639279745,0.0001634360720254462,0.39204063367650427,0.6161327341987275,0.4784984807701688,latency_priority_score,0.4869375642705277,0,,,,,heuristic_eval
full_local,Full-Local,False,10,374.6311513391995,11.994656973890962,3.8323542894690577,3586.7387350889317,0.863467095683126,0.13653290431687404,0.0,0.8336460000000001,0.8355600000000001,0.6079232842148821,0.9998394207238711,0.00016057927612882694,0.392076715785118,0.6656103968253965,0.4790174199138496,latency_priority_score,0.4846877912849197,0,,,,,heuristic_eval
random,Random,False,10,285.98944831844494,6.865011208616869,2.1651312874499906,724.5094652154492,0.7918817805234645,0.20811821947653555,0.0009718427822685285,0.43278899999999726,0.781205,0.5538566302843578,0.9991594933284416,0.0008405066715584377,0.44614336971564217,0.5093599827005553,0.10327267696036621,latency_priority_score,0.43353420122333564,1,Average Delay,1.0,random(best_offload=1.00),,heuristic_eval
