method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_delay_focus_1200k,HAN+MAPPO,1,406.6755266177869,2.197158229061145,1147.4396780604177,0.7835051546391752,1.0,0.5512925488361212,1.0,0.0,0.5963519036519044,0.44870745116387883,8549.0,4713.0,3836.0,
han_mappo_delay_focus_1200k,HAN+MAPPO,2,420.0945166585864,2.206532859143737,1206.2606153017382,0.8540540540540541,1.0,0.5500399406595915,0.9998858968507531,0.00011410314924691921,0.5941052602698049,0.44996005934040856,8763.0,4820.0,3943.0,
han_mappo_delay_focus_1200k,HAN+MAPPO,3,398.5839263958793,2.190637777924367,1169.1940607170816,0.8181818181818182,1.0,0.5378103837471784,0.999887145920325,0.00011285407967498025,0.6046923715173708,0.4621896162528217,8860.0,4765.0,4095.0,
han_mappo_delay_focus_1200k,HAN+MAPPO,4,416.3322230604705,2.20135916566475,1202.9188604545523,0.7487179487179487,1.0,0.5490419708029197,1.0,0.0,0.6033759657009657,0.4509580291970803,8768.0,4814.0,3954.0,
han_mappo_delay_focus_1200k,HAN+MAPPO,5,415.777915281501,2.2056999207968193,1207.3588644301785,0.7846153846153846,1.0,0.5477986713207972,0.9998874127448772,0.00011258725512272011,0.6019967948717945,0.4522013286792028,8881.0,4865.0,4016.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,1,458.2450821099735,3.745153451368621,4145.686337890667,0.8607594936708861,1.0,0.6110671936758894,1.0,0.0,0.623792460317461,0.38893280632411065,8855.0,5411.0,3444.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,2,419.79877309990866,3.883347619489831,4253.677418475664,0.7472527472527473,1.0,0.5995893223819302,1.0,0.0,0.621740873015874,0.4004106776180698,8766.0,5256.0,3510.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,3,454.04805858436794,3.730955075814232,4138.673625751064,0.8831168831168831,1.0,0.6110172355525515,1.0,0.0,0.6211742063492071,0.38898276444744845,8877.0,5424.0,3453.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,4,436.1798289215487,3.852463248198651,4226.943484973048,0.8095238095238095,1.0,0.6061261671601003,0.9998861436866674,0.00011385631333257428,0.6221087301587307,0.3938738328398998,8782.0,5323.0,3459.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,5,447.0771215377661,3.8219142545332687,4250.037903516095,0.8717948717948718,1.0,0.6092625899280576,1.0,0.0,0.6222793650793658,0.39073741007194246,8896.0,5420.0,3476.0,
max_elev,Max-Elev,1,457.11711992696087,3.7475414186223706,4145.717694350998,0.776595744680851,1.0,0.6110734463276836,1.0,0.0,0.6997817460317463,0.3889265536723164,8850.0,5408.0,3442.0,0.0
max_elev,Max-Elev,2,420.07876592741644,3.885728975968902,4258.273241539921,0.7373737373737373,1.0,0.5997490589711418,0.9998859489051095,0.00011405109489051095,0.7005757936507938,0.4002509410288582,8767.0,5258.0,3509.0,0.0
max_elev,Max-Elev,3,453.497021071703,3.7299177980175,4134.613879102399,0.8202247191011236,1.0,0.6114118177717637,1.0,0.0,0.7010325396825399,0.3885881822282364,8868.0,5422.0,3446.0,0.0
max_elev,Max-Elev,4,436.6368303174888,3.851599617679493,4224.723330642194,0.8111111111111111,1.0,0.6067236467236468,1.0,0.0,0.7006662698412699,0.3932763532763533,8775.0,5324.0,3451.0,0.0
max_elev,Max-Elev,5,445.59338450793075,3.827302664758678,4256.91738887784,0.7934782608695652,1.0,0.6090132614070578,1.0,0.0,0.700321825396826,0.39098673859294225,8898.0,5419.0,3479.0,0.0
min_distance,Min-Distance,1,457.11711992696087,3.7475414186223706,4145.717694350998,0.776595744680851,1.0,0.6110734463276836,1.0,0.0,0.6997817460317463,0.3889265536723164,8850.0,5408.0,3442.0,0.0
min_distance,Min-Distance,2,420.07876592741644,3.885728975968902,4258.273241539921,0.7373737373737373,1.0,0.5997490589711418,0.9998859489051095,0.00011405109489051095,0.7005757936507938,0.4002509410288582,8767.0,5258.0,3509.0,0.0
min_distance,Min-Distance,3,453.497021071703,3.7299177980175,4134.613879102399,0.8202247191011236,1.0,0.6114118177717637,1.0,0.0,0.7010325396825399,0.3885881822282364,8868.0,5422.0,3446.0,0.0
min_distance,Min-Distance,4,436.6368303174888,3.851599617679493,4224.723330642194,0.8111111111111111,1.0,0.6067236467236468,1.0,0.0,0.7006662698412699,0.3932763532763533,8775.0,5324.0,3451.0,0.0
min_distance,Min-Distance,5,445.59338450793075,3.827302664758678,4256.91738887784,0.7934782608695652,1.0,0.6090132614070578,1.0,0.0,0.700321825396826,0.39098673859294225,8898.0,5419.0,3479.0,0.0
max_rvt,Max-RVT,1,453.932104503638,3.746284707609992,4131.21546131692,0.7605633802816901,1.0,0.6108592155973702,1.0,0.0,0.4420862488340236,0.3891407844026298,8822.0,5389.0,3433.0,0.0
max_rvt,Max-RVT,2,418.58455384241176,3.885328485510524,4248.606698905758,0.7941176470588235,1.0,0.5995656149977138,1.0,0.0,0.4415644561636404,0.40043438500228623,8748.0,5245.0,3503.0,0.0
max_rvt,Max-RVT,3,451.2102593771891,3.731361336724643,4128.284898918727,0.8,1.0,0.6114563326177833,0.9998870311793945,0.00011296882060551288,0.4433111716066046,0.3885436673822167,8851.0,5412.0,3439.0,0.0
max_rvt,Max-RVT,4,433.18928241537037,3.8519284827470157,4205.824412099398,0.7517482517482518,1.0,0.6069834001144819,1.0,0.0,0.4435323449718233,0.393016599885518,8735.0,5302.0,3433.0,0.0
max_rvt,Max-RVT,5,443.1530370365197,3.8258667696548696,4238.582147431389,0.8181818181818182,1.0,0.6088231975629019,1.0,0.0,0.44346324218060534,0.39117680243709807,8863.0,5396.0,3467.0,0.0
joint_greedy,Joint Greedy,1,399.8721560068733,3.773218340135088,3728.1911362983524,0.8133333333333334,1.0,0.6066278775613458,0.9997470915528579,0.00025290844714213456,0.6751186507936496,0.39337212243865416,7906.0,4796.0,3110.0,
joint_greedy,Joint Greedy,2,375.3099558126321,3.9154921020685074,3928.518867354562,0.8923076923076924,1.0,0.5948673227855986,0.9998754359740907,0.00012456402590931738,0.5700300172074269,0.4051326772144014,8027.0,4775.0,3252.0,
joint_greedy,Joint Greedy,3,407.1532395094638,3.7376567550393798,3723.5732114981056,0.9090909090909091,1.0,0.6113411115292937,0.9997491533927003,0.0002508466072996363,0.6415498512249259,0.3886588884707063,7971.0,4873.0,3098.0,
joint_greedy,Joint Greedy,4,393.98686103852964,3.854563951136398,3844.783801675602,0.8428571428571429,1.0,0.6039839639188174,0.999749498997996,0.000250501002004008,0.6106380264959557,0.3960160360811827,7982.0,4821.0,3161.0,
joint_greedy,Joint Greedy,5,383.5603378546621,3.81453906469602,3605.3455877587076,0.8208955223880597,1.0,0.6110523532522475,1.0,0.0,0.689131349206349,0.3889476467477525,7564.0,4622.0,2942.0,
stay,Stay,1,383.82690438991443,3.7668800755142504,3550.284471172181,0.873015873015873,1.0,0.6075596816976128,0.9998673915926269,0.00013260840737302744,0.6658345238095235,0.3924403183023873,7540.0,4581.0,2959.0,0.0
stay,Stay,2,348.60331733542836,3.913516088052122,3650.3321311306177,0.873015873015873,1.0,0.5947467166979362,0.9998660056277636,0.00013399437223636607,0.6657123015873012,0.4052532833020638,7462.0,4438.0,3024.0,0.0
