method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,selected_offload,method_variant,source
han_mappo_delay_focus_fast,HAN+MAPPO,True,2,41.76840281307773,0.6150907578966063,2.1527309164920165,150.63070282449462,0.9166666666666667,1.0,0.5403589472890431,0.9988839285714286,0.0011160714285714285,0.45964105271095695,0.46295405982906046,,,checkpoint_eval
max_rvt,Max-RVT,False,2,42.71257244162774,0.49366559399195253,2.119851952389881,104.30273212761963,0.8156862745098039,1.0,0.5454947726965715,0.9983258928571428,0.0016741071428571428,0.4545052273034285,0.45400280656146286,1.0,max_rvt(best_offload=1.00),heuristic_eval
stay,Stay,False,2,41.698943446116104,0.817963555167136,2.1594225727591203,85.48911155737547,0.9166666666666667,1.0,0.5384199202284938,0.9983258928571428,0.0016741071428571428,0.4615800797715062,0.45502992840492906,1.0,stay(best_offload=1.00),heuristic_eval
threshold_rvt_adaptive,Threshold-RVT Adaptive,False,2,40.75686094873852,7.538279401867474,3.9128037049222995,436.6219267660541,0.9166666666666667,1.0,0.5933875902889245,1.0,0.0,0.40661240971107543,0.4780833333333333,,,heuristic_eval
joint_greedy,Joint Greedy,False,2,40.64962519052566,7.419760636386101,3.9135448480531414,437.04266337655656,0.8,1.0,0.5930742193763028,1.0,0.0,0.4069257806236973,0.43042261904762,,,heuristic_eval
max_elev,Max-Elev,False,2,40.61969121088689,7.480979300147347,3.914935035353757,436.45372985848877,0.8571428571428571,1.0,0.5929316098057575,1.0,0.0,0.40706839019424246,0.6543333333333334,0.0,max_elev(best_offload=0.00),heuristic_eval
min_distance,Min-Distance,False,2,40.61969121088689,7.480979300147347,3.914935035353757,436.45372985848877,0.8571428571428571,1.0,0.5929316098057575,1.0,0.0,0.40706839019424246,0.6543333333333334,0.0,min_distance(best_offload=0.00),heuristic_eval
random,Random,False,2,32.63443841163427,7.963300908730458,3.9444436001089733,376.7530444988075,0.8431199763268002,0.9995819397993311,0.581599026417984,0.9993581514762516,0.0006418485237483953,0.41840097358201606,0.4239723119428617,0.0,random(best_offload=0.00),heuristic_eval
