method,display_name,episodes,is_system,mean_reward,std_reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,handover_attempts,handover_committed,handover_aborted,handover_radio_failures,migration_rejections,reconnection_attempts,reconnections,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_mec_load_fairness,reachable_jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,resolved_tasks,pending_tasks,total_tasks,completed_tasks,deadline_violations,failed_tasks,deadline_violation_rate,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,handover_action_rate,local_compute_rate,mean_offload_ratio,source,training_history,selection_metric,selection_score,energy_per_resolved_task,primary_metric_win_count,primary_metric_wins_text,successful_task_throughput,num_users,seed,trained_timesteps,checkpoint,training_log,selected_offload,method_variant
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,5,True,59.667246096461895,8.185720673707971,2.8983673477181524,2.0513559533670245,4.340773430747813,7288.079836240746,1.0,0.0,0.45991193522883667,15360.0,353.2,0.02299479166666667,41.16000151634216,394.36000061035156,37.2,37.2,37.2,0.0,0.0,0.0,31.4,31.4,0.0,0.974325520793597,0.9770052083333335,0.8188705812219969,0.8175701797233781,0.18085385451491853,0.9984240342382966,0.9984240342382966,0.0015759657617033644,0.002421875,0.1453125,0.05635937176744342,0.6320701962385163,2560,0.6320701962385163,0.8481310431307078,0.869249104861115,0.8481310431307078,0.6320701962385163,0.6320701962385163,5326.4,8.4,5334.8,4361.4,956.6,8.4,0.17927686448879832,1.6710413711745646,145.37999999999434,21.71215470414622,-43.51816025301084,-27.79648408420847,-32.16666666666718,-3.943600152619183,0.0,0.004466145833333333,0.7031770833333333,0.2185756415128708,checkpoint_eval,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u30_multiuser_single_seed_150k_20260804/training_history.json,reward,59.667246096461895,1.368293751171663,0,,17.03671875,30,42,,,,,
han_pdqn,HAN+PDQN,5,False,94.06817252899054,4.833247265772679,1.9924188229505304,1.7714850866005374,4.055915582217901,5999.294345528308,1.0,0.0,0.1399203873655512,15360.0,341.6,0.022239583333333333,92.16000328063964,433.7600004434586,134.8,134.8,134.8,0.0,0.0,0.0,18.8,18.8,0.0,0.9717604166377957,0.9777604166666667,0.931405385524607,0.9305685312062485,0.06853294999842965,0.9991014812046781,0.9991014812046781,0.000898518795321849,0.008776041666666666,0.5265625,0.07128948358229044,0.5562289634417407,2520,0.5562289634417407,0.7169684655772132,0.6252652255195611,0.7169684655772132,0.5562289634417407,0.5562289634417407,5330.0,4.8,5334.8,4964.2,363.2,2.6,0.06804466120831464,1.2085118136916944,165.4733333333265,18.0707890644759,-43.13021706684638,-29.81480294320911,-12.193333333333301,-4.337600158341229,0.0,0.01,0.45239583333333333,0.5354549884796143,han_pdqn_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/han_pdqn/training_history.json,reward,94.06817252899054,1.1255711717689134,5,Successful-Task Delay | P95 Successful-Task Delay | Task Success | Deadline Violation | Energy per Successful Task,19.39140625,30,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/han_pdqn/best_model.pt,,,
pdqn,PDQN,5,False,81.4628550467547,2.484513880352266,2.142471116661988,1.8228680520632499,4.240141360212496,6308.436987790249,0.7877152799614541,0.21228472003854595,0.17200354274099444,15360.0,346.8,0.022578125,98.64000360965728,445.44000017642975,181.6,181.6,141.6,40.0,41.2,0.0,24.0,22.8,40.0,0.9709999999885136,0.9774218749999999,0.9026453903080425,0.9016989021239137,0.09725162848253874,0.9989505306064524,0.9989505306064524,0.0010494693935476005,0.00921875,0.553125,0.0936116393575103,0.45513115019883144,2390,0.45513115019883144,0.6449177583188268,0.4507296542696479,0.6449177583188268,0.45513115019883144,0.45513115019883144,5329.2,5.6,5334.8,4810.2,515.0,4.0,0.09650017413941027,1.3114708302753002,160.33999999999347,15.46342347950789,-42.75741182278852,-29.554092475843323,-17.300000000000043,-4.454400162585079,-0.2746666666666666,0.013385416666666667,0.6797005208333333,0.3101304769515991,pdqn_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/pdqn/training_history.json,reward,81.4628550467547,1.183749340949908,0,,18.78984375,30,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/pdqn/best_model.pt,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/pdqn/pdqn_training.log,,
attn_mappo,Attn+MAPPO,5,False,60.22620500919002,7.169613710073336,2.8214101009828867,1.9902042987893012,4.327160273229119,7494.004109889484,1.0,0.0,0.440785253088284,15360.0,352.6,0.022955729166666668,43.560001730918884,396.1600006103516,41.8,41.8,41.8,0.0,0.0,0.0,30.8,30.8,0.0,0.9742083332935969,0.9770442708333332,0.8242382281995763,0.8230257189579557,0.1755111696578334,0.9985368886157892,0.9985368886157892,0.0014631113842109046,0.0027213541666666666,0.16328125,0.06617156923855945,0.5814198639180532,2558,0.5814198639180532,0.8115899836903239,0.8061229786300954,0.8115899836903239,0.5814198639180532,0.5814198639180532,5327.0,7.8,5334.8,4390.4,928.6,8.0,0.17401202907250204,1.7069069127845948,146.34666666666095,20.76010809989599,-42.583384601540615,-29.11558742214557,-31.22000000000055,-3.961600149795413,0.0,0.0047265625,0.759609375,0.16489537060260773,attn_mappo_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/attn_mappo/training_history.json,reward,60.22620500919002,1.406796341259524,0,,17.15,30,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/attn_mappo/best_model.pt,,,
mappo_no_han,MAPPO,5,False,58.788018135083256,8.314504387790475,2.9013402820875536,2.027136838097198,4.302058214207824,7220.567571404625,1.0,0.0,0.409165916051162,15360.0,350.6,0.022825520833333335,44.52000150680542,395.1200006008148,45.0,45.0,45.0,0.0,0.0,0.0,29.2,29.2,0.0,0.9742760416275511,0.9771744791666667,0.8160729347634236,0.8147506668299271,0.1836361671714825,0.9983868340014096,0.9983868340014096,0.0016131659985904809,0.0029296875,0.17578125,0.06467258663390629,0.5889531571484038,2559,0.5889531571484038,0.8179245629457617,0.8148461409939907,0.8179245629457617,0.5889531571484038,0.5889531571484038,5326.2,8.6,5334.8,4346.2,972.4,7.6,0.18221033865522315,1.6613518870288124,144.8733333333277,20.93112649233335,-42.909831436603895,-27.4887461070918,-32.66666666666718,-3.951200158894062,0.0,0.004830729166666666,0.7601432291666667,0.18929162621498108,mappo_no_han_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/mappo_no_han/training_history.json,reward,58.788018135083256,1.3556696277655036,0,,16.97734375,30,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/mappo_no_han/best_model.pt,,,
joint_greedy,Joint Greedy,5,False,31.21776964928058,6.432155369550369,3.3013002199159063,2.2919597212989,4.951837997123533,7853.016020373789,1.0,0.0,0.09663169007335752,15360.0,349.4,0.022747395833333333,123.00000486373901,472.40000038146974,187.0,187.0,187.0,0.0,0.0,0.0,18.0,18.0,0.0,0.9692447916418313,0.9772526041666667,0.7226895181546802,0.7216234487785476,0.2769138144434898,0.9985372632220374,0.9985372632220374,0.0014627367779627128,0.012174479166666667,0.73046875,0.047743035448626445,0.6793004049502667,2560,0.6793004049502667,0.8592924324618549,0.8733471298363312,0.8592924324618549,0.6793004049502667,0.6793004049502667,5327.0,7.8,5334.8,3849.2,1474.2,3.6,0.2762382877253713,2.0401683519624307,128.30666666666195,21.997886271023564,-44.37170403900759,-20.731080663947935,-49.25999999999976,-4.724000158160925,0.0,0.013346354166666666,0.8273697916666667,0.17085611820220947,heuristic_eval,,reward,31.21776964928058,1.4741911057581731,0,,15.0359375,30,42,,,,,
random,Random,5,False,13.14521959525664,2.1253747926644024,3.434341546240654,2.185660924309043,4.926715210571219,7475.267667906586,0.9874834265984479,0.012516573401552208,0.0022717464263917156,15360.0,315.4,0.020533854166666664,1413.240017223358,1728.6400295257567,2381.0,2381.0,2350.2,30.8,0.0,30.8,5.2,5.2,30.8,0.8874583314110834,0.9794661458333334,0.7073429647316596,0.7065694380022012,0.2923433422635232,0.9989127802657244,0.9989127802657244,0.0010872197342757062,0.1530078125,9.18046875,0.08845335240474048,0.47730845756869167,2560,0.47730845756869167,0.7194165439941074,0.6173532680529868,0.7194165439941074,0.47730845756869167,0.47730845756869167,5329.0,5.8,5334.8,3769.0,1559.2,0.8,0.2921936622553918,1.9833557091819014,125.63333333332875,18.417063526249223,-40.03319338983809,-21.380249106980624,-51.999999999999616,-17.28640087749809,-0.2053333333333332,0.1553515625,0.0,1.0,heuristic_eval,,reward,13.14521959525664,1.4027524240770475,0,,14.72265625,30,42,,,,1.0,random(best_offload=1.00)
min_distance,Min-Distance,5,False,9.546008378786428,3.8301142041607337,3.8902845936610833,2.290094535127339,4.892521541996176,8389.787871520555,0.9959183673469388,0.004081632653061224,0.09824992617445447,15360.0,326.8,0.02127604166666667,33.000001311302185,359.79999885559084,50.0,50.0,49.8,0.2,0.0,0.2,5.2,5.2,0.2,0.9765755209078391,0.9787239583333334,0.6652327295556363,0.6643867303790331,0.3343389233159952,0.9987256536950282,0.9987256536950282,0.0012743463049716959,0.0032421874999999994,0.19453125,0.12582813514117017,0.33039534097730033,2560,0.33039534097730033,0.5852425693372828,0.35732097832333265,0.5852425693372828,0.33039534097730033,0.33039534097730033,5328.0,6.8,5334.8,3544.0,1783.4,0.6,0.3342260047982174,2.367321634176229,118.13333333332919,14.982209775034523,-39.468179359183814,-21.03535485659401,-59.46666666666586,-3.598000142350793,-0.0013333333333333335,0.00359375,0.0,1.0,heuristic_eval,,reward,9.546008378786428,1.5746598857959,1,Service Continuity,13.84375,30,42,,,,1.0,min_distance(best_offload=1.00)
full_local,Full-Local,5,False,-154.71335575394332,6.339244920783949,5.421711820144391,2.2284377342198116,5.402742558197561,11238.190308688156,0.0,0.0,1.0,15360.0,10725.2,0.6982552083333334,0.0,10725.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017447916666667,0.3017447916666667,0.5070175577099569,0.5070175577099569,0.4929824422900431,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5334.8,0.0,5334.8,2704.4,2630.4,0.0,0.4929824422900431,4.155520747185385,90.14666666666412,0.0,-29.189520146276237,-20.738494967209327,-87.67999999999759,-107.25201444402337,0.0,0.0,1.0,0.0,heuristic_eval,,reward,-154.71335575394332,2.1065813730014535,0,,10.5640625,30,42,,,,,
