method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,successful_task_throughput,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,1,55.14845395938028,3.102225630674122,2.0921171733860375,4.464453127701092,7469.896591775052,1.0,0.0,0.4307692307692308,15360.0,225.0,0.0146484375,39.000001549720764,264.0000010728836,37.0,0.0,0.9828124999301509,16.41796875,0.9853515625,0.7951191827468785,0.7940676365010391,0.20460986208199508,0.9986774985830342,0.9986774985830342,0.001322501416965804,0.0024088541666666668,0.14453125,0.031773695627006215,0.7744736565540441,512.0,0.7744736565540441,0.9097422153445497,0.7744736565540441,0.7744736565540441,0.20290950311732478,5286.0,4203.0,1074.0,1.7772773237628008,140.09999999999462,23.289400712820647,-42.673199003848424,-26.82775097357677,-36.10000000000051,-2.6400001561269164,0.0,
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,2,58.933433551574126,2.8920878713098914,2.0372620746673302,4.364039678719948,7193.742170664831,1.0,0.0,0.4594594594594595,15360.0,300.0,0.01953125,44.400001764297485,344.40000092983246,40.0,0.0,0.977578124939464,16.9375,0.98046875,0.8195048195048195,0.8178046020369671,0.1801207091663523,0.9979253112033195,0.9979253112033195,0.002074688796680498,0.0026041666666666665,0.15625,0.06253089241408266,0.5998418464742782,512.0,0.5998418464742782,0.8088921756680217,0.5998418464742782,0.5998418464742782,0.1782346284420973,5291.0,4336.0,945.0,1.6590733788433651,144.5333333333277,20.707639697101495,-43.35909050515636,-27.67111798635968,-31.833333333334075,-3.4440001789480448,0.0,
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,3,54.35966154522612,2.911282480565034,2.053860807947845,4.390702214404921,7449.0984019178995,1.0,0.0,0.4375,15360.0,454.0,0.029557291666666666,37.20000112056732,491.19999969005585,36.0,0.0,0.968020833353512,16.80078125,0.9704427083333333,0.812275731822474,0.8112033195020747,0.1874764239909468,0.9986797434930215,0.9986797434930215,0.0013202565069784986,0.00234375,0.140625,0.09873453479883255,0.433755335669365,512.0,0.433755335669365,0.7507718668030485,0.433755335669365,0.433755335669365,0.18615616748396832,5295.0,4301.0,987.0,1.7319456874954429,143.3666666666611,19.219759790158097,-42.568846161749605,-27.61258747493293,-33.133333333334015,-4.912000137381256,0.0,
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,4,54.22020493913442,3.094971644929315,2.0755257166793903,4.372682065975502,7709.527381271829,1.0,0.0,0.5070422535211268,15360.0,257.0,0.016731770833333333,42.60000157356262,299.60000109672546,35.0,0.0,0.9804947915952653,16.75,0.9832682291666667,0.7904147465437789,0.7895415208985453,0.20935371018228688,0.9988952310808322,0.9988952310808322,0.0011047689191677407,0.0022786458333333335,0.13671875,0.029937743154867583,0.7861114202217071,512.0,0.7861114202217071,0.9075940976952297,0.7861114202217071,0.7861114202217071,0.20843306941631376,5425.0,4288.0,1132.0,1.7979308258563034,142.9333333333278,23.234408900997956,-43.53826796266831,-27.513272526316648,-37.90000000000041,-2.9960001595318317,0.0,
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,5,75.67447689711116,2.4912691079946065,1.9980139937039172,4.111989924202831,6618.134633994168,1.0,0.0,0.4647887323943662,15360.0,530.0,0.034505208333333336,42.60000157356262,572.6000002622604,38.0,0.0,0.9627213541495924,18.27734375,0.9654947916666666,0.8770384254920337,0.8752338196782641,0.1227085671530116,0.9979423868312757,0.9979423868312757,0.00205761316872428,0.0024739583333333332,0.1484375,0.05881999284242809,0.619066160185812,512.0,0.619066160185812,0.8636548601426894,0.619066160185812,0.619066160185812,0.12065095398428732,5335.0,4679.0,645.0,1.4144335614435068,155.9666666666604,22.109564419652877,-45.45139760292025,-29.357691469428328,-21.866666666666912,-5.726000131107867,0.0,
han_pdqn,HAN+PDQN,1,92.52530613541603,2.0806885942819453,1.828175391635972,4.186266946542002,6239.874680658617,1.0,0.0,0.1322314049586777,15360.0,223.0,0.014518229166666667,72.60000264644623,295.6000003814697,105.0,0.0,0.980755208308498,19.08984375,0.9854817708333333,0.9236439236439237,0.9232949178159834,0.07632722463631211,0.9996221424522955,0.9996221424522955,0.0003778575477045154,0.0068359375,0.41015625,0.055552104310679286,0.6363821192722338,503.0,0.6363821192722338,0.7965526920025465,0.6363821192722338,0.6363821192722338,0.07538258076705082,5291.0,4887.0,399.0,1.2768313240553748,162.89999999999333,20.03330020386409,-43.73129774358413,-30.2540328181403,-13.46666666666663,-2.9560001520439982,0.0,
han_pdqn,HAN+PDQN,2,93.32409860508051,1.9828129248998816,1.7886020545964174,4.108513401606354,5958.623982781678,1.0,0.0,0.1796875,15360.0,265.0,0.017252604166666668,76.80000281333923,341.8000010251999,105.0,0.0,0.9777473957665885,19.29296875,0.9827473958333334,0.9322385805964515,0.9315352697095436,0.06771029800075443,0.999245567710298,0.999245567710298,0.0007544322897019992,0.0068359375,0.41015625,0.07649703625353446,0.5314074692296301,503.0,0.5314074692296301,0.6835341671652199,0.5314074692296301,0.5314074692296301,0.06733308185590343,5298.0,4939.0,357.0,1.2064434061108884,164.63333333332656,17.190884304205337,-43.443327943629065,-29.672127907906464,-11.966666666666635,-3.4180001709610224,0.0,
han_pdqn,HAN+PDQN,3,89.62278475984931,2.01156518695006,1.7791139391858128,4.081104452731801,6113.464780915043,1.0,0.0,0.13953488372093023,15360.0,472.0,0.030729166666666665,77.40000283718109,549.3999980688095,111.0,0.0,0.9642317709590619,19.19140625,0.9692708333333333,0.9278564683663834,0.9266314598264805,0.07204828366654092,0.9986797434930215,0.9986797434930215,0.0013202565069784986,0.0072265625,0.43359375,0.09099666916199159,0.466289982329632,505.0,0.466289982329632,0.6484844142452587,0.466289982329632,0.466289982329632,0.07167106752168993,5295.0,4913.0,380.0,1.2443445513769678,163.76666666665994,16.37423145969286,-42.518509976765124,-29.772273874087528,-12.733333333333299,-5.494000157341361,0.0,
han_pdqn,HAN+PDQN,4,91.45755985751748,2.1263869094441037,1.8240349885589928,4.183591587884157,6396.180862172484,1.0,0.0,0.2,15360.0,256.0,0.016666666666666666,72.00000286102295,328.00000047683716,96.0,0.0,0.9786458333022893,19.3671875,0.9833333333333333,0.9139170506912443,0.9129073835389431,0.08598784754188915,0.9988952310808322,0.9988952310808322,0.0011047689191677407,0.00625,0.375,0.0554906222257698,0.6367114524074653,508.0,0.6367114524074653,0.7883984001927958,0.6367114524074653,0.6367114524074653,0.0856195912354999,5425.0,4958.0,465.0,1.2900727838185728,165.26666666665986,20.025319364897058,-44.46803862579302,-30.519723587593905,-15.566666666666622,-3.2800001483410597,0.0,
han_pdqn,HAN+PDQN,5,103.41111328708939,1.7606404991766613,1.6374990590254908,3.7201015223251876,5288.32742111372,1.0,0.0,0.04814814814814815,15360.0,492.0,0.03203125,162.00000524520874,654.0000022649765,257.0,0.0,0.9574218748525406,20.015625,0.96796875,0.9593709043250328,0.9584736251402918,0.040591096146651705,0.9990647212869435,0.9990647212869435,0.0009352787130564908,0.016731770833333333,1.00390625,0.07801642097021076,0.5243139307510709,501.0,0.5243139307510709,0.6678726542802452,0.5243139307510709,0.5243139307510709,0.0402169846614291,5341.0,5124.0,215.0,1.0320701446357767,170.79999999999288,16.73020998972016,-41.489911044460555,-28.855856528317364,-7.233333333333317,-6.5400001630187035,0.0,
pdqn,PDQN,1,83.86443003104068,2.1768490392957953,1.8585443596936981,4.320211796347607,6335.1519627164635,0.7891566265060241,0.21084337349397592,0.1761006289308176,15360.0,225.0,0.0146484375,95.40000355243683,320.399999499321,166.0,35.0,0.9791406250325962,18.64453125,0.9853515625,0.9022684310018904,0.901757037596826,0.09767617608161723,0.9994332136784432,0.9994332136784432,0.0005667863215567731,0.008528645833333333,0.51171875,0.078663564612851,0.5213125330426408,495.0,0.5213125330426408,0.7358586109875491,0.5213125330426408,0.5213125330426408,0.09578688834309465,5290.0,4773.0,507.0,1.327289328036133,159.09999999999354,18.212500621941853,-43.19699376953281,-29.580411804125667,-17.23333333333335,-3.2040001582354307,-0.23333333333333314,
pdqn,PDQN,2,80.99584759899881,2.1719253238492677,1.8260291387251133,4.249525712276858,6263.286543285995,0.9279279279279279,0.07207207207207207,0.1953125,15360.0,254.0,0.016536458333333334,76.80000305175781,330.80000042915344,111.0,8.0,0.978463541638727,18.61328125,0.9834635416666667,0.8995657919577119,0.8987174651075066,0.1003394945303659,0.9990569596378726,0.9990569596378726,0.000943040362127499,0.006705729166666666,0.40234375,0.09105385876770929,0.46604410753947356,474.0,0.46604410753947356,0.6366259577533051,0.46604410753947356,0.46604410753947356,0.0995850622406639,5297.0,4765.0,528.0,1.314435790826022,158.8333333333269,15.088035198753433,-42.621294278384404,-29.209562654669732,-17.733333333333373,-3.308000162243843,-0.05333333333333334,
