method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,source
han_mappo_latency_priority,HAN+MAPPO,True,10,420.1893585262718,6.921445945774186,2.1837047708012833,1455.433316422224,0.8359255875337999,0.16407441246620005,0.0,0.9803189999999999,0.98277,0.5510279706943173,0.9999319279222201,6.807207777988364e-05,0.4489720293056827,0.6127982990802201,0.16514243593952524,latency_priority_score,0.5548957128860333,2,Service Continuity | Service Availability,,,checkpoint_eval
min_distance,Min-Distance,False,10,402.12255073442265,8.393375705601306,2.243356051332508,818.3459609026089,0.7590025833571815,0.24099741664281846,0.0,0.979383,0.9822750000000001,0.5419105736392296,0.9998751685404184,0.0001248314595814523,0.4580894263607703,0.6917333592796098,0.09288408709055308,latency_priority_score,0.5654188700494913,0,,1.0,min_distance(best_offload=1.00),heuristic_eval
mappo_no_han,MAPPO (no HAN),False,10,396.7062003132152,9.334188954524889,2.245897259841559,1658.3450155002872,0.888817112700344,0.11118288729965589,0.0,0.9413249999999997,0.9619199999999999,0.5438913713038487,0.9998724945307975,0.0001275054692023585,0.4561086286961514,0.4963805568985296,0.19217384934065954,latency_priority_score,0.5248825318044372,0,,,,mappo_no_han_train_eval
dqn,DQN,False,10,375.1177563795209,16.882241413136118,2.8637664463830155,2014.705452954919,0.832550269763647,0.16744973023635307,0.002302513904942954,0.8174700000000005,0.85524,0.5749437754471091,0.9994488044925445,0.0005511955074553041,0.42505622455289105,0.6378310109335092,0.2627865252266189,latency_priority_score,0.5014718592271667,0,,,,dqn_train_eval
joint_greedy,Joint Greedy,False,10,396.5575787225638,12.091026252226813,3.828717057698866,3788.990219978582,0.8504805774889862,0.14951942251101386,0.0,0.8815660000000001,0.8836299999999999,0.6079593663234958,0.9998365639279745,0.0001634360720254462,0.39204063367650427,0.6161327341987275,0.4784984807701688,latency_priority_score,0.4869375642705277,1,Task Completion,,,heuristic_eval
full_local,Full-Local,False,10,374.6311513391995,11.994656973890962,3.8323542894690577,3586.7387350889317,0.863467095683126,0.13653290431687404,0.0,0.8336460000000001,0.8355600000000001,0.6079232842148821,0.9998394207238711,0.00016057927612882694,0.392076715785118,0.6656103968253965,0.4790174199138496,latency_priority_score,0.4846877912849197,0,,,,heuristic_eval
random,Random,False,10,285.98944831844494,6.865011208616869,2.1651312874499906,724.5094652154492,0.7918817805234645,0.20811821947653555,0.0009718427822685285,0.43278899999999726,0.781205,0.5538566302843578,0.9991594933284416,0.0008405066715584377,0.44614336971564217,0.5093599827005553,0.10327267696036621,latency_priority_score,0.43353420122333564,1,Average Delay,1.0,random(best_offload=1.00),heuristic_eval
