method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,1,-13.01462004773646,2.6042273004382817,1358.2280580807947,0.7989690721649485,0.20103092783505155,0.002570694087403599,0.9718444444444444,0.9847777777777778,0.84073024866226,0.8404657016991819,0.1592196349905601,0.999685336689742,0.999685336689742,0.00031466331025802394,0.021555555555555557,0.059893237363084544,0.059893237363084544,0.1051346774213016,0.1592196349905601,6354.0,5342.0,1012.0,-1581.816066444781,-5.082777458907747,1327.2000000000444,2136.8000000002116,505.98272719250434,-2.5339999999999967,20.621215983026822,0.0035514907186427053,0.0,-294.59001478086554,-809.5999999999882,-247.80000000000368,-1.0,-3.0,-22.800000000000033,-9.304999999999994,
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,2,-34.27290642261822,2.810290339166775,1626.1700723481224,0.7924151696606786,0.20758483033932135,0.00199203187250996,0.9680777777777777,0.9847777777777778,0.8102955195424214,0.8101667990468626,0.18967434471803019,0.9998411437648927,0.9998411437648927,0.00015885623510722796,0.027833333333333335,0.03490446947565733,0.03490446947565733,0.10572390311087171,0.18967434471803019,6294.0,5100.0,1194.0,-1630.0803124064446,-5.119093866071734,1084.7999999999781,2040.0000000001899,486.3862762501843,-2.8729999999999962,26.654841888520124,0.014910518621217395,0.0,-422.43940380424567,-955.1999999999799,-432.60000000001065,-0.5,-3.0,-30.900000000000052,-11.924999999999939,
han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,3,-35.01534963185863,2.7954519280969423,1582.6492590453202,0.7698630136986301,0.23013698630136986,0.0,0.9756666666666666,0.9878333333333333,0.809156626506024,0.809156626506024,0.1908433734939759,1.0,1.0,0.0,0.020277777777777777,0.044924363622380066,0.044924363622380066,0.11266834717243909,0.1908433734939759,6225.0,5037.0,1188.0,-1636.314242101322,-4.998417500900872,1064.3999999999717,2014.8000000001841,466.9330901858631,-2.1899999999999933,18.49251846579912,0.06843410096889967,0.0,-400.5984615171629,-950.3999999999802,-454.5000000000115,0.0,-3.0,-25.20000000000004,-8.445000000000013,
attn_mappo,Attn+MAPPO,1,-39.248952460953845,2.6521903036815813,1342.32738029597,0.7367205542725174,0.2632794457274827,0.00032981530343007914,0.8433000000000002,0.9443333333333334,0.8133459238275103,0.8130899937067338,0.18659534298300817,0.999685336689742,0.999685336689742,0.00031466331025802394,0.1683888888888889,0.053303834019630986,0.053303834019630986,0.09659090619534254,0.18659534298300817,6354.0,5168.0,1186.0,-1609.45935931793,-4.920082991496564,1118.3999999999714,2067.200000000196,490.9209615771634,-14.102999999999989,127.03154982099548,0.0035514907186427053,0.0,-353.73487687126783,-948.7999999999803,-209.1000000000022,-1.0,-3.0,-238.80000000000334,-66.99500000000177,
attn_mappo,Attn+MAPPO,2,-43.658408358132995,2.7791193104772387,1535.8180770902077,0.7326086956521739,0.2673913043478261,0.000434593654932638,0.880111111111111,0.9567777777777777,0.805846838258659,0.8057188244638602,0.19412231930103258,0.9998411437648927,0.9998411437648927,0.00015885623510722796,0.12777777777777777,0.06321567856788517,0.06321567856788517,0.11418349863961338,0.19412231930103258,6294.0,5072.0,1222.0,-1632.1007335244424,-5.1200786487656105,1051.1999999999794,2028.8000000001873,478.0610659812986,-10.78999999999998,95.54220886360629,-0.0020221293340155658,0.0,-395.4035003032825,-977.5999999999786,-335.700000000007,-0.5,-4.0,-184.20000000000127,-50.55500000000115,
attn_mappo,Attn+MAPPO,3,-36.53810710084315,2.72353416810887,1469.2831891997903,0.7339449541284404,0.26605504587155965,0.0,0.9196333333333334,0.9705,0.8108933161953727,0.8107630522088354,0.18907630522088353,0.9998393574297189,0.9998393574297189,0.0001606425702811245,0.08477777777777777,0.06982145872944444,0.06982145872944444,0.11586700038363536,0.18907630522088353,6224.0,5047.0,1177.0,-1616.5398439081337,-4.919721445646722,1077.1999999999725,2018.800000000185,470.01013181849294,-7.23299999999999,63.76398688628162,0.0688932035453995,0.0,-355.5445730812819,-941.5999999999807,-355.2000000000077,0.0,-3.0,-121.7999999999992,-33.615000000000514,
pdqn,PDQN,1,-33.063446224008636,2.7860321563972277,985.1078558551753,0.7450292397660818,0.2549707602339181,0.002333722287047841,0.9386666666666665,0.9671666666666666,0.8094488188976378,0.8086847073631215,0.19037130270610447,0.999056010069226,0.999056010069226,0.0009439899307740718,0.0475,0.0914335013070988,0.0914335013070988,0.145538717135787,0.19037130270610447,6350.0,5140.0,1210.0,-1627.3044999269828,-2.723512712751338,1087.9999999999657,2056.0000000001933,466.6245715651832,-5.520000000000009,41.46467777103745,0.00574748282205861,0.0,-382.79133021130724,-967.9999999999792,-316.50000000000625,-3.0,-4.0,-63.59999999999975,-19.169999999999973,
pdqn,PDQN,2,-48.238928313633515,2.9523616772180374,1191.067936834184,0.7363057324840764,0.26369426751592356,0.006329113924050633,0.9360555555555554,0.9622222222222222,0.7854984894259819,0.7847498014297061,0.21429706115965053,0.9990468625893566,0.9990468625893566,0.0009531374106433678,0.043611111111111114,0.12120367863288739,0.12120367863288739,0.15774410475666326,0.21429706115965053,6289.0,4940.0,1349.0,-1647.0297210867893,-2.8630942989193873,896.7999999999546,1976.0000000001753,448.9820722384521,-5.754999999999989,37.055029626290064,0.06576472217152941,0.0,-473.36589621217433,-1079.199999999973,-446.4000000000112,-5.0,-2.0,-59.099999999999795,-17.394999999999907,
pdqn,PDQN,3,-47.702976097216,2.8928888342500634,1123.1725495195535,0.7497842968075927,0.25021570319240727,0.0017226528854435831,0.9204777777777776,0.9591111111111111,0.788171006107361,0.7877911646586345,0.2117269076305221,0.9995180722891567,0.9995180722891567,0.00048192771084337347,0.06438888888888888,0.1196350246723207,0.1196350246723207,0.15412457644318542,0.2117269076305221,6222.0,4904.0,1318.0,-1642.1113199231831,-2.901633982856468,907.1999999999477,1961.600000000172,434.8783864421758,-7.157000000000001,55.81338295050181,0.10626542372813035,0.0,-426.3059307740885,-1054.3999999999744,-425.4000000000104,-4.5,-2.0,-84.29999999999956,-26.160000000000235,
maddpg,MADDPG,1,-38.07841216587228,2.8294346263509538,1002.6575773178259,0.7049861495844876,0.2950138504155125,0.0,0.9280999999999999,0.9521666666666667,0.7950574531717299,0.7946821900566394,0.20484581497797358,0.9995280050346129,0.9995280050346129,0.0004719949653870359,0.04011111111111111,0.1063709869329317,0.1063709869329317,0.1418771010513107,0.20484581497797358,6353.0,5051.0,1302.0,-1621.9509237285558,-2.8330563155219344,978.7999999999361,2020.4000000001854,453.6145324799214,-6.47099999999996,29.928785557524282,0.044721203587698356,0.0,-385.6305293037017,-1041.5999999999751,-313.80000000000615,0.0,-4.0,-63.89999999999975,-15.33999999999987,
