method,display_name,episodes,is_system,mean_reward,std_reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,handover_attempts,handover_committed,handover_aborted,handover_radio_failures,migration_rejections,reconnection_attempts,reconnections,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_mec_load_fairness,reachable_jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,resolved_tasks,pending_tasks,total_tasks,completed_tasks,deadline_violations,failed_tasks,deadline_violation_rate,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,handover_action_rate,local_compute_rate,mean_offload_ratio,source,training_history,selection_metric,selection_score,energy_per_resolved_task,primary_metric_win_count,primary_metric_wins_text,successful_task_throughput,num_users,seed,trained_timesteps,checkpoint,training_log,selected_offload,method_variant
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,5,True,48.18751680998393,6.721812640175558,3.160844164535592,2.0571688990495502,4.43049283093293,10847.599792677529,1.0,0.0,0.4244013182928881,20480.0,416.0,0.0203125,59.6400022983551,475.6400002717972,57.4,57.4,57.4,0.0,0.0,0.0,42.0,42.0,0.0,0.9767753906117287,0.9796875,0.7815283084550332,0.7805551349725051,0.21820650671827102,0.9987616416907761,0.9987616416907761,0.0012383583092239433,0.002802734375,0.1681640625,0.05675723047163147,0.6299534300504105,2560,0.6299534300504105,0.8459401399476348,0.8717817892672794,0.8459401399476348,0.6299534300504105,0.6299534300504105,7095.4,8.8,7104.2,5544.8,1544.8,5.8,0.21738844651116196,1.9563554668658074,138.6200000000144,21.656067582659528,-41.7591098935215,-27.997141710710387,-38.764999999998864,-3.5673001126386223,0.0,0.004853515625,0.7358203125,0.18539875745773315,checkpoint_eval,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u40_multiuser_single_seed_150k_20260804/training_history.json,reward,48.18751680998393,1.5288214607601445,0,,16.24453125,40,42,,,,,
han_pdqn,HAN+PDQN,5,False,79.45581286954693,5.360605041193744,2.2446827022189053,1.8863789379975013,4.3366865095616856,9280.860899187472,0.9980582524271846,0.001941747572815534,0.06073897225406248,20480.0,384.6,0.018779296875,125.64000487327576,510.2400014162064,198.2,198.2,197.8,0.4,0.0,0.4,11.6,11.6,0.4,0.9750859374308494,0.9812207031250001,0.8940733238517959,0.8933664896509166,0.10584568906825276,0.9992121787191692,0.9992121787191692,0.0007878212808306457,0.009658203125,0.5794921875,0.07504616858957089,0.5382430199672333,2523,0.5382430199672333,0.7260469999185036,0.6563979233712939,0.7260469999185036,0.5382430199672333,0.5382430199672333,7098.6,5.6,7104.2,6346.6,751.2,0.8,0.10573287963431166,1.4623358805009723,158.66500000001895,18.32375083478295,-43.93611073298208,-30.968025737421478,-18.799999999999955,-3.826800134591758,-0.0020000000000000005,0.010244140625,0.5730078125,0.41350772976875305,han_pdqn_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/han_pdqn/training_history.json,reward,79.45581286954693,1.3074213083125505,5,Successful-Task Delay | P95 Successful-Task Delay | Task Success | Deadline Violation | Energy per Successful Task,18.5935546875,40,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/han_pdqn/best_model.pt,,,
pdqn,PDQN,5,False,70.73945207333891,3.0454454549878003,2.3881094331131147,1.9274855664550874,4.473899381579651,9333.40941201266,0.8388098190297073,0.1611901809702927,0.03391243735174511,20480.0,372.2,0.018173828125,166.8000062942505,539.0000030517579,330.2,330.2,269.4,60.8,60.6,0.4,8.8,8.6,60.8,0.9736816404759884,0.981826171875,0.8664104602266353,0.8655552239935786,0.13345981991866038,0.9990150439122389,0.9990150439122389,0.0009849560877610239,0.013154296874999999,0.7892578125,0.08732559174062479,0.4822474554034377,2517,0.4822474554034377,0.7163876170452593,0.6429631526915429,0.7163876170452593,0.4822474554034377,0.4822474554034377,7097.2,7.0,7104.2,6149.0,946.8,1.4,0.13326235288349234,1.5178743555070189,153.72500000001781,18.040786719586215,-43.091395362241144,-29.882438292492488,-23.70499999999972,-4.042500147316605,-0.30500000000000027,0.016552734375,0.412353515625,0.5714237093925476,pdqn_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/pdqn/training_history.json,reward,70.73945207333891,1.3150833303292369,0,,18.0146484375,40,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/pdqn/best_model.pt,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/pdqn/pdqn_training.log,,
mappo_no_han,MAPPO,5,False,41.10639638005523,6.0179476790601445,3.3640253980715107,2.0917532124298366,4.554976466306661,10802.434346474467,1.0,0.0,0.5093522124851239,20480.0,415.8,0.020302734375,51.720001983642575,467.5200006484985,43.0,43.0,43.0,0.0,0.0,0.0,43.2,43.2,0.0,0.9771718749683351,0.979697265625,0.7534863812776955,0.7525299273863475,0.24620257253316086,0.9987324999195083,0.9987324999195083,0.001267500080491727,0.002099609375,0.1259765625,0.05495968863842689,0.6395609604416312,2560,0.6395609604416312,0.8527537714294773,0.8835081825354244,0.8527537714294773,0.6395609604416312,0.6395609604416312,7095.2,9.0,7104.2,5345.6,1741.8,7.8,0.24510362267134575,2.020808580229435,133.64000000001323,21.830496548594684,-40.80699405284601,-26.31070683622218,-43.73999999999859,-3.5064001137390735,0.0,0.004208984375,0.75044921875,0.1902305632829666,mappo_no_han_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/mappo_no_han/training_history.json,reward,41.10639638005523,1.5224989213094018,0,,15.6609375,40,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/mappo_no_han/best_model.pt,,,
attn_mappo,Attn+MAPPO,5,False,40.123808188273685,5.930007704383023,3.3634080807732416,2.0864244959429272,4.595612755959302,10993.431636390098,1.0,0.0,0.535065802261543,20480.0,415.6,0.02029296875,47.40000190734863,463.00000071525574,37.2,37.2,37.2,0.0,0.0,0.0,41.8,41.8,0.0,0.9773925780900754,0.97970703125,0.7513804711129715,0.7504003970724897,0.24830432629660182,0.9987047233690914,0.9987047233690914,0.0012952766309084895,0.0018164062499999999,0.108984375,0.05553664060488835,0.6364649392299445,2560,0.6364649392299445,0.8521959330382043,0.8815380570798984,0.8521959330382043,0.6364649392299445,0.6364649392299445,7095.0,9.2,7104.2,5330.6,1757.2,7.2,0.24729083919650913,2.0623253735771017,133.26500000001317,21.816215885778107,-40.54270622133752,-26.832202141724007,-44.10999999999857,-3.472500111255795,0.0,0.003857421875,0.761884765625,0.1702110916376114,attn_mappo_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/attn_mappo/training_history.json,reward,40.123808188273685,1.549461823310796,0,,15.6169921875,40,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u40/learned_baselines/attn_mappo/best_model.pt,,,
joint_greedy,Joint Greedy,5,False,16.28024839964637,4.379722632960513,3.668784509458285,2.3029557788664854,5.153355387885751,11816.734867713221,1.0,0.0,0.12669439122036225,20480.0,412.0,0.0201171875,135.48000538349152,547.4800005197525,199.2,199.2,199.2,0.0,0.0,0.0,26.6,26.6,0.0,0.9732675780996216,0.9798828125,0.6701723818843128,0.6693590477947137,0.32943014546320065,0.9987891932579144,0.9987891932579144,0.0012108067420857258,0.0097265625,0.58359375,0.042878627696399454,0.7071918286857872,2560,0.7071918286857872,0.8768352000313966,0.9111360642856254,0.8768352000313966,0.7071918286857872,0.7071918286857872,7095.6,8.6,7104.2,4755.0,2333.8,6.8,0.3284703245836241,2.48511774294705,118.87500000000989,22.446981120803837,-41.639671529364044,-20.780962236284733,-58.514999999997784,-4.106100147031247,0.0,0.011025390625,0.860703125,0.13774414360523224,heuristic_eval,,reward,16.28024839964637,1.6653609092554853,0,,13.9306640625,40,42,,,,,
random,Random,5,False,1.7552261253877077,2.8874649799876417,3.7565720331173393,2.1839642813378686,5.011138356202011,11022.660886674126,0.9916366277604378,0.008363372239562083,0.0018451259698026756,20480.0,371.6,0.018144531250000002,1945.3200525283814,2316.9200517416,3263.6,3263.6,3236.2,27.4,0.0,27.4,6.0,6.0,27.4,0.8868691380985547,0.9818554687500001,0.6679055232324179,0.6674350216142662,0.3318615025662516,0.9992965241805176,0.9992965241805176,0.0007034758194823338,0.158017578125,9.4810546875,0.08084842850459373,0.5112660569674057,2560,0.5112660569674057,0.7458521353871318,0.6761491484487159,0.7458521353871318,0.5112660569674057,0.5112660569674057,7099.2,5.0,7104.2,4741.0,2357.8,0.4,0.3318047890824821,2.324965384238373,118.52500000000983,19.093814665910635,-37.9057576285237,-21.488928841369955,-58.95499999999777,-17.37690068492666,-0.1370000000000001,0.1596484375,0.0,1.0,heuristic_eval,,reward,1.7552261253877077,1.5526623967030266,0,,13.8896484375,40,42,,,,1.0,random(best_offload=1.00)
min_distance,Min-Distance,5,False,-1.1256308230294962,3.9248786491531793,4.252558657555777,2.2793794640742195,5.005802530718164,12070.78483819729,1.0,0.0,0.08458345419580796,20480.0,379.6,0.01853515625,43.92000172138214,423.51999843120575,67.2,67.2,67.2,0.0,0.0,0.0,6.0,6.0,0.0,0.9793203125766012,0.9814648437499999,0.6259795227963706,0.6254700067769215,0.3737147581162814,0.999184764893203,0.999184764893203,0.0008152351067970773,0.0032812500000000003,0.196875,0.1205201298899031,0.3494543471864018,2560,0.3494543471864018,0.5984550113762797,0.3971919791033941,0.5984550113762797,0.3494543471864018,0.3494543471864018,7098.4,5.8,7104.2,4442.8,2654.8,0.8,0.37360211624938094,2.716931853380141,111.07000000000812,15.320448291232827,-37.065591353710055,-20.884086247513856,-66.38999999999798,-3.176400109194219,0.0,0.00357421875,0.0,1.0,heuristic_eval,,reward,-1.1256308230294962,1.7004937504504243,1,Service Continuity,13.016015625,40,42,,,,1.0,min_distance(best_offload=1.00)
full_local,Full-Local,5,False,-150.9715515150725,8.158908190138096,5.237622336297564,2.2089379405587057,5.396961233221859,14897.034879988383,0.0,0.0,1.0,20480.0,14229.6,0.6948046875,0.0,14229.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3051953125,0.3051953125,0.5180844238844942,0.5180844238844942,0.48191557611550584,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7104.2,0.0,7104.2,3679.8,3424.4,0.0,0.48191557611550584,4.0483273221339156,91.99500000000378,0.0,-29.55018758977537,-21.084366437557183,-85.61000000000233,-106.72200375944377,0.0,0.0,1.0,0.0,heuristic_eval,,reward,-150.9715515150725,2.0969334872312695,0,,10.7806640625,40,42,,,,,
