method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,1,46.06001231743721,3.265980750403174,2.086627294978546,4.533317024956162,10982.29591838246,1.0,0.0,0.4044943820224719,20480.0,271.0,0.013232421875,53.400002241134644,324.4000005722046,53.0,0.0,0.9841601562220603,0.986767578125,0.764973034345728,0.7642138097263576,0.23479370480646533,0.9990075145328229,0.9990075145328229,0.0009924854671770878,0.002587890625,0.1552734375,0.030073000101788056,0.785248845187801,512.0,0.785248845187801,0.9131485587464249,0.785248845187801,0.785248845187801,0.23337586842478378,7046.0,5390.0,1646.0,2.037531710275039,134.7500000000135,23.376603103908636,-40.94456642962742,-27.28902539322494,-41.39999999999872,-2.4330001058988273,0.0,
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,2,51.57373411528533,3.0685983278950952,2.0092168417296477,4.362351660093904,10564.671368481977,1.0,0.0,0.44339622641509435,20480.0,454.0,0.02216796875,63.60000252723694,517.5999995470047,59.0,0.0,0.9747265625221189,0.97783203125,0.7970767702568469,0.7958345140266364,0.20260697081326154,0.998441484839898,0.998441484839898,0.0015585151601020118,0.002880859375,0.1728515625,0.05609582762095951,0.6334753854245715,512.0,0.6334753854245715,0.8129816582321594,0.6334753854245715,0.6334753854245715,0.2017568716350241,7047.0,5617.0,1424.0,1.8808387695356912,140.4250000000148,20.8123304507434,-41.701893181957985,-28.329703690480027,-35.74999999999904,-3.882000159006566,0.0,
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,3,44.88220892802201,3.0999243773573535,2.0494056943686276,4.515654148327757,10907.927565315515,1.0,0.0,0.4,20480.0,469.0,0.022900390625,61.800002217292786,530.7999995946884,63.0,0.0,0.9740820312697906,0.977099609375,0.7809970174691095,0.7802213393870602,0.2187854710556186,0.9990068104426788,0.9990068104426788,0.0009931895573212259,0.003076171875,0.1845703125,0.10621699265202227,0.40363882216151054,512.0,0.40363882216151054,0.7414661894920539,0.40363882216151054,0.40363882216151054,0.2180760499432463,7041.0,5499.0,1537.0,1.983620215551103,137.47500000001412,18.981534450996637,-41.10607201484058,-27.93725430249795,-38.54999999999888,-3.981000172905624,0.0,
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,4,39.28857299093215,3.4445741615534424,2.0742196651251943,4.433531710172022,11455.39713230054,1.0,0.0,0.44554455445544555,20480.0,266.0,0.01298828125,60.60000240802765,326.6000008583069,56.0,0.0,0.9840527343330905,0.98701171875,0.7414607053596223,0.7406380027739251,0.258252427184466,0.9988904299583912,0.9988904299583912,0.0011095700416088765,0.002734375,0.1640625,0.03391934511410571,0.7610635154115779,512.0,0.7610635154115779,0.8904775810173823,0.7610635154115779,0.7610635154115779,0.25755894590846046,7202.0,5340.0,1857.0,2.145205455486993,133.50000000001322,22.796226074045045,-40.895524896965576,-27.112628818398697,-46.54999999999843,-2.4495000895112753,0.0,
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,5,59.13305569824297,2.9251432054688933,2.0663749990457343,4.307609611114806,10327.706978907154,1.0,0.0,0.42857142857142855,20480.0,620.0,0.0302734375,58.800002098083496,678.8000007867813,56.0,0.0,0.9668554687115829,0.9697265625,0.8231340148438594,0.8218680089485458,0.17659395973154363,0.9984619686800895,0.9984619686800895,0.0015380313199105146,0.002734375,0.1640625,0.05748098686928183,0.6261168051101742,512.0,0.6261168051101742,0.8716267122501538,0.6261168051101742,0.6261168051101742,0.1761744966442953,7141.0,5878.0,1260.0,1.7570103740910434,146.95000000001627,22.313643833603926,-44.147492944215905,-29.317096348950358,-31.574999999999275,-5.09100003587082,0.0,
han_pdqn,HAN+PDQN,1,80.92614994198084,2.2593915095293755,1.919837320522101,4.409508203936763,9424.699024981253,0.9902912621359223,0.009708737864077669,0.05555555555555555,20480.0,261.0,0.012744140625,129.60000503063202,390.6000027656555,206.0,2.0,0.9809277342399583,0.987255859375,0.894878706199461,0.8943711895647243,0.10506167588260315,0.9994328654473273,0.9994328654473273,0.0005671345526726216,0.0099609375,0.59765625,0.05690089859857999,0.6291904073372871,505.0,0.6291904073372871,0.8054901412405208,0.6291904073372871,0.6291904073372871,0.10463632496809869,7049.0,6308.0,738.0,1.4940867192424307,157.70000000001872,20.33862606632317,-44.34754823755852,-31.300426171260394,-18.525000000000016,-2.9295001183636487,-0.010000000000000002,
han_pdqn,HAN+PDQN,2,78.59606761019677,2.238914596328486,1.8397738736615237,4.2878105534379,9049.514388217904,1.0,0.0,0.046242774566473986,20480.0,373.0,0.018212890625,103.80000400543213,476.7999997138977,165.0,0.0,0.9767187500139698,0.981787109375,0.891550893110292,0.8910456219892321,0.10838764522527629,0.9994332672145083,0.9994332672145083,0.0005667327854916407,0.008056640625,0.4833984375,0.08160650365000051,0.5078111994079982,504.0,0.5078111994079982,0.6760749239590608,0.5078111994079982,0.5078111994079982,0.10838764522527629,7054.0,6289.0,765.0,1.438943295948148,157.2250000000186,17.0370880837684,-42.76164796597775,-30.20337069490723,-19.124999999999982,-3.576000150293112,0.0,
han_pdqn,HAN+PDQN,3,74.00036695390008,2.287717471712151,1.8993809484393365,4.416153682864596,9363.418443739038,1.0,0.0,0.07909604519774012,20480.0,454.0,0.02216796875,106.20000422000885,560.1999994516373,163.0,0.0,0.9726464844017755,0.97783203125,0.8846754722340576,0.8837968217934166,0.1152099886492622,0.9990068104426788,0.9990068104426788,0.0009931895573212259,0.007958984375,0.4775390625,0.09762962947896245,0.4383123807640182,500.0,0.4383123807640182,0.657637979944654,0.4383123807640182,0.4383123807640182,0.1152099886492622,7041.0,6229.0,812.0,1.5031976952543005,155.72500000001827,16.44094949861642,-43.22960091848359,-30.43448023618245,-20.299999999999915,-4.201500185299665,0.0,
han_pdqn,HAN+PDQN,4,74.83263195399195,2.37870737689904,1.9390129834886236,4.406451217174278,9814.53028806608,1.0,0.0,0.0949367088607595,20480.0,245.0,0.011962890625,94.80000364780426,339.80000150203705,143.0,0.0,0.9834082030516583,0.988037109375,0.870090215128383,0.8694868238557559,0.12981969486823855,0.9993065187239945,0.9993065187239945,0.0006934812760055479,0.006982421875,0.4189453125,0.060461246228631325,0.6105069668881883,508.0,0.6105069668881883,0.7898207766517007,0.6105069668881883,0.6105069668881883,0.12968099861303745,7205.0,6269.0,935.0,1.5655655268888309,156.7250000000185,20.061447726953247,-44.702588062114,-31.302725908794603,-23.39999999999974,-2.5485001020133495,0.0,
han_pdqn,HAN+PDQN,5,88.92384788766503,2.0586825566254765,1.8338895638759225,4.163508890394892,8752.142350933083,1.0,0.0,0.02786377708978328,20480.0,590.0,0.02880859375,193.80000746250153,783.8000036478043,314.0,0.0,0.9617285154468845,0.97119140625,0.9291713325867861,0.9281319910514542,0.07074944071588367,0.9988814317673378,0.9988814317673378,0.0011185682326621924,0.01533203125,0.919921875,0.07894807094066858,0.5199967538042914,506.0,0.5199967538042914,0.7012111777965823,0.5199967538042914,0.5199967538042914,0.07074944071588367,7144.0,6638.0,506.0,1.3184908633523778,165.9500000000206,17.74064279825351,-44.63916848077655,-31.5991256759627,-12.650000000000112,-5.8785001169890165,0.0,
