method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_multiuser_u25,HAN+MAPPO,True,3,-21.36034295618896,7.407311143906939,2.6759945163002112,1244.5965741962439,0.7341362780345831,0.2658637219654169,0.0,0.9847333333333333,0.9894,0.8264498229083364,0.826396897632102,0.17354006656356116,0.9999369641956631,0.9999369641956631,6.303580433686334e-05,0.17354006656356116,0.007777777777777778,0.015527342662172752,0.015527342662172752,0.08480639499094751,0.23712623666891472,0.005022222222222222,0.0,0.7763533592224121,-1335.4906420910131,-4.285773585648138,1006.6666666666214,1735.2000000001206,413.5173236752742,-1.374000000000003,5.386980550142698,0.02510007022481538,0.0,-292.7978030481354,-728.5333333333261,-276.90000000000475,-0.16666666666666666,-2.6666666666666665,-9.200000000000001,-2.5766666666666644,avg_delay,-2.6759945163002112,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u25_multiuser_6_7/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,3,-15.510313476699032,5.6198506352121145,2.6068646633811206,1248.416472591729,0.7392381422530069,0.2607618577469932,0.0,0.9645866666666666,0.9830666666666668,0.8372748205922527,0.8372748205922527,0.1627251794077473,1.0,1.0,0.0,0.1627251794077473,0.030800000000000004,0.007759397796869213,0.007759397796869213,0.0714646444345514,0.23783891647775365,0.02811111111111111,0.0,0.7270814180374146,-1315.1330182881532,-4.760756779579867,1074.7999999999647,1758.0000000001257,417.0692746173183,-3.187199999999996,19.678334897563666,0.01329719907806224,0.0,-247.41277028366775,-683.1999999999954,-202.80000000000197,0.0,-2.6666666666666665,-35.39999999999996,-10.324999999999939,avg_delay,-2.6068646633811206,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u25/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
pdqn,PDQN,False,3,-26.18911898304594,6.887703502628716,2.723154336157931,714.6359372838373,0.753948646431958,0.24605135356804197,0.0010334517287741056,0.9325688888888889,0.9653555555555555,0.818892537191383,0.8185280204093802,0.18102878877080145,0.9995568091801816,0.9995568091801816,0.00044319081981827397,0.18102878877080145,0.05464444444444444,0.06759710305007653,0.06759710305007653,0.12268518251884315,0.13620761193465766,0.05282222222222222,0.006155555555555556,0.9704927206039429,-1335.7325054362434,-2.0947628245223253,958.6666666666146,1718.6666666667834,389.8900211557784,-6.0687999999999915,41.33844486749566,0.05789645216486322,0.0,-280.100061845791,-759.999999999991,-192.7000000000016,-1.1666666666666667,-2.6666666666666665,-59.69999999999979,-18.600000000000012,avg_delay,-2.723154336157931,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u25/learned_baselines/pdqn/training_history.json,pdqn_train_eval
han_pdqn,HAN+PDQN,False,3,-28.715032448139123,3.4677937660594256,2.759109029071743,801.7336413015631,0.76558771913869,0.23441228086131002,0.002028905698101587,0.9332088888888888,0.9688888888888889,0.8142691434689366,0.8138558143625367,0.18563743010877135,0.9994932444713082,0.9994932444713082,0.0005067555286919072,0.18563743010877135,0.05946666666666667,0.07427057231562888,0.07427057231562888,0.11846239919670754,0.15281789973344492,0.05811111111111111,0.006822222222222223,0.9122769236564636,-1355.7335518364298,-2.355995027378084,929.3333333332829,1708.8000000001146,383.250436821997,-6.0112,45.133563294581364,0.05532578524592031,0.0,-290.74074598931367,-779.4666666666566,-188.70000000000144,-1.8333333333333333,-2.6666666666666665,-61.49999999999977,-20.56833333333338,avg_delay,-2.759109029071743,1,Active Load Balance,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u25/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval
mappo_no_han,MAPPO,False,3,-34.26743619353247,8.671033056374325,2.8082927665254185,1395.47580899434,0.7831710772887245,0.21682892271127563,0.0,0.9850133333333333,0.9888666666666667,0.806823723884507,0.8067718955051895,0.19316506869047378,0.9999369641956631,0.9999369641956631,6.303580433686334e-05,0.19316506869047378,0.006422222222222222,0.014954692975492762,0.014954692975492762,0.08785072715125149,0.2658724391580731,0.003088888888888889,0.0,0.7628844380378723,-1368.6005935216856,-4.416160832230095,883.066666666617,1694.0000000001112,400.1778337452907,-1.3488000000000033,5.589848396055557,0.03688440881607707,0.0,-350.2520864056432,-810.9333333333215,-375.9000000000085,0.0,-2.6666666666666665,-5.899999999999999,-2.309999999999998,avg_delay,-2.8082927665254185,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u25/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
maddpg,MADDPG,False,3,-33.38067815610855,4.993655178743604,2.8274580608515723,867.037980286575,0.749382716581055,0.25061728341894507,0.0,0.9632088888888889,0.9744222222222222,0.8064500880876807,0.8063475410167694,0.19352497608963334,0.9998725171064028,0.9998725171064028,0.0001274828935971872,0.19352497608963334,0.01868888888888889,0.06589755588339725,0.06589755588339725,0.12915263480196396,0.16520253673291363,0.016066666666666667,0.010666666666666666,0.9862722158432007,-1363.288068589114,-2.210718121041781,880.5333333332833,1693.0666666667776,384.02695539665734,-3.311199999999993,12.612207238615085,0.025413977432558233,0.0,-332.293021794249,-812.5333333333214,-299.7000000000056,0.0,-2.6666666666666665,-21.200000000000028,-6.325000000000007,avg_delay,-2.8274580608515723,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u25/learned_baselines/maddpg/training_history.json,maddpg_train_eval
han_maddpg,HAN+MADDPG,False,3,-43.67135824654661,9.19822196543715,2.8752002933138283,843.9346309494423,0.7007016203167978,0.2992983796832022,0.003436470178644093,0.9243600000000001,0.9446,0.7805089208026805,0.7803166639853655,0.21943119279728707,0.9997478567826525,0.9997478567826525,0.0002521432173474534,0.21943119279728707,0.03373333333333333,0.040957209271621185,0.040957209271621185,0.12222221953173479,0.16082092948283852,0.03133333333333333,0.017244444444444444,0.9773862957954407,-1330.0201507808197,-2.159207798171341,716.6666666666184,1638.2666666667653,372.512646066586,-6.807599999999968,22.44087915891792,0.02390125028751784,0.0,-361.4069625813063,-921.5999999999818,-280.9000000000049,-2.1666666666666665,-1.6666666666666667,-42.69999999999985,-10.82500000000004,avg_delay,-2.8752002933138283,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u25/learned_baselines/han_maddpg/training_history.json,han_maddpg_train_eval
min_distance,Min-Distance,False,3,-45.78013255068009,1.330935861585386,2.9462299835971906,1093.4063782803735,0.7035691214470283,0.2964308785529715,0.0,0.9870222222222221,0.9900222222222222,0.7935353619660273,0.7934853220055956,0.20645164219006742,0.9999369641956631,0.9999369641956631,6.303580433686334e-05,0.20645164219006742,0.005,0.04483675092408154,0.04483675092408154,0.1300084148430162,0.2083207884441204,0.005,0.0,1.0,-1413.6364130209265,-2.480275506076541,799.0666666666199,1666.0000000001048,380.8624806737323,-1.1680000000000017,3.090791248760832,0.0016666659514109636,0.0,-398.7617930178842,-866.9333333333183,-470.600000000012,0.0,-2.6666666666666665,-6.799999999999998,-1.5716666666666679,avg_delay,-2.9462299835971906,1,Service Continuity,1.0,min_distance(best_offload=1.00),,heuristic_eval
random,Random,False,3,-163.58097851625624,7.208057396243816,3.272869763624561,669.6551654111631,0.7268993469773629,0.27310065302263703,0.0010081574814384776,0.3662000000000003,0.7211333333333334,0.6406542144880691,0.6392273791348542,0.35855207943543416,0.9977794585702884,0.9977794585702884,0.0022205414297116715,0.35855207943543416,0.5915555555555555,0.040470916999414526,0.040470916999414526,0.11830807814581527,0.12786185693950416,0.5905777777777778,0.0,1.0,-1443.0419030317207,-1.6079552533905224,-163.0666666666613,1342.266666666698,282.3477982965208,-57.041999999999966,406.8348510682196,0.5525525315212056,0.0,-612.1636349662685,-1505.333333333282,-205.3000000000021,-9.0,-1.3333333333333333,-721.199999999982,-194.5200000000058,avg_delay,-3.272869763624561,1,Energy per Resolved Task,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,3,-127.60647521427701,5.93035380593307,4.204487528672579,2629.509278991805,0.7982646663681147,0.20173533363188534,0.0,0.9521244444444444,0.9543777777777778,0.5764250122004918,0.5762775953284399,0.4234674388843658,0.9997450342128055,0.9997450342128055,0.0002549657871943744,0.4234674388843658,0.0037555555555555554,0.0,0.0,0.0,0.5010816132233636,0.00037777777777777777,0.9668666666666667,0.03311111032962799,-1699.2462226504913,-4.435898139193459,-568.5333333333637,1209.8666666666677,267.2756933228464,-4.30879999999997,2.8706934201417575,0.0,0.0,-1073.291992760856,-1778.3999999999332,0.0,0.0,-2.6666666666666665,-3.399999999999999,-1.3500000000000008,avg_delay,-4.204487528672579,0,,,,,heuristic_eval
