method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,1,9.505224394434741,2.3154261118654564,255.6475700910408,0.6956521739130435,0.30434782608695654,0.0,0.9748666666666667,0.9771666666666666,0.8606403013182674,0.8606403013182674,0.1393596986817326,1.0,1.0,0.0,0.2530623556177092,0.6580390812890816,0.1393596986817326,2124.0,1828.0,296.0,-491.77632161959815,-1.206796194039606,494.39999999998315,731.1999999999756,180.56379381326542,-2.261999999999996,1.022481390437374,0.020902985902985904,0.0,-55.320949142831424,-236.8000000000012,-3.899999999999999,0.0,-2.0,-2.1,-0.4800000000000002,
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,2,11.717210843157794,2.386648259699008,280.584209621062,0.7142857142857143,0.2857142857142857,0.0,0.9733666666666667,0.9761666666666666,0.8676951846657317,0.8672897196261682,0.1322429906542056,0.9995327102803738,0.9995327102803738,0.00046728971962616824,0.24927032236345079,0.7007961760461752,0.1322429906542056,2139.0,1856.0,283.0,-491.3963222350798,-1.288213865690901,515.9999999999784,742.399999999975,180.59085514981106,-2.3969999999999967,1.266463118961734,0.03878357753357754,0.0,-53.35026563519959,-226.40000000000106,-7.499999999999997,0.0,-2.0,-2.4,-0.6000000000000003,
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,3,3.6766158697863034,2.394590359415983,275.1407779315403,0.6785714285714286,0.32142857142857145,0.0,0.9785333333333334,0.9813333333333333,0.8502598016060463,0.8502598016060463,0.14974019839395372,1.0,1.0,0.0,0.24509807363267377,0.6555524290524269,0.14974019839395372,2117.0,1800.0,317.0,-502.9675826085518,-1.2289443364120427,466.3999999999845,719.9999999999762,173.82380251325162,-1.9319999999999957,1.2079799791380417,-0.12673881673881676,0.0,-67.71719404447083,-253.60000000000144,-9.0,0.0,-2.0,-2.6999999999999997,-0.5700000000000003,
min_distance,Min-Distance,1,7.960167207371215,2.343968532407471,117.99578587003022,0.6774193548387096,0.3225806451612903,0.0,0.9742333333333334,0.9773333333333334,0.8596325953838907,0.8592278719397364,0.14030131826741996,0.9995291902071564,0.9995291902071564,0.00047080979284369113,0.25032784419478343,0.691137085137085,0.14030131826741996,2123.0,1825.0,298.0,-497.0894356016725,-0.552381037973537,491.5999999999832,729.9999999999757,177.64020283923438,-2.3189999999999964,1.2371164017575742,-0.10051476301476303,0.0,-57.41069798820103,-238.40000000000123,-5.699999999999998,0.0,-2.0,-2.9999999999999996,-0.6300000000000003,1.0
min_distance,Min-Distance,2,8.605288496397971,2.4350271486665,145.05251684026757,0.6896551724137931,0.3103448275862069,0.0,0.9746,0.9775,0.863487611033193,0.8630841121495327,0.13644859813084112,0.9995327102803738,0.9995327102803738,0.00046728971962616824,0.24487776640352873,0.7309320956820955,0.13644859813084112,2139.0,1847.0,292.0,-499.5413167996399,-0.5842315379155533,505.19999999997805,738.7999999999752,177.12463868988345,-2.2859999999999983,1.179035548472353,-0.09131673881673884,0.0,-58.56768277146322,-233.60000000000116,-12.300000000000008,0.0,-2.0,-2.6999999999999997,-0.6000000000000003,1.0
min_distance,Min-Distance,3,3.835346592937981,2.4142455036450805,138.8523413816885,0.6666666666666666,0.3333333333333333,0.0,0.98,0.983,0.8535663675011809,0.8535663675011809,0.14643363249881908,1.0,1.0,0.0,0.2450014327493753,0.7208140933140916,0.14643363249881908,2117.0,1807.0,310.0,-508.21225394848045,-0.5621047566887404,474.79999999998415,722.7999999999761,172.0302592897076,-1.7999999999999965,1.1796173798058451,-0.08322399822399822,0.0,-67.06323271011874,-248.00000000000136,-11.100000000000005,0.0,-2.0,-2.9999999999999996,-0.6050000000000002,1.0
mappo_no_han,MAPPO (no HAN),1,10.6454919730881,2.288140963536337,300.67719077157085,0.6956521739130435,0.30434782608695654,0.0,0.9752000000000001,0.9775,0.8625235404896422,0.8625235404896422,0.1374764595103578,1.0,1.0,0.0,0.2558080587216905,0.6591540404040408,0.1374764595103578,2124.0,1832.0,292.0,-488.80905210606096,-1.4390156813001045,499.1999999999827,732.7999999999755,183.15570868313662,-2.2319999999999958,1.022384299288934,0.021180763680763683,0.0,-54.93027420175906,-233.60000000000116,-3.2999999999999994,0.0,-2.0,-2.1,-0.4800000000000002,
mappo_no_han,MAPPO (no HAN),2,13.258358906049738,2.3493995168933597,327.4306367253721,0.7142857142857143,0.2857142857142857,0.0,0.9738666666666667,0.9766666666666667,0.8695652173913043,0.8691588785046729,0.13037383177570094,0.9995327102803738,0.9995327102803738,0.00046728971962616824,0.2527154063120484,0.7031069023569013,0.13037383177570094,2139.0,1860.0,279.0,-486.4079342111799,-1.5282227676426328,520.7999999999781,743.9999999999749,184.11347067619076,-2.3519999999999963,1.266322777135082,0.03878357753357754,0.0,-52.053524631906456,-223.200000000001,-6.899999999999998,0.0,-2.0,-2.4,-0.6000000000000003,
mappo_no_han,MAPPO (no HAN),3,3.9679194100323474,2.369507071828582,320.60437147613055,0.7058823529411765,0.29411764705882354,0.0,0.9786,0.982,0.8497874350495985,0.8497874350495985,0.1502125649504015,1.0,1.0,0.0,0.2468022669821076,0.6568815536315515,0.1502125649504015,2117.0,1799.0,318.0,-500.7068653981074,-1.4426193415472606,465.1999999999844,719.5999999999763,176.57220657702248,-1.9259999999999962,1.4959782900465282,-0.07038600288600287,0.0,-68.65186161101666,-254.40000000000146,-8.7,0.0,-2.0,-2.9999999999999996,-0.7200000000000004,
attn_mappo,Attn+MAPPO,1,10.533305352147016,2.295303863884673,345.41238266672354,0.6956521739130435,0.30434782608695654,0.0,0.9748666666666667,0.9771666666666666,0.8620527306967984,0.8620527306967984,0.1379472693032015,1.0,1.0,0.0,0.25502548680733644,0.6594648869648873,0.1379472693032015,2124.0,1831.0,293.0,-488.5561956522742,-1.6532224555670372,497.9999999999827,732.3999999999755,182.62026767980652,-2.261999999999996,1.022481390437374,0.020902985902985904,0.0,-54.346484702355866,-234.40000000000117,-2.9999999999999996,0.0,-2.0,-2.1,-0.4800000000000002,
attn_mappo,Attn+MAPPO,2,13.99804917795665,2.351594940133209,374.3771379239736,0.7142857142857143,0.2857142857142857,0.0,0.9733666666666667,0.9761666666666666,0.8714352501168771,0.8710280373831776,0.12850467289719625,0.9995327102803738,0.9995327102803738,0.00046728971962616824,0.252963043704552,0.701547138047137,0.12850467289719625,2139.0,1864.0,275.0,-485.7931964844953,-1.771087230069543,525.599999999978,745.5999999999748,183.76750788788488,-2.3969999999999967,1.266463118961734,0.03878357753357754,0.0,-49.92605100563048,-220.00000000000097,-5.999999999999998,0.0,-2.0,-2.4,-0.6000000000000003,
attn_mappo,Attn+MAPPO,3,5.386214507653334,2.368455532248915,358.9458109253034,0.76,0.24,0.0,0.9791666666666667,0.9816666666666667,0.8526216343882853,0.8526216343882853,0.1473783656117147,1.0,1.0,0.0,0.2478461347282438,0.6557757335257315,0.1473783656117147,2117.0,1805.0,312.0,-498.4191373593596,-1.643954345284633,472.39999999998423,721.9999999999761,176.73551608892137,-1.8749999999999956,1.2079656424463128,-0.09007215007215008,0.0,-66.36849049231152,-249.6000000000014,-7.799999999999997,0.0,-2.0,-1.8,-0.5700000000000003,
full_local,Full-Local,1,-142.93646424813156,4.166942315844157,944.3647136987004,0.8,0.2,0.0,0.8576666666666667,0.8596666666666667,0.5264150943396226,0.5254237288135594,0.4726930320150659,0.9981167608286252,0.9981167608286252,0.0018832391713747645,0.087215685899422,0.6960634920634924,0.4726930320150659,2120.0,1116.0,1004.0,-613.7809778573686,-1.6383823087525078,-356.8000000000088,446.39999999999173,97.72171000204274,-12.809999999999919,1.0327317712345532,-0.00134920634920635,0.0,-425.06146179061267,-803.1999999999886,0.0,0.0,-2.0,-1.2,-0.4800000000000002,
