method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority,HAN+MAPPO,True,10,411.6640495799273,7.314963766261328,2.1995279374211636,1192.0807176457922,0.7976986167639437,0.20230138323605637,0.0,0.9670079999999999,0.972675,0.5487278310962077,0.999874017253757,0.00012598274624300753,0.4512721689037922,0.6058048615853486,0.13662189901274352,latency_priority_score,0.551217254242921,3,Average Delay | Service Continuity | Service Availability,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_20260427_140046/training_history.json,checkpoint_eval
maddpg,MADDPG,False,10,374.631339213896,11.99485072583291,3.8323542894690577,3586.7392664147965,0.863467095683126,0.13653290431687404,0.0,0.8336460000000001,0.8355600000000001,0.6079232842148821,0.9998394207238711,0.00016057927612882694,0.392076715785118,0.6656103968253965,0.47901749087367235,latency_priority_score,0.48468778966297543,1,Task Completion,,,results/baseline_compare/maddpg_20260507_001011/learned_baselines/maddpg/training_history.json,maddpg_train_eval
