method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,handover_attempts,handover_committed,handover_aborted,handover_radio_failures,migration_rejections,reconnection_attempts,reconnections,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,failed_tasks,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_mec_load_fairness,reachable_jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,resolved_tasks,pending_tasks,total_tasks,completed_tasks,deadline_violations,energy_per_resolved_task,energy_per_successful_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source,num_users,seed
pdqn,PDQN,False,5,81.4628550467547,2.484513880352266,2.142471116661988,1.8228680520632499,4.240141360212496,6308.436987790249,0.7877152799614541,0.21228472003854595,0.17200354274099444,15360.0,346.8,0.022578125,98.64000360965728,445.44000017642975,181.6,181.6,141.6,40.0,41.2,0.0,24.0,22.8,40.0,0.9709999999885136,0.9774218749999999,0.9026453903080425,0.9016989021239137,0.09725162848253874,0.9989505306064524,0.9989505306064524,0.0010494693935476005,0.09650017413941027,4.0,0.00921875,0.553125,0.0936116393575103,0.45513115019883144,2390,0.45513115019883144,0.6449177583188268,0.4507296542696479,0.6449177583188268,0.45513115019883144,0.45513115019883144,5329.2,5.6,5334.8,4810.2,515.0,1.183749340949908,1.3114708302753002,0.013385416666666667,0.6797005208333333,0.3101304769515991,160.33999999999347,15.46342347950789,-42.75741182278852,-29.554092475843323,-17.300000000000043,-4.454400162585079,-0.2746666666666666,reward,81.4628550467547,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/pdqn/training_history.json,pdqn_train_eval,30,42
attn_mappo,Attn+MAPPO,False,5,60.22620500919002,7.169613710073336,2.8214101009828867,1.9902042987893012,4.327160273229119,7494.004109889484,1.0,0.0,0.440785253088284,15360.0,352.6,0.022955729166666668,43.560001730918884,396.1600006103516,41.8,41.8,41.8,0.0,0.0,0.0,30.8,30.8,0.0,0.9742083332935969,0.9770442708333332,0.8242382281995763,0.8230257189579557,0.1755111696578334,0.9985368886157892,0.9985368886157892,0.0014631113842109046,0.17401202907250204,8.0,0.0027213541666666666,0.16328125,0.06617156923855945,0.5814198639180532,2558,0.5814198639180532,0.8115899836903239,0.8061229786300954,0.8115899836903239,0.5814198639180532,0.5814198639180532,5327.0,7.8,5334.8,4390.4,928.6,1.406796341259524,1.7069069127845948,0.0047265625,0.759609375,0.16489537060260773,146.34666666666095,20.76010809989599,-42.583384601540615,-29.11558742214557,-31.22000000000055,-3.961600149795413,0.0,reward,60.22620500919002,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval,30,42
mappo_no_han,MAPPO,False,5,58.788018135083256,8.314504387790475,2.9013402820875536,2.027136838097198,4.302058214207824,7220.567571404625,1.0,0.0,0.409165916051162,15360.0,350.6,0.022825520833333335,44.52000150680542,395.1200006008148,45.0,45.0,45.0,0.0,0.0,0.0,29.2,29.2,0.0,0.9742760416275511,0.9771744791666667,0.8160729347634236,0.8147506668299271,0.1836361671714825,0.9983868340014096,0.9983868340014096,0.0016131659985904809,0.18221033865522315,7.6,0.0029296875,0.17578125,0.06467258663390629,0.5889531571484038,2559,0.5889531571484038,0.8179245629457617,0.8148461409939907,0.8179245629457617,0.5889531571484038,0.5889531571484038,5326.2,8.6,5334.8,4346.2,972.4,1.3556696277655036,1.6613518870288124,0.004830729166666666,0.7601432291666667,0.18929162621498108,144.8733333333277,20.93112649233335,-42.909831436603895,-27.4887461070918,-32.66666666666718,-3.951200158894062,0.0,reward,58.788018135083256,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u30/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval,30,42
joint_greedy,Joint Greedy,False,5,31.21776964928058,6.432155369550369,3.3013002199159063,2.2919597212989,4.951837997123533,7853.016020373789,1.0,0.0,0.09663169007335752,15360.0,349.4,0.022747395833333333,123.00000486373901,472.40000038146974,187.0,187.0,187.0,0.0,0.0,0.0,18.0,18.0,0.0,0.9692447916418313,0.9772526041666667,0.7226895181546802,0.7216234487785476,0.2769138144434898,0.9985372632220374,0.9985372632220374,0.0014627367779627128,0.2762382877253713,3.6,0.012174479166666667,0.73046875,0.047743035448626445,0.6793004049502667,2560,0.6793004049502667,0.8592924324618549,0.8733471298363312,0.8592924324618549,0.6793004049502667,0.6793004049502667,5327.0,7.8,5334.8,3849.2,1474.2,1.4741911057581731,2.0401683519624307,0.013346354166666666,0.8273697916666667,0.17085611820220947,128.30666666666195,21.997886271023564,-44.37170403900759,-20.731080663947935,-49.25999999999976,-4.724000158160925,0.0,reward,31.21776964928058,0,,,,,heuristic_eval,30,42
random,Random,False,5,13.14521959525664,2.1253747926644024,3.434341546240654,2.185660924309043,4.926715210571219,7475.267667906586,0.9874834265984479,0.012516573401552208,0.0022717464263917156,15360.0,315.4,0.020533854166666664,1413.240017223358,1728.6400295257567,2381.0,2381.0,2350.2,30.8,0.0,30.8,5.2,5.2,30.8,0.8874583314110834,0.9794661458333334,0.7073429647316596,0.7065694380022012,0.2923433422635232,0.9989127802657244,0.9989127802657244,0.0010872197342757062,0.2921936622553918,0.8,0.1530078125,9.18046875,0.08845335240474048,0.47730845756869167,2560,0.47730845756869167,0.7194165439941074,0.6173532680529868,0.7194165439941074,0.47730845756869167,0.47730845756869167,5329.0,5.8,5334.8,3769.0,1559.2,1.4027524240770475,1.9833557091819014,0.1553515625,0.0,1.0,125.63333333332875,18.417063526249223,-40.03319338983809,-21.380249106980624,-51.999999999999616,-17.28640087749809,-0.2053333333333332,reward,13.14521959525664,0,,1.0,random(best_offload=1.00),,heuristic_eval,30,42
min_distance,Min-Distance,False,5,9.546008378786428,3.8301142041607337,3.8902845936610833,2.290094535127339,4.892521541996176,8389.787871520555,0.9959183673469388,0.004081632653061224,0.09824992617445447,15360.0,326.8,0.02127604166666667,33.000001311302185,359.79999885559084,50.0,50.0,49.8,0.2,0.0,0.2,5.2,5.2,0.2,0.9765755209078391,0.9787239583333334,0.6652327295556363,0.6643867303790331,0.3343389233159952,0.9987256536950282,0.9987256536950282,0.0012743463049716959,0.3342260047982174,0.6,0.0032421874999999994,0.19453125,0.12582813514117017,0.33039534097730033,2560,0.33039534097730033,0.5852425693372828,0.35732097832333265,0.5852425693372828,0.33039534097730033,0.33039534097730033,5328.0,6.8,5334.8,3544.0,1783.4,1.5746598857959,2.367321634176229,0.00359375,0.0,1.0,118.13333333332919,14.982209775034523,-39.468179359183814,-21.03535485659401,-59.46666666666586,-3.598000142350793,-0.0013333333333333335,reward,9.546008378786428,1,Service Continuity,1.0,min_distance(best_offload=1.00),,heuristic_eval,30,42
full_local,Full-Local,False,5,-154.71335575394332,6.339244920783949,5.421711820144391,2.2284377342198116,5.402742558197561,11238.190308688156,0.0,0.0,1.0,15360.0,10725.2,0.6982552083333334,0.0,10725.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017447916666667,0.3017447916666667,0.5070175577099569,0.5070175577099569,0.4929824422900431,1.0,1.0,0.0,0.4929824422900431,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5334.8,0.0,5334.8,2704.4,2630.4,2.1065813730014535,4.155520747185385,0.0,1.0,0.0,90.14666666666412,0.0,-29.189520146276237,-20.738494967209327,-87.67999999999759,-107.25201444402337,0.0,reward,-154.71335575394332,0,,,,,heuristic_eval,30,42
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,True,5,52.705788297985784,7.95506506645239,3.0007300265460155,2.049299486987721,4.3016723335204565,9330.385399671057,1.0,0.0,0.5208737200499214,17920.0,367.2,0.020491071428571428,42.96000161170959,410.16000070571897,34.4,34.4,34.4,0.0,0.0,0.0,37.2,37.2,0.0,0.9771116071034756,0.9795089285714285,0.7989666414688537,0.7979898428201632,0.20078595760167822,0.9987758004218413,0.9987758004218413,0.0012241995781585586,0.1994041116578396,8.6,0.0019196428571428572,0.11517857142857142,0.05811124975684571,0.6227904706322422,2559,0.6227904706322422,0.8417598504270163,0.8705781868676661,0.8417598504270163,0.6227904706322422,0.6227904706322422,6209.2,7.6,6216.8,4961.2,1239.4,1.5026711008940052,1.880671087573784,0.0039955357142857145,0.7618303571428572,0.16041699051856995,141.7485714285721,21.54105118586255,-42.690948943532156,-28.720087424035977,-35.65714285714332,-3.5156573042273522,0.0,reward,52.705788297985784,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u35_multiuser_single_seed_150k_20260804/training_history.json,checkpoint_eval,35,42
han_pdqn,HAN+PDQN,False,5,87.4791245294502,5.1709229304973645,2.0953525180758,1.8244328376848167,4.178802896474812,7562.0176193169655,1.0,0.0,0.15122411314606998,17920.0,337.4,0.018828124999999998,82.44000313282012,419.84000039100647,118.8,118.8,118.8,0.0,0.0,0.0,18.6,18.6,0.0,0.976571428549609,0.981171875,0.9141627129192379,0.9136309963697873,0.08578819810580776,0.999419194475595,0.999419194475595,0.0005808055244049461,0.08549825230042196,1.8,0.006629464285714285,0.3977678571428571,0.07376819944206824,0.5443147315320721,2513,0.5443147315320721,0.7173741325351111,0.6318095576461771,0.7173741325351111,0.5443147315320721,0.5443147315320721,6213.2,3.6,6216.8,5680.0,531.4,1.2170890393544334,1.3313411301614375,0.007667410714285714,0.5839620535714286,0.40312668681144714,162.28571428572252,18.0349644273169,-43.504310699275216,-30.504329755034377,-15.234285714285667,-3.5986287191510202,0.0,reward,87.4791245294502,5,Successful-Task Delay | P95 Successful-Task Delay | Task Success | Deadline Violation | Energy per Successful Task,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u35/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval,35,42
pdqn,PDQN,False,5,77.19572979990626,4.845076198629822,2.2215518680670003,1.8627189146379748,4.271590837280509,7798.96698173184,0.8178167942172705,0.18218320578272956,0.14838493982292347,17920.0,369.2,0.02060267857142857,128.40000493526458,497.60000257492067,229.0,229.0,183.4,45.6,45.8,0.0,30.8,30.6,45.6,0.9722321427134532,0.9793973214285714,0.8909365356014545,0.890559421358366,0.10902105421515455,0.9995804755735206,0.9995804755735206,0.00041952442647941494,0.10844544923560051,3.6,0.010234375,0.6140625,0.09426515408535077,0.45236889085800186,2461,0.45236889085800186,0.6571058531481293,0.4984879076762809,0.6571058531481293,0.45236889085800186,0.45236889085800186,6214.2,2.6,6216.8,5536.4,674.2,1.2550234916371923,1.4086711548536668,0.014497767857142857,0.39934151785714284,0.589252769947052,158.18285714286387,16.18901682921696,-43.05774773877203,-30.225825156125193,-19.365714285714226,-4.265143029391766,-0.261714285714286,reward,77.19572979990626,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u35/learned_baselines/pdqn/training_history.json,pdqn_train_eval,35,42
mappo_no_han,MAPPO,False,5,52.467401579738365,7.8783946741218065,3.0101907937941146,2.0378246909400666,4.263571095581772,9316.621085878054,1.0,0.0,0.5275334055615747,17920.0,377.6,0.021071428571428574,43.68000156879425,421.2800002574921,34.6,34.6,34.6,0.0,0.0,0.0,38.2,38.2,0.0,0.9764910714142024,0.9789285714285715,0.7977766559543034,0.7967201706561758,0.20196088601997766,0.9986810566761536,0.9986810566761536,0.001318943323846519,0.20044770134898768,9.4,0.0019308035714285716,0.11584821428571428,0.0576768636163549,0.6250815681202945,2559,0.6250815681202945,0.8379533544469246,0.8575690646786989,0.8379533544469246,0.6250815681202945,0.6250815681202945,6208.6,8.2,6216.8,4953.2,1246.0,1.5005993437937786,1.880929719348715,0.0040625,0.75765625,0.16658678650856018,141.52000000000058,21.443555886617723,-42.46151346558984,-28.55510009709176,-35.86857142857191,-3.6109715938568114,0.0,reward,52.467401579738365,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u35/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval,35,42
attn_mappo,Attn+MAPPO,False,5,51.00335647904721,7.1508343583981056,3.043105775715193,2.072089399721765,4.430552950516753,9175.76917995521,1.0,0.0,0.5287058044823166,17920.0,369.0,0.020591517857142853,44.88000166416168,413.8800007343292,35.8,35.8,35.8,0.0,0.0,0.0,39.0,39.0,0.0,0.9769040178161645,0.9794084821428571,0.7915175440578927,0.7905501625562916,0.20822563786554976,0.9987758004218413,0.9987758004218413,0.0012241995781585586,0.20671377097816462,9.4,0.001997767857142857,0.11986607142857145,0.05718908961680548,0.6276619740099206,2559,0.6276619740099206,0.8464935270896558,0.8757588155592003,0.8464935270896558,0.6276619740099206,0.6276619740099206,6209.2,7.6,6216.8,4914.8,1285.0,1.4777699510331783,1.8669669528679111,0.004174107142857143,0.7589174107142858,0.17538319528102875,140.42285714285728,21.662112405910253,-42.532980809334084,-28.018234004277968,-36.98285714285773,-3.5475430194288493,0.0,reward,51.00335647904721,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u35/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval,35,42
joint_greedy,Joint Greedy,False,5,24.891781465050734,5.66925334294129,3.42149052578185,2.318190446816429,5.086421009808889,9784.899944987574,0.9994350282485875,0.0005649717514124294,0.11099381569026205,17920.0,366.8,0.02046875,136.68000540733337,503.47999982833863,204.8,204.8,204.6,0.2,0.0,0.2,23.2,23.2,0.2,0.9719040178667221,0.97953125,0.7019843770668748,0.7011434787062424,0.29766644940975856,0.9988099281160009,0.9988099281160009,0.0011900718839990949,0.2968294641111998,5.2,0.011417410714285715,0.6850446428571428,0.0442698524592957,0.6991207078175345,2560,0.6991207078175345,0.8748535486514474,0.9159779447791507,0.8748535486514474,0.6991207078175345,0.6991207078175345,6209.4,7.4,6216.8,4358.8,1845.4,1.5758205213044052,2.244860958288422,0.012723214285714286,0.8463058035714286,0.15207310020923615,124.53714285713924,22.396250845477148,-43.61195534920121,-21.238686768074878,-52.874285714288135,-4.315543012693524,-0.001142857142857143,reward,24.891781465050734,0,,,,,heuristic_eval,35,42
random,Random,False,5,8.157399172028864,2.4307212553572857,3.504351628173,2.197308970908393,4.9921188330085196,9172.668145612832,0.9857616357065156,0.014238364293484351,0.001906258838069991,17920.0,327.0,0.018247767857142858,1709.5200402736664,2036.5200533628463,2886.6,2886.6,2843.8,42.8,0.0,42.8,5.4,5.4,42.8,0.8863549077364483,0.9817522321428573,0.6921285721892335,0.6915507703696017,0.30761336511492765,0.9991641354845292,0.9991641354845292,0.0008358645154706275,0.3075167879025978,0.6,0.1586941964285714,9.521651785714287,0.08337315526527016,0.49982082271184153,2560,0.49982082271184153,0.7368268712139405,0.6569519950907754,0.7368268712139405,0.49982082271184153,0.49982082271184153,6211.6,5.2,6216.8,4299.0,1912.0,1.4766997465407996,2.133674841966232,0.16138392857142858,0.0,1.0,122.82857142856771,18.86276790307693,-39.36794168821865,-21.819825419877738,-54.64571428571692,-17.45588651318103,-0.24457142857142883,reward,8.157399172028864,0,,1.0,random(best_offload=1.00),,heuristic_eval,35,42
min_distance,Min-Distance,False,5,5.201707961081411,5.14457862693067,3.980201708035467,2.2961647112153916,4.964584045423837,10192.116463150567,1.0,0.0,0.08731078061723223,17920.0,335.2,0.01870535714285714,38.52000153064728,373.7199987411499,58.8,58.8,58.8,0.0,0.0,0.0,5.4,5.4,0.0,0.9791450893559626,0.981294642857143,0.6496272449897682,0.6490010940024177,0.350033620361555,0.9990347143639727,0.9990347143639727,0.0009652856360272486,0.34990566026534425,0.8,0.0032812500000000003,0.196875,0.12237292367905346,0.34273994752354164,2560,0.34273994752354164,0.5932161923269896,0.382748127158828,0.5932161923269896,0.34273994752354164,0.34273994752354164,6210.8,6.0,6216.8,4034.2,2175.8,1.6410311816755598,2.526428155061863,0.0035825892857142857,0.0,1.0,115.26285714285434,15.186334523571011,-38.61683128271801,-21.23876580071348,-62.18857142857486,-3.2033144190907477,0.0,reward,5.201707961081411,1,Service Continuity,1.0,min_distance(best_offload=1.00),,heuristic_eval,35,42
full_local,Full-Local,False,5,-150.14985473959914,7.341974793410803,5.127386149035944,2.2316401802929464,5.405586696770746,13007.843018559866,0.0,0.0,1.0,17920.0,12436.2,0.693984375,0.0,12436.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306015625,0.306015625,0.5218587691179095,0.5218587691179095,0.47814123088209054,1.0,1.0,0.0,0.47814123088209054,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6216.8,0.0,6216.8,3243.8,2973.0,2.092369550019281,4.010063203206075,0.0,1.0,0.0,92.68000000000009,0.0,-29.956146712585365,-21.334851293999574,-84.9428571428582,-106.59601243548096,0.0,reward,-150.14985473959914,0,,,,,heuristic_eval,35,42
