method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,mec_load_fairness,active_load_balance_score,avg_load_balance_score,energy_per_resolved_task,energy_per_successful_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,True,10,-19.930095644979694,6.34793665442634,2.6459941825504196,1491.503979826664,0.7403416979307845,0.2596583020692154,0.0006577321743023912,0.9651344444444444,0.9828444444444443,0.8312984209596461,0.8311934547922512,0.16868025252942126,0.9998737073216724,0.9998737073216724,0.00012629267832757666,0.16868025252942126,0.02951666666666667,0.045549692779807624,0.045549692779807624,0.045549692779807624,0.2384536890800275,0.28684975379388106,0.02713888888888889,0.0,0.7506383657455444,-1575.8541941469653,-5.43135450932173,1235.6000000000374,2079.8400000001984,495.14950821740933,-3.1378999999999904,22.492619030823025,0.01651684308715789,0.0,-327.53167938951043,-844.2399999999864,-290.4600000000053,-0.3,-3.4,-41.12999999999997,-11.814499999999947,avg_delay,-2.6459941825504196,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_g1_300k_600s_u30_attn_han_final_20260630_135443/training_history.json,checkpoint_eval
han_mappo,HAN+MAPPO,False,10,-21.212458467764602,7.119196864077769,2.669857005279119,1408.6040198175738,0.7580577485990979,0.24194225140090211,0.0,0.9679644444444444,0.9838111111111111,0.8288441159032427,0.8286581503369164,0.1711184514834665,0.9997766018203829,0.9997766018203829,0.00022339817961726928,0.1711184514834665,0.026411111111111114,0.07014325391193905,0.07014325391193905,0.07014325391193905,0.22522169064764622,0.27173717997136676,0.023055555555555555,0.0,0.7968714237213135,-1587.0368876156597,-4.957983544791968,1217.0000000000286,2073.4800000001974,488.78852448650787,-2.8831999999999915,22.535162452654667,0.03272616420920346,0.0,-335.0002475478539,-856.4799999999856,-301.53000000000566,-0.15,-3.8,-34.170000000000016,-10.85249999999996,avg_delay,-2.669857005279119,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/g1_300k_600s_u30_attn_han_final_20260630_135443/learned_baselines/han_mappo/training_history.json,han_mappo_train_eval
attn_mappo,Attn+MAPPO,False,10,-22.955759389841866,8.171866038284577,2.6992983760089144,1675.484155564951,0.7387115866056793,0.2612884133943207,0.0,0.9538144444444443,0.9792111111111111,0.8261094747734534,0.8260171781719968,0.173871837752945,0.9998890159249421,0.9998890159249421,0.00011098407505813338,0.173871837752945,0.042327777777777784,0.022455982649950842,0.022455982649950842,0.022455982649950842,0.2678631743509114,0.324247509446897,0.040322222222222225,0.0,0.6608805656433105,-1595.278628799489,-6.317363961105498,1196.760000000024,2066.9200000001956,479.3658418179672,-4.156699999999991,32.04644386713292,0.0205491433053184,0.0,-323.44077116199,-870.1599999999847,-265.80000000000433,0.0,-3.8,-59.72999999999978,-16.890999999999956,avg_delay,-2.6992983760089144,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/g1_300k_600s_u30_attn_han_final_20260630_135443/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
mappo_no_han,MAPPO,False,10,-51.45441252273342,3.6924607362838233,2.976533892999036,1916.5763218626853,0.7463777709156628,0.2536222290843372,0.0,0.9873744444444444,0.9899277777777777,0.7849338727189479,0.7848841891991893,0.21505275075065927,0.9999369399498486,0.9999369399498486,6.306005015149839e-05,0.21505275075065927,0.004255555555555556,0.026101974625523706,0.026101974625523706,0.026101974625523706,0.3063923907506731,0.3903573102494369,0.0012666666666666666,0.0,0.750282883644104,-1685.9208793187881,-5.514001994608213,887.5199999999475,1963.9200000001724,462.1331809480836,-1.1362999999999994,3.6265596740131807,0.013773970546274172,0.0,-526.3252207805144,-1076.399999999973,-632.9099999999953,0.0,-3.8,-5.849999999999999,-1.7170000000000012,avg_delay,-2.976533892999036,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/baseline_compare/g1_300k_600s_u30_attn_han_final_20260630_135443/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
min_distance,Min-Distance,False,10,-61.49678696811867,3.589809038573429,3.1129002480837906,1588.8586182776621,0.7079165591022878,0.29208344089771215,0.0,0.9864911111111112,0.9895277777777778,0.7728413933337319,0.7727188259654824,0.22712253485305997,0.9998413608185424,0.9998413608185424,0.00015863918145768728,0.22712253485305997,0.005061111111111111,0.059809536952071564,0.059809536952071564,0.059809536952071564,0.25402635110839245,0.32871123350663317,0.005061111111111111,0.0,1.0,-1735.3951352162712,-3.397357014456715,796.5599999999464,1933.4400000001656,436.99482342341855,-1.2157999999999995,3.7947867792104946,0.0007844048107730932,0.0,-576.9249361421889,-1136.8799999999696,-715.5899999999828,0.0,-3.8,-8.01,-1.9365000000000012,avg_delay,-3.1129002480837906,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
random,Random,False,10,-182.53127993239528,10.513222222637102,3.4300092258846613,978.2557968744617,0.7132279179673313,0.2867720820326687,0.0007564954786668446,0.35023000000000015,0.7064,0.6090776943623295,0.6075075047231431,0.3899083197663931,0.9974158244895361,0.9974158244895361,0.0025841755104637873,0.3899083197663931,0.5936166666666667,0.08290118906674886,0.08290118906674886,0.08290118906674886,0.15678432516619306,0.25744251082251157,0.5927333333333333,0.0,1.0,-1757.099434822996,-2.038693983902751,-431.7200000000356,1519.9600000000714,314.68742176421785,-58.47929999999998,479.9564128793494,0.7551327035893591,0.0,-835.2893828904367,-1951.679999999925,-334.56000000000694,-11.5,-2.5,-911.879999999953,-229.9620000000069,avg_delay,-3.4300092258846613,1,Energy per Successful Task,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,10,-125.48439339280635,4.78335529333899,4.202968095080049,3102.1800918607405,0.82955671781672,0.17044328218327992,0.0014492753623188406,0.9458955555555557,0.9481055555555556,0.5802588480569584,0.5799259552877338,0.41949969313839136,0.999425648426125,0.999425648426125,0.0005743515738749103,0.41949969313839136,0.0036833333333333336,0.0,0.0,0.0,0.4961820975129541,0.8551604619750636,0.00037222222222222225,0.9619666666666666,0.0379958339035511,-2001.422145458547,-5.318692612710532,-648.560000000027,1451.040000000056,320.24866215508274,-4.869399999999969,3.484391460342207,0.0,0.0,-1278.3034659550954,-2099.599999999932,0.0,-0.05,-3.7,-3.3899999999999997,-1.6470000000000014,avg_delay,-4.202968095080049,0,,,,,heuristic_eval
full_local,Full-Local,False,10,-128.72422121778757,5.3175724045627195,4.211996658423318,3051.2739523831005,0.8332351216391144,0.16676487836088566,0.0,0.9294499999999999,0.93155,0.5699038052355272,0.5694853650852653,0.4297793003363302,0.9992646654215956,0.9992646654215956,0.000735334578404386,0.4297793003363302,0.0034999999999999996,0.0,0.0,0.0,0.4881179236267377,0.8565460383412684,0.0,1.0,0.0,-1966.6225722939005,-5.224282070589976,-726.1200000000183,1424.9200000000499,314.56287550588695,-6.349499999999955,3.3627395677046694,0.0,0.0,-1284.118317519542,-2151.0399999999427,0.0,0.0,-3.5,-3.1799999999999997,-1.5720000000000012,avg_delay,-4.211996658423318,2,Handover Failure | Handover Frequency,,,,heuristic_eval
