method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,selected_offload,method_variant,source
han_mappo_delay_focus_fast,HAN+MAPPO,True,5,419.1895899035103,7.455201836599965,2.1843307563942815,1389.5917134134186,0.8111995177817963,1.0,0.5493443695533516,1.0,0.0,0.45065563044664836,0.6119244060690516,,,checkpoint_eval
threshold_rvt_adaptive,Threshold-RVT Adaptive,False,5,443.069772850713,13.826658085109067,3.806766729880921,4203.003754121308,0.8344895610718396,1.0,0.6074125017397057,0.9999772287373336,2.2771262666514857e-05,0.39258749826029427,0.6222191269841277,,,heuristic_eval
max_elev,Max-Elev,False,5,442.5846243503,13.27566484048708,3.808418095009389,4204.04910690267,0.7877567146272776,1.0,0.6075942462402587,0.999977189781022,2.281021897810219e-05,0.3924057537597413,0.7004756349206351,0.0,max_elev(best_offload=0.00),heuristic_eval
min_distance,Min-Distance,False,5,442.5846243503,13.27566484048708,3.808418095009389,4204.04910690267,0.7877567146272776,1.0,0.6075942462402587,0.999977189781022,2.281021897810219e-05,0.3924057537597413,0.7004756349206351,0.0,min_distance(best_offload=0.00),heuristic_eval
max_rvt,Max-RVT,False,5,440.01384743502575,12.920691491918475,3.8081539564494085,4190.502723734438,0.7849222194541168,1.0,0.6075375521780503,0.9999774062358788,2.2593764121102576e-05,0.3924624478219497,0.44279149275133944,0.0,max_rvt(best_offload=0.00),heuristic_eval
joint_greedy,Joint Greedy,False,5,391.9765100444322,11.360649962285011,3.819094042615079,3766.0825209170653,0.8556969199954276,1.0,0.6055745258094606,0.999824235983529,0.00017576401647101926,0.3944254741905394,0.6372935789856614,,,heuristic_eval
stay,Stay,False,5,373.7583118323875,14.662440269374901,3.8213202646363142,3595.09518794956,0.8680758847254749,1.0,0.6056240571036121,0.9998669330098467,0.00013306699015325747,0.3943759428963879,0.6656529365079362,0.0,stay(best_offload=0.00),heuristic_eval
random,Random,False,5,325.7927988133662,11.293395796575338,3.8124527923496543,3454.1401479209394,0.8165954487283749,0.9991020261631549,0.6068066201054684,0.9992829141974721,0.000717085802527909,0.3931933798945316,0.5060551812709694,0.0,random(best_offload=0.00),heuristic_eval
