method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority,HAN+MAPPO,True,10,795.1132892656457,6.1405533047233,2.218434709353395,16635.78801134634,0.7972193535350905,0.20278064646490948,0.0,0.9877049999999998,0.9905250000000001,0.8898789932227462,0.8897575986239264,0.11010600003631714,0.9998635986602435,0.9998635986602435,0.00013640133975654004,0.11010600003631714,0.2730592532073469,0.48759821552313243,1.1945933843662773,effective_latency_score,0.2730592532073469,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_20260510_010757/training_history.json,checkpoint_eval
maddpg,MADDPG,False,10,952.2213476662628,7.562960768060822,2.113534527067558,28877.28116160348,0.833015950875096,0.16698404912490414,0.0,0.9885849999999999,0.9910375,0.9357807917590886,0.9356666757743909,0.0642113982460043,0.9998780740203953,0.9998780740203953,0.00012192597960469219,0.0642113982460043,0.2970948468244964,0.4887967487947199,2.07360863139023,effective_latency_score,0.2970948468244964,5,Average Delay | Service Continuity | Service Availability | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260510_010757/learned_baselines/maddpg/training_history.json,maddpg_train_eval
min_distance,Min-Distance,False,10,951.7419836437705,7.5625531374492825,2.1138659420495682,28878.298241446446,0.7921222238947168,0.2078777761052834,0.0,0.9879925,0.9907599999999999,0.9357731088736141,0.9356589884162856,0.06421908560410974,0.9998780740203953,0.9998780740203953,0.00012192597960469219,0.06421908560410974,0.2968824092891074,0.5922413411824669,2.0736816654660273,effective_latency_score,0.2968824092891074,0,,0.0,min_distance(best_offload=0.00),,heuristic_eval
dqn,DQN,False,10,907.1165618315566,6.702017615428627,2.186188755173629,23713.193524801292,0.8205031193117918,0.17949688068820818,0.0,0.9747884999999998,0.9795975,0.9146502675260729,0.9144332230288622,0.08532964311006541,0.9997628661389276,0.9997628661389276,0.0002371338610723395,0.08532964311006541,0.27977560888165615,0.48925202269550533,1.7029834841323777,effective_latency_score,0.27977560888165615,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260510_010757/learned_baselines/dqn/training_history.json,dqn_train_eval
mappo_no_han,MAPPO (no HAN),False,10,792.1472615571981,6.0644466273956645,2.233143615214548,17342.84869203122,0.8012203909332122,0.1987796090667877,0.0,0.9882765000000001,0.9908624999999999,0.8900674846030776,0.88995892561705,0.10991914840334535,0.9998780740203953,0.9998780740203953,0.00012192597960469219,0.10991914840334535,0.27203605928968766,0.48743783067236146,1.245348567943015,effective_latency_score,0.27203605928968766,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260510_010757/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
joint_greedy,Joint Greedy,False,10,891.5285592330993,8.413573330867305,2.222405697735189,27585.830341412482,0.8320336201960205,0.1679663798039796,0.001980777159348588,0.9465605,0.9488524999999999,0.8952802603661146,0.8950744522506939,0.10469579418341864,0.9997702464341126,0.9997702464341126,0.00022975356588731554,0.10469579418341864,0.26294225118525316,0.3964328430226024,1.981086016216802,effective_latency_score,0.26294225118525316,0,,,,,heuristic_eval
full_local,Full-Local,False,10,847.5035734598747,7.321900062264683,2.300494445604449,26737.73317557968,0.8387667369495873,0.16123326305041275,0.0,0.9151990000000001,0.9174025,0.8661277566732414,0.8659411653583847,0.13384342267949406,0.9997845880378788,0.9997845880378788,0.00021541196212116137,0.13384342267949406,0.2401237263512357,0.5259678107689489,1.9201520435180168,effective_latency_score,0.2401237263512357,0,,,,,heuristic_eval
random,Random,False,10,710.3736024159697,10.53023808006777,2.5678095941680046,28072.050418686915,0.8042475510561312,0.19575244894386887,0.0009394568716125689,0.4505769999999999,0.8015774999999999,0.8218474407012641,0.8210507161994096,0.17797997805356927,0.9990306942529787,0.9990306942529787,0.0009693057470211888,0.17797997805356927,0.10370105958996209,0.29397880525863396,2.0174964186978084,effective_latency_score,0.10370105958996209,0,,0.0,random(best_offload=0.00),,heuristic_eval
