method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,796.0579743322018,2.2182927811238407,16585.965101641257,0.8181818181818182,0.18181818181818182,0.0,0.9881599999999999,0.9908,0.8866304036644718,0.8865035065120939,0.11335337054529841,0.9998568770573923,0.9998568770573923,0.0001431229426077,0.272196274413879,0.4880640876667178,0.11335337054529841,13972.0,12388.0,1584.0,
han_mappo_latency_priority,HAN+MAPPO,2,806.6120138964167,2.217634452590982,16944.327607724474,0.7715736040609137,0.22842639593908629,0.0,0.9872949999999999,0.99025,0.8941670821166584,0.8939124243503026,0.10580277678889284,0.9997152011391954,0.9997152011391954,0.00028479886080455676,0.274286989402497,0.4896713266738407,0.10580277678889284,14041.0,12555.0,1486.0,
han_mappo_latency_priority,HAN+MAPPO,3,795.794212689542,2.208207106937799,16349.77214960197,0.7783505154639175,0.22164948453608246,0.0,0.98754,0.99045,0.8930008623167577,0.8929366961270389,0.10699144930660344,0.9999281454336423,0.9999281454336423,7.185456635769203e-05,0.27486090376969935,0.4870304595902878,0.10699144930660344,13916.0,12427.0,1489.0,
han_mappo_latency_priority,HAN+MAPPO,4,787.7408261845055,2.2185229101581627,16427.28326917805,0.8011363636363636,0.19886363636363635,0.0,0.98781,0.99045,0.8894363135777423,0.8892430278884462,0.1105396595436436,0.9997826874320899,0.9997826874320899,0.00021731256791017748,0.2729212063726836,0.4884026989694155,0.1105396595436436,13802.0,12276.0,1526.0,
han_mappo_latency_priority,HAN+MAPPO,5,796.9440967627326,2.2171238216427605,16691.80173187766,0.8728323699421965,0.12716763005780346,0.0,0.9882799999999999,0.990875,0.889979227849008,0.8899154848875519,0.11001289213579717,0.9999283770233491,0.9999283770233491,7.162297665090961e-05,0.27337638342921405,0.48774412421513685,0.11001289213579717,13961.0,12425.0,1536.0,
han_mappo_latency_priority,HAN+MAPPO,6,790.2041612366795,2.223901718601618,16654.258930385862,0.7755102040816326,0.22448979591836735,0.0,0.98756,0.9905,0.8852411807055436,0.885050025192543,0.11473403872453754,0.9997840639170805,0.9997840639170805,0.00021593608291945585,0.2711124839308894,0.48892012635627013,0.11473403872453754,13890.0,12296.0,1594.0,
han_mappo_latency_priority,HAN+MAPPO,7,804.6280230505508,2.214406157008502,16998.53668080191,0.8131868131868132,0.18681318681318682,0.0,0.987945,0.990675,0.8913847028717657,0.8912579957356077,0.1085998578535892,0.9998578535891969,0.9998578535891969,0.00014214641080312722,0.27392738738917427,0.4875094754660531,0.1085998578535892,14068.0,12540.0,1528.0,
han_mappo_latency_priority,HAN+MAPPO,8,792.0172320754325,2.2298512462653273,16808.45992168085,0.7817258883248731,0.2182741116751269,0.0,0.987595,0.99055,0.8868262614678899,0.8867627033612843,0.11316562746362789,0.9999283308249122,0.9999283308249122,7.166917508779473e-05,0.2711463610092665,0.48882126527153463,0.11316562746362789,13952.0,12373.0,1579.0,
han_mappo_latency_priority,HAN+MAPPO,9,787.3865653209671,2.221371306661983,16428.088126724193,0.8010752688172043,0.1989247311827957,0.0,0.9875849999999999,0.990375,0.891622388820147,0.891492613346918,0.10836183683865803,0.9998544501855761,0.9998544501855761,0.0001455498144239866,0.27330743610072095,0.48211218493245817,0.10836183683865803,13739.0,12250.0,1489.0,
han_mappo_latency_priority,HAN+MAPPO,10,793.7477871074282,2.215035592542978,16469.386593847183,0.7586206896551724,0.2413793103448276,0.0,0.9872799999999999,0.990325,0.8905015088374767,0.8905015088374767,0.10949849116252335,1.0,1.0,0.0,0.27345710625544534,0.48770640608960913,0.10949849116252335,13918.0,12394.0,1524.0,
maddpg,MADDPG,1,960.1520146299879,2.1025295599182927,28842.54301117838,0.8717948717948718,0.1282051282051282,0.0,0.988885,0.991225,0.9390208989407386,0.9388865035065121,0.060970373550880204,0.9998568770573923,0.9998568770573923,0.0001431229426077,0.29925606254158904,0.487760477229168,0.060970373550880204,13972.0,13120.0,852.0,
maddpg,MADDPG,2,954.9537959192273,2.1364830356779376,29447.3583039539,0.8,0.2,0.0,0.988325,0.990875,0.934477601310448,0.9342114631541474,0.06550373798504806,0.9997152011391954,0.9997152011391954,0.00028479886080455676,0.29437574946814726,0.4889611797988723,0.06550373798504806,14041.0,13121.0,920.0,
maddpg,MADDPG,3,958.1436687697832,2.079423103277199,28403.2519052055,0.8,0.2,0.0,0.988325,0.990875,0.9396378269617707,0.939570309693181,0.06035783574046131,0.9999281454336423,0.9999281454336423,7.185456635769203e-05,0.3015502563903197,0.4901775285215292,0.06035783574046131,13916.0,13076.0,840.0,
maddpg,MADDPG,4,944.8428825647657,2.1063739280692952,28534.172955212445,0.8607594936708861,0.13924050632911392,0.0,0.9888049999999999,0.991175,0.9348645123895087,0.9346613545816733,0.06512133285041652,0.9997826874320899,0.9997826874320899,0.00021731256791017748,0.2975166036406789,0.4898945415566536,0.06512133285041652,13802.0,12903.0,899.0,
maddpg,MADDPG,5,954.1436443633145,2.113738862524628,28920.908259706343,0.8888888888888888,0.1111111111111111,0.0,0.989005,0.9913,0.9356779600315164,0.9356109439908322,0.06431743303251683,0.9999283770233491,0.9999283770233491,7.162297665090961e-05,0.2971745359889936,0.4886329558169718,0.06431743303251683,13961.0,13063.0,898.0,
maddpg,MADDPG,6,949.1817390776048,2.1208465706711905,28857.67971319355,0.7861271676300579,0.2138728323699422,0.0,0.988205,0.9908,0.935425815276078,0.9352911538184697,0.0645648887929173,0.999856042611387,0.999856042611387,0.00014395738861297056,0.2961566272898842,0.4889872848170052,0.0645648887929173,13891.0,12994.0,897.0,
maddpg,MADDPG,7,962.4556541734702,2.123495507468472,29361.334799066462,0.8343558282208589,0.1656441717791411,0.0,0.988605,0.99105,0.9390816036394655,0.9389481165600568,0.060909737029140015,0.9998578535891969,0.9998578535891969,0.00014214641080312722,0.2971826918118993,0.48813501878238635,0.060909737029140015,14068.0,13211.0,857.0,
maddpg,MADDPG,8,952.2175503821485,2.124511110335261,29094.17901139756,0.8143712574850299,0.18562874251497005,0.0,0.988445,0.99095,0.9342746559633027,0.9342076972694044,0.06572063355550778,0.9999283308249122,0.9999283308249122,7.166917508779473e-05,0.2955383721546037,0.4888069257368009,0.06572063355550778,13952.0,13035.0,917.0,
maddpg,MADDPG,9,935.1046123236606,2.124355430008338,28616.643608314556,0.8395061728395061,0.16049382716049382,0.0,0.988645,0.991075,0.9320232896652111,0.9319554617567862,0.06797176333600174,0.999927225092788,0.999927225092788,7.27749072119933e-05,0.2949002212229353,0.48886693629298,0.06797176333600174,13740.0,12806.0,934.0,
maddpg,MADDPG,10,951.0179144586657,2.103588162724968,28694.74004880611,0.8343558282208589,0.1656441717791411,0.0,0.988605,0.99105,0.9333237534128467,0.9333237534128467,0.06667624658715332,1.0,1.0,0.0,0.2972973477359127,0.4877446393948317,0.06667624658715332,13918.0,12990.0,928.0,
min_distance,Min-Distance,1,959.6045859128175,2.1028153323573133,28840.535823696373,0.8100558659217877,0.18994413407821228,0.0,0.98819,0.990875,0.9391640423704551,0.9390296264491198,0.06082725060827251,0.9998568770573923,0.9998568770573923,0.0001431229426077,0.29906378149026636,0.5927720160343606,0.06082725060827251,13972.0,13122.0,850.0,0.0
min_distance,Min-Distance,2,954.7002497740459,2.136485825784695,29447.397479842875,0.7696335078534031,0.23036649214659685,0.0,0.98776,0.990625,0.9346200413075991,0.9343538625845497,0.06536133855464578,0.9997152011391954,0.9997152011391954,0.00028479886080455676,0.29425204594240967,0.5924859275313604,0.06536133855464578,14041.0,13123.0,918.0,0.0
min_distance,Min-Distance,3,957.3471916960696,2.079862226586609,28401.36274517924,0.7525773195876289,0.24742268041237114,0.0,0.9876149999999999,0.990525,0.9392785283127335,0.9392110368613925,0.06071710857224977,0.9999281454336423,0.9999281454336423,7.185456635769203e-05,0.3011754552403773,0.5923469199745899,0.06071710857224977,13916.0,13071.0,845.0,0.0
