method,decided_tasks,settled_tasks,local_share,full_share,strict_endpoint_share,broad_endpoint_share,middle_share,success_rate,mean_task_reward,mec_rejection_rate
joint_greedy_endpoints,17779,17778,0.0813881545643737,0.9186118454356264,1.0,1.0,0.0,0.939250759365508,0.7705363539940273,0.0002448579823702253
joint_greedy_full_grid,17779,17778,0.0813881545643737,0.8892513639687272,0.9706395185331008,0.9992688002699814,0.0007311997300185612,0.934188322645967,0.7600691646342185,0.0002448579823702253
joint_greedy_interior,17779,17779,0.07941953990663142,0.0,0.07941953990663142,0.9574779233927667,0.042522076607233256,0.7746217447550481,0.3832695398258346,0.061740426507681724
