method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,1,138.43541749939322,1.0593908532562542,0.7900077471892651,2.1483259729349866,575.0255820529345,1.0,0.0,0.7021276595744681,10240.0,186.0,0.0181640625,28.200000882148743,214.20000004768372,14.0,0.0,0.9790820312453434,0.9818359375,0.9494444444444444,0.9494444444444444,0.050555555555555555,1.0,1.0,0.0,0.0013671875,0.08203125,0.005640453941254906,0.9558719767994853,223.0,0.9558719767994853,0.015490633947144684,0.9558719767994853,0.9558719767994853,0.050555555555555555,3600.0,3418.0,182.0,0.16823451786218097,170.9000000000046,-19.92617509184108,-0.22540731539409806,-9.099999999999994,-3.2130001289770007,0.0,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,2,137.81856570206583,1.1005706087373097,0.787822222654933,2.0703428966848265,601.9500665970248,0.8333333333333334,0.16666666666666666,0.7368421052631579,10240.0,182.0,0.0177734375,22.200000882148743,204.2000002861023,12.0,2.0,0.9800585937220603,0.9822265625,0.9444597955236254,0.9441988950276243,0.05552486187845304,0.9997237569060774,0.9997237569060774,0.00027624309392265195,0.0009765625,0.05859375,0.005921222254779322,0.9537262115067229,224.0,0.9537262115067229,0.015891518635273823,0.9537262115067229,0.9537262115067229,0.055248618784530384,3619.0,3418.0,200.0,0.17611178074810557,170.9000000000046,-19.55787953650675,-0.23055467655932227,-10.050000000000008,-3.063000114634633,-0.1800000000000001,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,3,131.99755143700168,1.2309494508229275,0.8623928139439012,2.502906808786105,650.5249985123688,1.0,0.0,0.6451612903225806,10240.0,110.0,0.0107421875,18.600000739097595,128.6000007390976,11.0,0.0,0.9874414061778225,0.9892578125,0.9338727678571429,0.9336122733612273,0.06610878661087866,0.999721059972106,0.999721059972106,0.0002789400278940028,0.00107421875,0.064453125,0.005733353631810694,0.9551614715062531,242.0,0.9551614715062531,0.015711534878600154,0.9551614715062531,0.9551614715062531,0.06582984658298466,3584.0,3347.0,236.0,0.19436062100757956,167.3500000000038,-21.342283724122332,-0.23116522062518063,-11.850000000000033,-1.9290000721812248,0.0,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,4,134.5257756281644,1.1069190171772998,0.7907122533355935,2.111714723324722,584.3691737606938,1.0,0.0,0.7073170731707317,10240.0,130.0,0.0126953125,24.600000977516174,154.6000007390976,12.0,0.0,0.9849023436778225,0.9873046875,0.9466019417475728,0.9460616438356164,0.0533675799086758,0.9994292237442922,0.9994292237442922,0.0005707762557077625,0.001171875,0.0703125,0.005802986584417476,0.9546292507221965,214.0,0.9546292507221965,0.015645872335609677,0.9546292507221965,0.9546292507221965,0.05279680365296804,3502.0,3315.0,185.0,0.17628029374379903,165.75000000000344,-19.3384353511538,-0.21678833683912474,-9.349999999999998,-2.3190000904724,0.0,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,5,152.59078895673156,0.7701211887500832,0.6611750480268979,1.7761910454605423,467.639531218041,0.8571428571428571,0.14285714285714285,0.7073170731707317,10240.0,138.0,0.0134765625,24.600000977516174,162.60000050067902,14.0,2.0,0.9841210937011056,0.9865234375,0.9793871866295265,0.9785694405789034,0.020595602560534373,0.9991650431394378,0.9991650431394378,0.0008349568605622043,0.001171875,0.0703125,0.005777745078886343,0.9548221439116653,169.0,0.9548221439116653,0.015685886784577757,0.9548221439116653,0.9548221439116653,0.02031728360701364,3590.0,3516.0,73.0,0.13300327964108105,175.80000000000572,-16.836221204877624,-0.21399015214071698,-3.699999999999995,-2.4390000952407718,-0.020000000000000004,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,6,123.57881267229095,1.3022817510641551,0.8617103574926249,2.4738208791566425,652.2146472313528,0.11764705882352941,0.8823529411764706,0.9375,10240.0,178.0,0.0173828125,19.200000762939453,197.200000166893,17.0,15.0,0.9807421874837019,0.9826171875,0.9238754325259516,0.9238754325259516,0.07612456747404844,1.0,1.0,0.0,0.0001953125,0.01171875,0.005785134101662639,0.9547656737598884,248.0,0.9547656737598884,0.015638651716900456,0.9547656737598884,0.9547656737598884,0.07612456747404844,3468.0,3204.0,264.0,0.20356262397982297,160.20000000000218,-20.089077170160444,-0.2241102449960876,-13.200000000000053,-2.958000108599663,-0.15000000000000008,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,7,136.82171519473195,1.1640378528763173,0.8478777829845711,2.3640649944078374,629.4404082174586,1.0,0.0,0.6829268292682927,10240.0,107.0,0.01044921875,24.600000977516174,131.60000085830688,13.0,0.0,0.987148437416181,0.98955078125,0.9457278040634567,0.9457278040634567,0.054272195936543276,1.0,1.0,0.0,0.00126953125,0.076171875,0.005895228381249194,0.9539246712919078,229.0,0.9539246712919078,0.015545256986071376,0.9539246712919078,0.9539246712919078,0.05399387698302254,3593.0,3398.0,194.0,0.18523849564963468,169.90000000000438,-21.119272066230195,-0.2350129587178778,-9.750000000000004,-1.974000076763332,0.0,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,8,133.91430501267314,1.267189885152213,0.8835760909049653,2.5894972105378318,693.0290744175518,0.2631578947368421,0.7368421052631579,0.8484848484848485,10240.0,107.0,0.01044921875,19.80000078678131,126.80000054836273,19.0,14.0,0.987617187446449,0.98955078125,0.9368275862068965,0.936569222283508,0.06315499172642029,0.9997242140099283,0.9997242140099283,0.0002757859900717044,0.00048828125,0.029296875,0.005735855615554861,0.9551423432451528,240.0,0.9551423432451528,0.015402097901584887,0.9551423432451528,0.9551423432451528,0.06315499172642029,3625.0,3396.0,229.0,0.20407216561176436,169.80000000000436,-22.146123665902287,-0.24757161660178328,-11.450000000000028,-1.9020000724121928,-0.14000000000000007,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,9,139.74490741605405,0.9007099442053857,0.7045993580246851,1.9004446005182873,494.6277439438697,1.0,0.0,0.7105263157894737,10240.0,173.0,0.01689453125,22.8000009059906,195.80000019073486,11.0,0.0,0.9808789062313735,0.98310546875,0.9605414746543779,0.9605414746543779,0.03945852534562212,1.0,1.0,0.0,0.00107421875,0.064453125,0.005714379371524567,0.9553065464244213,179.0,0.9553065464244213,0.015659387167767044,0.9553065464244213,0.9553065464244213,0.03945852534562212,3472.0,3335.0,137.0,0.14831416610011086,166.75000000000367,-17.010155244865583,-0.207937509960456,-6.849999999999984,-2.9370001116767526,0.0,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,10,146.76677360618487,0.8215708419161528,0.6800643686843292,1.8660910818472694,471.9196712715041,1.0,0.0,0.6896551724137931,10240.0,206.0,0.0201171875,34.80000138282776,240.80000066757202,18.0,0.0,0.9764843749348074,0.9798828125,0.9713160854893138,0.9713160854893138,0.028683914510686165,1.0,1.0,0.0,0.0017578125,0.10546875,0.005786128759349291,0.9547580723988903,158.0,0.9547580723988903,0.0158191728244007,0.9547580723988903,0.9547580723988903,0.028683914510686165,3556.0,3454.0,102.0,0.13662989903633588,172.70000000000502,-17.004494770469368,-0.21673151150976955,-5.09999999999999,-3.6120001366361976,0.0,
attn_mappo,Attn+MAPPO,1,144.62101171165705,0.9782297491407682,0.84035648266578,2.2808409719222413,586.4101152552448,0.5306122448979592,0.46938775510204084,0.5517241379310345,10240.0,178.0,0.0173828125,34.80000138282776,212.80000066757202,49.0,23.0,0.9792187499348074,0.9826171875,0.9713888888888889,0.9713888888888889,0.02861111111111111,1.0,1.0,0.0,0.0025390625,0.15234375,0.005645100706080208,0.9558364256503356,159.0,0.9558364256503356,0.015531842046319374,0.9558364256503356,0.9558364256503356,0.02861111111111111,3600.0,3497.0,103.0,0.16768948105668996,174.8500000000055,-21.39074190185496,-0.2662461645131251,-5.14999999999999,-3.192000119946897,-0.23000000000000015,
attn_mappo,Attn+MAPPO,2,139.08999981731176,1.1197015490543425,0.8684754186746654,2.354591726996964,644.220470700323,1.0,0.0,0.5789473684210527,10240.0,175.0,0.01708984375,22.200000882148743,197.20000040531158,16.0,0.0,0.9807421874604187,0.98291015625,0.9524730588560376,0.9522099447513812,0.04751381215469613,0.9997237569060774,0.9997237569060774,0.00027624309392265195,0.0015625,0.09375,0.005815365640360877,0.95453466506358,191.0,0.95453466506358,0.015622907343268863,0.95453466506358,0.95453466506358,0.04751381215469613,3619.0,3447.0,172.0,0.1868930869452634,172.35000000000494,-21.274170514624696,-0.26783010119081296,-8.599999999999987,-2.9580001113936305,-0.1600000000000001,
attn_mappo,Attn+MAPPO,3,138.64776754006743,1.109190070289516,0.8483297584814534,2.2634365500776443,634.9625142495938,1.0,0.0,0.4838709677419355,10240.0,105.0,0.01025390625,18.600000739097595,123.6000007390976,16.0,0.0,0.9879296874278225,0.98974609375,0.9520089285714286,0.9517433751743375,0.04797768479776848,0.999721059972106,0.999721059972106,0.0002789400278940028,0.0015625,0.09375,0.005737961432945466,0.9551262440601728,203.0,0.9551262440601728,0.01567050937803598,0.9551262440601728,0.9551262440601728,0.04797768479776848,3584.0,3412.0,172.0,0.18609686818569574,170.60000000000454,-21.24448469708915,-0.2537472977885283,-8.599999999999987,-1.8540000710636377,0.0,
attn_mappo,Attn+MAPPO,4,140.2541523706168,1.0344218135265237,0.8391302653767271,2.2939388493078834,589.8624452494969,1.0,0.0,0.5581395348837209,10240.0,125.0,0.01220703125,25.80000114440918,150.8000009059906,19.0,0.0,0.9852734374115244,0.98779296875,0.9660194174757282,0.9654680365296804,0.033961187214611874,0.9994292237442922,0.9994292237442922,0.0005707762557077625,0.00185546875,0.111328125,0.005746921091793775,0.9550577495341103,190.0,0.9550577495341103,0.015868512793785924,0.9550577495341103,0.9550577495341103,0.03367579908675799,3502.0,3383.0,118.0,0.17436075827652878,169.1500000000042,-20.43226440468587,-0.2515834807472196,-5.949999999999987,-2.26200008764863,0.0,
attn_mappo,Attn+MAPPO,5,149.297263558954,0.9151818323419274,0.818047399704176,2.2187360788635058,566.8271796464536,1.0,0.0,0.5434782608695652,10240.0,133.0,0.01298828125,27.600001096725464,160.6000006198883,21.0,0.0,0.984316406189464,0.98701171875,0.9807852965747702,0.9802393543000278,0.0192040077929307,0.9994433620929585,0.9994433620929585,0.0005566379070414695,0.00205078125,0.123046875,0.005667567280560729,0.9556645581538207,131.0,0.9556645581538207,0.015725234928889695,0.9556645581538207,0.9556645581538207,0.0192040077929307,3591.0,3522.0,69.0,0.1609390061460686,176.1000000000058,-20.677765655661588,-0.26597069349973923,-3.4499999999999957,-2.409000095911324,0.0,
attn_mappo,Attn+MAPPO,6,134.65197169873863,1.0932561982759255,0.8582975107812252,2.276251839547866,611.7114578725802,1.0,0.0,0.5434782608695652,10240.0,172.0,0.016796875,27.600001096725464,199.60000050067902,21.0,0.0,0.9805078124511055,0.983203125,0.9558823529411765,0.9558823529411765,0.04411764705882353,1.0,1.0,0.0,0.00205078125,0.123046875,0.005519641834112501,0.9567967315976754,143.0,0.9567967315976754,0.015151515151515142,0.9567967315976754,0.9567967315976754,0.04411764705882353,3468.0,3315.0,153.0,0.18452834324964712,165.75000000000344,-20.195330280916465,-0.25869806052995986,-7.649999999999981,-2.994000111706555,0.0,
attn_mappo,Attn+MAPPO,7,140.06095784762874,1.1123930543086054,0.8622070566885983,2.3903527504391886,646.3748886700164,1.0,0.0,0.6190476190476191,10240.0,105.0,0.01025390625,25.200001001358032,130.20000088214874,16.0,0.0,0.9872851561638527,0.98974609375,0.9557472863902031,0.9557472863902031,0.04425271360979683,1.0,1.0,0.0,0.0015625,0.09375,0.005719841021443983,0.9552647850976544,214.0,0.9552647850976544,0.015574444300639104,0.9552647850976544,0.9552647850976544,0.04425271360979683,3593.0,3434.0,159.0,0.1882279815579547,171.7000000000048,-21.474363720620445,-0.26167824271078993,-7.94999999999998,-1.9530000761151314,0.0,
attn_mappo,Attn+MAPPO,8,148.83716388326138,0.9719198646426415,0.827693796406721,2.3064169193961876,584.3156942744232,1.0,0.0,0.5277777777777778,10240.0,97.0,0.00947265625,21.600000858306885,118.60000085830688,17.0,0.0,0.9884179686661809,0.99052734375,0.9737931034482759,0.9735245449531164,0.026199669056811915,0.9997242140099283,0.9997242140099283,0.0002757859900717044,0.00166015625,0.099609375,0.0060622713023179816,0.9526500232034527,197.0,0.9526500232034527,0.016453236650629345,0.9526500232034527,0.9526500232034527,0.026199669056811915,3625.0,3530.0,95.0,0.16552852529020487,176.50000000000588,-20.87291890094298,-0.26091785319811434,-4.749999999999991,-1.779000069014728,0.0,
attn_mappo,Attn+MAPPO,9,139.2153862365958,0.9624374831531386,0.8206740341387562,2.2554236047261007,561.4317722367044,0.39344262295081966,0.6065573770491803,0.48936170212765956,10240.0,169.0,0.01650390625,28.200001120567322,197.20000040531158,61.0,37.0,0.9807421874604187,0.98349609375,0.9683179723502304,0.9683179723502304,0.03168202764976959,1.0,1.0,0.0,0.00234375,0.140625,0.005711888372531909,0.9553255939026927,116.0,0.9553255939026927,0.015802285902318594,0.9553255939026927,0.9553255939026927,0.03168202764976959,3472.0,3362.0,110.0,0.16699338852965628,168.10000000000397,-19.801722301525025,-0.254891436030138,-5.4999999999999885,-2.958000112324953,-0.3700000000000003,
attn_mappo,Attn+MAPPO,10,142.940231542103,0.9659121739071379,0.8318550665540697,2.2527864028500653,567.1030183817738,1.0,0.0,0.5084745762711864,10240.0,190.0,0.0185546875,35.40000116825104,225.4000004529953,29.0,0.0,0.9779882812057622,0.9814453125,0.9701912260967379,0.9701912260967379,0.029808773903262094,1.0,1.0,0.0,0.00283203125,0.169921875,0.005799302103647258,0.9546574048016954,124.0,0.9546574048016954,0.015880566318911608,0.9546574048016954,0.9546574048016954,0.029808773903262094,3556.0,3450.0,106.0,0.16437768648747067,172.50000000000497,-20.61396500167697,-0.26480381456758456,-5.299999999999989,-3.381000127643347,0.0,
pdqn,PDQN,1,145.06909656524658,0.9367387990723807,0.7761795776717212,2.178282117130097,334.8093603577398,0.912,0.088,0.12307692307692308,10240.0,163.0,0.01591796875,78.00000298023224,241.0000022649765,125.0,11.0,0.9764648435288109,0.98408203125,0.9683333333333334,0.9683333333333334,0.03166666666666667,1.0,1.0,0.0,0.0111328125,0.66796875,0.00596356483118263,0.9534030178465764,233.0,0.9534030178465764,0.015994576780875427,0.9534030178465764,0.9534030178465764,0.03166666666666667,3600.0,3486.0,114.0,0.09604399321794028,174.30000000000538,-19.671218317065495,-0.13468524028126724,-5.699999999999988,-3.615000150166452,-0.11000000000000004,
