method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,handover_attempts,handover_committed,handover_aborted,handover_radio_failures,migration_rejections,reconnection_attempts,reconnections,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,failed_tasks,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,resolved_tasks,pending_tasks,total_tasks,completed_tasks,deadline_violations,energy_per_resolved_task,energy_per_successful_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_task_success,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,True,10,137.61946131252915,7.521423268897787,1.0723741393958097,0.7869938043241766,2.180340021365905,582.07408972228,0.8071281144036562,0.1928718855963438,0.7367858367458078,10240.0,151.7,0.014814453124999998,23.940000927448274,175.64000047445296,14.1,14.1,10.8,3.3,4.9,0.0,30.7,29.1,3.3,0.9828476562036668,0.9851855468749999,0.9492054519142308,0.9489916716264423,0.05078465815074177,0.9997763297771842,0.9997763297771842,0.00022367022281583258,0.05061639842228518,0.6,0.0010546875,0.06328125,0.0057800248334888915,0.9548047206794069,2126,0.9548047206794069,0.01564900131779306,0.9548047206794069,0.9548047206794069,3560.9,0.8,3561.7,3380.1,180.2,0.1634626329642169,0.172206174291376,0.004375,0.0,0.8731716275215149,169.00500000000417,-19.437011782612945,-0.2249269543344417,-9.04000000000001,-2.6346001007594166,-0.04900000000000003,reward,137.61946131252915,2,Successful-Task Delay | P95 Successful-Task Delay,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u20_multiuser_single_seed_v5_20260728/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,10,141.76159062069345,4.420896272355324,1.0262643788640529,0.8415066789472172,2.289277569412765,599.3219556536609,0.892405486784878,0.10759451321512212,0.5404300205941117,10240.0,144.9,0.014150390625,26.70000104904175,171.60000064373017,26.5,26.5,20.5,6.0,7.6,0.0,25.6,24.0,6.0,0.9832421874371358,0.985849609375,0.9646607531593479,0.9644712982375779,0.03533286343495822,0.9998041616725363,0.9998041616725363,0.00019583832746375912,0.03530432462217283,0.1,0.002001953125,0.1201171875,0.005753473058241958,0.9550076642991923,1668,0.9550076642991923,0.015728105481431366,0.9550076642991923,0.9550076642991923,3561.0,0.7,3561.7,3435.2,125.7,0.1683015882206293,0.1744649381851598,0.005087890625,0.0,0.8208752274513245,171.76000000000482,-20.797772737959814,-0.2606367144776012,-6.289999999999987,-2.5740000982768834,-0.07600000000000004,reward,141.76159062069345,2,Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_v5_20260728/u20/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
pdqn,PDQN,False,10,140.55343222806113,4.923565890678175,1.0062533732435899,0.7960326192339234,2.2147248654033667,361.53270693752046,0.8004427953811583,0.1995572046188417,0.139033656208882,10240.0,141.7,0.013837890624999998,86.40000309944153,228.10000265836715,159.7,159.7,128.9,30.8,31.6,0.2,16.1,15.1,30.8,0.9777246091153939,0.9861621093749999,0.9610320930188158,0.9607598041972987,0.03895869441122461,0.9997184986085232,0.9997184986085232,0.0002815013914767753,0.038819598409484214,0.5,0.012587890625,0.7552734375,0.006092902273546069,0.9524164690278067,2365,0.9524164690278067,0.01628749735965831,0.9524164690278067,0.9524164690278067,3560.7,1.0,3561.7,3422.0,138.2,0.10153416657890878,0.10564953446450043,0.01716796875,2.9296875e-05,0.9998530745506287,171.10000000000463,-19.736712973168043,-0.13535494705717224,-6.93499999999999,-3.4215001416392625,-0.3180000000000002,reward,140.55343222806113,1,Energy per Successful Task,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_v5_20260728/u20/learned_baselines/pdqn/training_history.json,pdqn_train_eval
han_pdqn,HAN+PDQN,False,10,138.7430322902015,5.360707204879872,1.0549596533762933,0.8125782330517122,2.2609029083512704,384.8726322346883,0.8993565831532349,0.10064341684676517,0.2623792569802396,10240.0,147.7,0.014423828125,62.04000246524811,209.7400015950203,87.3,87.3,77.4,9.9,10.0,0.0,26.1,26.0,9.9,0.9795175779692362,0.9855761718749999,0.9555639065307945,0.9552692064172623,0.04442327597696585,0.9996924823942284,0.9996924823942284,0.00030751760577170454,0.044253496008936875,0.6,0.007558593749999999,0.453515625,0.006037064200136326,0.9528422635293354,2475,0.9528422635293354,0.016130543932507117,0.9528422635293354,0.9528422635293354,3560.6,1.1,3561.7,3402.3,157.7,0.10809207218858853,0.11312130977123953,0.01107421875,0.005732421875,0.9938416481018066,170.11500000000441,-20.073786415052545,-0.1370813857720689,-7.914999999999995,-3.146100120432675,-0.10000000000000005,reward,138.7430322902015,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_v5_20260728/u20/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval
mappo_no_han,MAPPO,False,10,126.13494085888378,6.361517116690102,1.3361726251728538,0.9044153543660232,2.6860222305089314,679.7347749027814,0.6,0.0,0.9245295334673778,10240.0,151.4,0.01478515625,19.80000078678131,171.20000035762786,2.5,2.5,2.5,0.0,0.7,0.0,31.2,30.5,0.0,0.9832812499650755,0.98521484375,0.9238936072804119,0.9236318992835397,0.07608686235551627,0.9997187616390558,0.9997187616390558,0.000281238360944191,0.07588947797416021,0.7,0.000244140625,0.0146484375,0.005741074040913387,0.9551024483459005,2406,0.9551024483459005,0.015413251704510581,0.9551024483459005,0.9551024483459005,3560.7,1.0,3561.7,3289.7,270.3,0.19089919816406364,0.20662515575972928,0.003291015625,0.0,0.869483470916748,164.48500000000314,-21.99351255493428,-0.23154661578302732,-13.550000000000058,-2.5680000978522,-0.007000000000000001,reward,126.13494085888378,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_v5_20260728/u20/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
random,Random,False,10,107.3460722698248,3.1755545073762828,1.19328473510721,0.8750665727497431,2.5427891659242334,433.9996519856474,0.8145379251214031,0.18546207487859684,0.001105589895245062,10240.0,123.7,0.012080078125000001,1423.7400158047676,1547.4400170207023,2906.4,2906.4,2370.3,536.1,534.8,1.3,2.6,2.6,536.1,0.8488828108378221,0.9879199218749999,0.9423425497799631,0.9420781105488804,0.05764184852016625,0.9997199590690468,0.9997199590690468,0.0002800409309532942,0.05764184852016625,0.0,0.23147460937499997,13.8884765625,0.005992269068921855,0.953183984104547,2639,0.953183984104547,0.015797445171806146,0.953183984104547,0.953183984104547,3560.7,1.0,3561.7,3355.3,205.4,0.12188604824490899,0.12934749559969225,0.28408203125,0.0,1.0,167.7650000000039,-21.43625856236346,-0.14006870323897216,-10.270000000000014,-23.211601281072944,-5.3609999999999305,reward,107.3460722698248,0,,1.0,random(best_offload=1.00),,heuristic_eval
min_distance,Min-Distance,False,10,81.98152567203506,2.756712728296374,1.1894551157958229,0.8781208052070013,2.594474767393123,426.7612449566944,0.8156164169415284,0.1843835830584717,0.0005564148251682194,10240.0,121.8,0.01189453125,2820.660116159916,2942.460144507885,5752.0,5752.0,4698.5,1053.5,1049.3,4.2,2.6,2.6,1053.5,0.7126503765129019,0.98810546875,0.9445933811228455,0.9442744514086048,0.05538922914230565,0.9996636805509104,0.9996636805509104,0.0003363194490896769,0.05538922914230565,0.0,0.458837890625,27.5302734375,0.005954663351896509,0.9534709524419972,2650,0.9534709524419972,0.015688277713873277,0.9534709524419972,0.9534709524419972,3560.5,1.2,3561.7,3363.1,197.4,0.1198599199428997,0.12689519935675253,0.56197265625,0.0,1.0,168.155000000004,-21.49319119344783,-0.1383813342534971,-9.870000000000008,-44.13690365953371,-10.53499999999982,reward,81.98152567203506,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,10,-7.941629420324898,3.953576267424865,4.214478145103523,2.3553125821927408,4.615110799914531,1851.5555239611647,0.0,0.0,1.0,10240.0,153.7,0.015009765625000001,19.26000076532364,172.96000028848647,0.0,0.0,0.0,0.0,1.2,0.0,33.3,32.1,0.0,0.9831093749718276,0.9849902343750001,0.6031257318333039,0.6030915833145288,0.39685275289476707,0.9999443362092958,0.9999443362092958,5.566379070414695e-05,0.39685275289476707,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3561.5,0.2,3561.7,2147.8,1413.7,0.519880815375871,0.8620707346871983,0.003251953125,0.990849609375,0.009150390513241291,107.38999999999604,-41.72448270996536,-0.3157467797973378,-70.68499999999813,-2.594400097616017,-0.012000000000000005,reward,-7.941629420324898,0,,,,,heuristic_eval
full_local,Full-Local,False,10,-184.92410933051798,28.013333620318473,4.4337617013499635,2.3309393830824923,4.591045152462607,834.7273895180458,0.0,0.0,1.0,10240.0,5702.2,0.55685546875,0.0,5702.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4431445312499999,0.4431445312499999,0.27206437405215816,0.2702264718839155,0.7229989668700206,0.9932254387539361,0.9932254387539361,0.006774561246063846,0.7229989668700206,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3537.6,24.1,3561.7,962.6,2575.0,0.2359586695833463,0.8671591414066546,0.0,1.0,0.0,48.129999999999406,-18.63065457743958,-0.14045514624712171,-128.7499999999961,-85.53300923034548,0.0,reward,-184.92410933051798,0,,,,,heuristic_eval
