method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_1200k,HAN+MAPPO,1,59.574608155041105,2.503424142047699,12143.321183350756,0.7511167536558988,0.2488832463441012,0.0003290401428974335,0.5408050000000009,0.8598,0.8057146949298195,0.8051381136396164,0.19414627164734508,0.9992843852869615,0.9992843852869615,0.0007156147130385,0.12428489954184518,0.39229695542155996,0.19414627164734508,13964.0,11251.0,2713.0,1132.4297224406712,1865.35018224974,2561.4000000000924,-137.75849999999943,994.0853240550877,-4.808010988164904,125.19666666666514,-205.81701031524554,-417.3000000000101,-60.0,-8.0,-1551.8999999998562,-480.0499999998092,
han_mappo_latency_priority_1200k,HAN+MAPPO,2,68.16148957977033,2.491435417864177,12410.857345855311,0.7525269145785342,0.24747308542146584,0.0004699027301348621,0.5422200000000007,0.86125,0.8189655172413793,0.8184407262370951,0.1809184763260947,0.9993592025631898,0.9993592025631898,0.0006407974368102527,0.12710386344529598,0.39528688480989727,0.1809184763260947,14036.0,11495.0,2541.0,1154.2243336039435,1873.3371398121753,2686.200000000168,-137.33399999999943,995.797519694862,-4.267699158028496,124.82999999999855,-189.32240286903195,-434.1000000000107,-61.0,-8.0,-1542.5999999998576,-481.059999999809,
han_mappo_latency_priority_1200k,HAN+MAPPO,3,62.07857293370716,2.486225677994014,11893.36562614674,0.7550100905805603,0.24498990941943963,0.0006097560975609756,0.5413900000000007,0.8609249999999999,0.8099928109273904,0.8095853991521161,0.18991161888338004,0.9994970180354962,0.9994970180354962,0.0005029819645038442,0.12572377112980385,0.3887863596301918,0.18991161888338004,13910.0,11267.0,2643.0,1126.2424920668939,1860.4400992020044,2587.200000000108,-137.58299999999934,1001.459388808689,-3.842681624019211,125.30333333333178,-194.12247841540014,-421.80000000001024,-62.5,-8.0,-1528.4999999998597,-483.53999999980715,
han_mappo_latency_priority_1200k,HAN+MAPPO,4,61.51439966383856,2.482958825059576,11963.33359501531,0.7495772266065389,0.2504227733934611,0.0002817695125387433,0.5391600000000003,0.858425,0.816435973621277,0.8160811300253531,0.1834842448388265,0.9995653748641796,0.9995653748641796,0.00043462513582035497,0.1263288841943009,0.4002097034538227,0.1834842448388265,13799.0,11266.0,2533.0,1129.0623783287147,1842.8499960747706,2619.900000000128,-138.25199999999955,993.4133859503314,-4.28321307712718,124.46333333333182,-190.45271558632083,-406.20000000000965,-58.0,-8.0,-1564.4999999998543,-479.4499999998096,
han_mappo_latency_priority_1200k,HAN+MAPPO,5,65.19149493982745,2.48751179573723,12307.037930087477,0.7557478019653016,0.2442521980346984,0.0005169172932330827,0.5438650000000003,0.862825,0.8156857122374364,0.8149262283340496,0.1841426729694886,0.9990689013035382,0.9990689013035382,0.000931098696461825,0.12708483272074708,0.39376098380362784,0.1841426729694886,13949.0,11378.0,2571.0,1139.3090431506462,1859.3324731464745,2642.1000000001413,-136.84049999999957,1000.83733227855,-4.652367605847633,124.20999999999863,-192.04660779093143,-452.7000000000114,-58.5,-8.0,-1523.3999999998605,-483.08499999980626,
min_distance,Min-Distance,1,349.5206649660144,2.1028153323573133,28840.535823696373,0.8100558659217877,0.18994413407821228,0.0,0.98819,0.990875,0.9391640423704551,0.9390296264491198,0.06082725060827251,0.9998568770573923,0.9998568770573923,0.0001431229426077,0.29906378149026636,0.5927720160343606,0.06082725060827251,13972.0,13122.0,850.0,1802.337234496502,1647.8919626445586,3681.6000000007716,-3.542999999999992,8.586246360267257,-0.11728465978465981,0.0,-56.47485952123105,0.0,0.0,-8.0,-10.200000000000003,-4.349999999999992,0.0
min_distance,Min-Distance,2,347.53157708279605,2.136485825784695,29447.397479842875,0.7696335078534031,0.23036649214659685,0.0,0.98776,0.990625,0.9346200413075991,0.9343538625845497,0.06536133855464578,0.9997152011391954,0.9997152011391954,0.00028479886080455676,0.29425204594240967,0.5924859275313604,0.06536133855464578,14041.0,13123.0,918.0,1794.2968132778321,1647.7890378023549,3661.5000000007594,-3.6719999999999913,8.700757236334725,-0.03751810882615836,0.0,-62.56754855176023,0.0,0.0,-8.0,-13.20000000000001,-4.409999999999992,0.0
min_distance,Min-Distance,3,348.2828126761575,2.079862226586609,28401.36274517924,0.7525773195876289,0.24742268041237114,0.0,0.9876149999999999,0.990525,0.9392785283127335,0.9392110368613925,0.06071710857224977,0.9999281454336423,0.9999281454336423,7.185456635769203e-05,0.3011754552403773,0.5923469199745899,0.06071710857224977,13916.0,13071.0,845.0,1798.2910622946436,1645.0295588223137,3667.8000000007632,-3.715499999999991,8.643918886393,-0.07819486499053066,0.0,-52.94009161520826,0.0,0.0,-8.0,-14.400000000000013,-4.379999999999992,0.0
min_distance,Min-Distance,4,342.91676418390097,2.106642552861591,28533.880514595716,0.7837837837837838,0.21621621621621623,0.0,0.98795,0.990725,0.9348645123895087,0.9346613545816733,0.06512133285041652,0.9997826874320899,0.9997826874320899,0.00021731256791017748,0.29723364357074267,0.5911909216600386,0.06512133285041652,13802.0,12903.0,899.0,1779.4329048719367,1626.241792281048,3601.200000000723,-3.6149999999999918,8.58679750803511,-0.10431936742308259,0.0,-60.371891615590975,0.0,0.0,-8.0,-12.000000000000007,-4.349999999999992,0.0
min_distance,Min-Distance,5,347.43323856042434,2.1134681874886647,28923.129365529265,0.874251497005988,0.12574850299401197,0.0,0.988695,0.9912,0.9357495881383855,0.9356825669674832,0.06424581005586592,0.9999283770233491,0.9999283770233491,7.162297665090961e-05,0.2971299592092858,0.5917590096994504,0.06424581005586592,13961.0,13064.0,897.0,1793.106388207845,1643.2030595170588,3650.1000000007525,-3.3914999999999935,8.6421514019616,-0.11710788781222217,0.0,-60.158794801563296,0.0,0.0,-8.0,-6.299999999999998,-4.379999999999992,0.0
