method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,True,10,-17.727261738171066,3.3317350333007067,2.6472581880363686,942.2563869513158,0.7618103743780997,0.23818962562190027,0.0,0.9841700000000001,0.9867000000000001,0.8310259357739692,0.8308847979425549,0.1689459489318778,0.9998307468744325,0.9998307468744325,0.0001692531255674346,0.1689459489318778,0.004216666666666667,0.005324869451583067,0.005324869451583067,0.07625420671266814,0.22609631360559468,0.001,0.0,0.780783474445343,-1042.7594735711214,-3.352801494341424,821.7199999999584,1385.240000000041,331.0879442922828,-1.4246999999999974,2.448451210674599,0.014381682898470255,0.0,-221.10236567120336,-563.5200000000023,-206.1900000000021,0.0,-2.8,-3.6599999999999993,-1.1555000000000009,avg_delay,-2.6472581880363686,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_g1_300k_600s_u20_20260603_201842/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,10,-8.396917483309107,7.7887726735859,2.5514601706044884,914.9777620911105,0.7697036157979416,0.2302963842020585,0.0,0.9837383333333334,0.9872333333333334,0.8442380450332709,0.8441146667325509,0.15574002650203514,0.9998546932345859,0.9998546932345859,0.00014530676541417792,0.15574002650203514,0.0058249999999999994,0.002994837742035658,0.002994837742035658,0.06454124400392175,0.21954548471329074,0.0028333333333333335,0.0,0.7553213834762573,-1023.5017549577587,-3.5625340446483214,887.7599999999568,1407.280000000046,338.3020884009598,-1.4635499999999975,3.3231181040753706,0.006510810283212274,0.0,-182.98778425319125,-519.5200000000038,-148.35000000000073,0.0,-2.8,-4.859999999999998,-1.6125000000000012,avg_delay,-2.5514601706044884,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiseed_u20_reeval_20260604_171158/seed_44/learned_baselines/attn_mappo/training_history.json,attn_mappo_checkpoint_eval
mappo_no_han,MAPPO (no HAN),False,10,-17.89115777615927,5.695756549563588,2.6651708562643224,798.8378772019771,0.7569774234486443,0.24302257655135567,0.0,0.9823550000000001,0.985,0.8306511460845604,0.8304510299714855,0.16930855901509156,0.9997595889865771,0.9997595889865771,0.00024041101342300668,0.16930855901509156,0.0044083333333333335,0.006158202768697449,0.006158202768697449,0.08680976211093366,0.1916965533696432,0.000525,0.0,0.8626230359077454,-1046.5599993495464,-2.703525680095017,819.7999999999586,1384.520000000041,325.31953783908676,-1.588049999999998,2.533747715092477,0.008805414095975819,0.0,-218.5385335999831,-564.7200000000018,-198.0600000000018,0.0,-2.8,-3.8999999999999995,-1.2000000000000008,avg_delay,-2.6651708562643224,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiseed_u20_reeval_20260604_171158/seed_44/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_checkpoint_eval
min_distance,Min-Distance,False,10,-28.669012439429036,3.5139215723401525,2.790552447819503,657.4327403572527,0.7194499516709149,0.28055004832908514,0.0,0.9758416666666667,0.9788416666666666,0.8158084402548683,0.8153984076415538,0.18409880605466297,0.9994972136962167,0.9994972136962167,0.0005027863037832611,0.18409880605466297,0.005,0.017447633011441387,0.017447633011441387,0.10923821311444044,0.15786215731576925,0.005,0.0,1.0,-1072.568423139996,-1.6951189220072025,745.0799999999606,1358.920000000035,310.7194639972723,-2.1742499999999985,2.547785637042135,0.010329977740571547,0.0,-253.25243048809267,-613.8399999999993,-249.81000000000375,0.0,-4.4,-5.0699999999999985,-1.295500000000001,avg_delay,-2.790552447819503,1,Active Load Balance,1.0,min_distance(best_offload=1.00),,heuristic_eval
random,Random,False,10,-144.09667618507504,10.248349004302913,3.1103504909206956,380.22903459814745,0.742740673132225,0.2572593268677751,0.0009473524918177658,0.37403166666666665,0.726925,0.66238354753546,0.6609132421954917,0.3368623326821736,0.9977755748776653,0.9977755748776653,0.002224425122334649,0.3368623326821736,0.5881833333333334,0.017442107064077665,0.017442107064077665,0.08719696758314968,0.09145837172226572,0.5873083333333333,0.0,1.0,-1098.964997326134,-1.1373029670233197,-21.839999999994923,1101.3599999999765,234.5490747102112,-56.33714999999997,330.073568283858,0.5708439565540905,0.0,-415.3539499110219,-1123.1999999999705,-75.26999999999964,-7.8,-2.8,-539.5500000000095,-158.0590000000047,avg_delay,-3.1103504909206956,1,Energy per Resolved Task,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,10,-130.37092755246158,4.68442823822508,4.214125249141435,2010.0227317599758,0.8277610305693417,0.17223896943065825,0.0,0.9186016666666665,0.9207416666666667,0.5657130570442208,0.5653512159813291,0.4340029159318023,0.9993541319131316,0.9993541319131316,0.0006458680868685582,0.4340029159318023,0.0035666666666666668,0.0,0.0,0.0,0.48271439283380785,0.000575,0.9423333333333334,0.057602085173130035,-1297.3946902399225,-3.453285593002673,-504.2400000000246,942.3199999999636,207.3532197019555,-7.3258499999999955,2.267706017205189,0.0,0.0,-859.3252394913243,-1446.559999999952,0.0,0.0,-4.2,-2.2199999999999998,-1.0620000000000007,avg_delay,-4.214125249141435,0,,,,,heuristic_eval
full_local,Full-Local,False,10,-137.44505580232834,7.317149422756236,4.230706700319489,1930.2818706360006,0.841701023178785,0.158298976821215,0.0,0.8813116666666667,0.8832666666666666,0.5427168396769277,0.5421067274375664,0.45676675831418423,0.9988734857517507,0.9988734857517507,0.0011265142482492717,0.45676675831418423,0.003258333333333333,0.0,0.0,0.0,0.4637870904939934,0.0,1.0,0.0,-1244.2548197860874,-3.311317460006813,-618.8000000000131,903.5999999999658,199.08499675047165,-10.681949999999958,2.13753900081553,0.0,0.0,-865.2106271465915,-1522.3999999999478,0.0,0.0,-3.8,-1.89,-0.9840000000000007,avg_delay,-4.230706700319489,2,Handover Failure | Handover Frequency,,,,heuristic_eval
