method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,1,12.789381820933954,2.216824987686429,1682.1791848174194,0.6956521739130435,0.30434782608695654,0.0,0.9743666666666667,0.9766666666666667,0.8648775894538606,0.8648775894538606,0.13512241054613935,1.0,1.0,0.0,0.2619688348407613,0.6712249879749875,0.13512241054613935,2124.0,1837.0,287.0,-476.4507640882443,-8.12916332742461,505.19999999998214,734.7999999999754,190.7939887010446,-2.3069999999999973,1.0225945150178735,0.025902985902985898,0.0,-52.31272378340278,-229.6000000000011,-2.9999999999999996,0.0,-2.0,-2.1,-0.4800000000000002,
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,2,18.30100898274073,2.2505267206487454,1777.2354228824995,0.7241379310344828,0.27586206896551724,0.0,0.9747666666666667,0.9776666666666667,0.8784478728377747,0.8780373831775701,0.12149532710280374,0.9995327102803738,0.9995327102803738,0.00046728971962616824,0.26330550300411143,0.7029158249158237,0.12149532710280374,2139.0,1879.0,260.0,-472.55078786744366,-8.612517267049416,543.5999999999776,751.5999999999744,193.6185510811011,-2.2709999999999955,1.3216181068683874,0.05121031746031746,0.0,-44.83902527788264,-208.0000000000008,-3.599999999999999,0.0,-2.0,-2.4,-0.6300000000000003,
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,3,10.403197484637113,2.2608122707003786,1695.4226186504538,0.7407407407407407,0.25925925925925924,0.0,0.9746333333333334,0.9773333333333334,0.8611242324043458,0.8611242324043458,0.13887576759565423,1.0,1.0,0.0,0.257383839169033,0.6586628186628166,0.13887576759565423,2117.0,1823.0,294.0,-479.4147203553063,-8.213624758316014,493.9999999999828,729.1999999999757,185.80558932708237,-2.282999999999996,1.2645994735567978,-0.07662948162948162,0.0,-56.162154040445884,-235.20000000000118,-6.599999999999998,0.0,-2.0,-2.1,-0.6000000000000003,
min_distance,Min-Distance,1,50.76689395004955,2.1073247036302645,4284.850345807047,0.6774193548387096,0.3225806451612903,0.0,0.9742333333333334,0.9773333333333334,0.9321714554875177,0.9317325800376648,0.06779661016949153,0.9995291902071564,0.9995291902071564,0.00047080979284369113,0.2921242624450778,0.6946970899470896,0.06779661016949153,2123.0,1979.0,144.0,-358.6324274382952,-18.237587011623535,676.3999999999759,791.5999999999722,270.97674304789905,-2.3189999999999964,1.2371164017575742,-0.04940476190476192,0.0,-35.20550073733758,-115.19999999999972,0.0,0.0,-2.0,-2.9999999999999996,-0.6300000000000003,0.0
min_distance,Min-Distance,2,44.13518107086975,2.253041211129536,4586.508191817204,0.7142857142857143,0.2857142857142857,0.0,0.9748666666666667,0.9776666666666667,0.9172897196261682,0.9172897196261682,0.08271028037383178,1.0,1.0,0.0,0.2748920512534987,0.7323624338624336,0.08271028037383178,2140.0,1963.0,177.0,-375.86762952746864,-19.134204341561396,643.599999999975,785.1999999999725,261.97163490088514,-2.2619999999999982,1.1789674276907995,0.009880952380952383,0.0,-42.786838703228554,-141.59999999999985,0.0,0.0,-2.0,-2.4,-0.6000000000000003,0.0
min_distance,Min-Distance,3,50.36657014986453,2.1352746542638497,4318.376443076564,0.6896551724137931,0.3103448275862069,0.0,0.9802666666666667,0.9831666666666666,0.9296173830892773,0.9296173830892773,0.07038261691072271,1.0,1.0,0.0,0.29065170802724427,0.7223981481481463,0.07038261691072271,2117.0,1968.0,149.0,-359.6907050333499,-18.25115474383817,667.9999999999751,787.1999999999724,269.9847295429852,-1.7759999999999965,1.1795634624239653,-0.06484126984126984,0.0,-34.43189045973424,-119.1999999999997,0.0,0.0,-2.0,-2.6999999999999997,-0.6000000000000003,0.0
mappo_no_han,MAPPO (no HAN),1,13.084160555446884,2.2230453278866187,1990.9329216479914,0.76,0.24,0.0,0.9755,0.978,0.8662900188323918,0.8662900188323918,0.1337099811676083,1.0,1.0,0.0,0.2621948584027876,0.6609564694564696,0.1337099811676083,2124.0,1840.0,284.0,-477.50204605721416,-9.624158528142267,508.7999999999818,735.9999999999753,190.69620842463127,-2.204999999999995,1.1999958398140518,-0.05500610500610501,0.0,-51.6306779991992,-227.20000000000107,-2.9999999999999996,0.0,-2.0,-1.8,-0.5700000000000003,
mappo_no_han,MAPPO (no HAN),2,18.58007965332419,2.2483752491294307,2099.930439043316,0.7333333333333333,0.26666666666666666,0.0,0.9746666666666667,0.9776666666666667,0.8789719626168224,0.8789719626168224,0.12102803738317756,1.0,1.0,0.0,0.26373328424011183,0.7017329244829233,0.12102803738317756,2140.0,1881.0,259.0,-471.2654854452538,-10.215963843011028,545.1999999999776,752.3999999999744,194.37012359605836,-2.2799999999999954,1.3771917360757977,0.05208333333333333,0.0,-44.319636245736554,-207.20000000000078,-2.9999999999999996,0.0,-2.0,-2.4,-0.6600000000000004,
mappo_no_han,MAPPO (no HAN),3,11.969541013863195,2.2447943281811935,2004.4209919145912,0.7096774193548387,0.2903225806451613,0.0,0.9800666666666666,0.9831666666666666,0.8649031648559282,0.8649031648559282,0.1350968351440718,1.0,1.0,0.0,0.2612377476155603,0.6585978835978814,0.1350968351440718,2117.0,1831.0,286.0,-480.77956618344604,-9.687238275441606,503.599999999982,732.3999999999755,187.785097282871,-1.7939999999999965,1.374695043876467,-0.054367576867576865,0.0,-53.90088413266487,-228.8000000000011,-6.299999999999998,0.0,-2.0,-2.6999999999999997,-0.6600000000000004,
attn_mappo,Attn+MAPPO,1,11.936082692608606,2.2827571885938154,2530.7932478582825,0.6956521739130435,0.30434782608695654,0.0,0.9755333333333334,0.9778333333333333,0.8667608286252354,0.8667608286252354,0.1332391713747646,1.0,1.0,0.0,0.25757435953212704,0.662357142857143,0.1332391713747646,2124.0,1841.0,283.0,-483.8353687393769,-12.239996212925545,509.99999999998175,736.3999999999753,185.90948447681583,-2.2019999999999955,1.0222879014047128,0.025902985902985898,0.0,-50.57898987126013,-226.40000000000106,-2.6999999999999997,0.0,-2.0,-2.1,-0.4800000000000002,
attn_mappo,Attn+MAPPO,2,16.915839999929688,2.322006441667164,2690.9814427692145,0.7142857142857143,0.2857142857142857,0.0,0.9748666666666667,0.9776666666666667,0.8789719626168224,0.8789719626168224,0.12102803738317756,1.0,1.0,0.0,0.2579406398922243,0.7037539682539667,0.12102803738317756,2140.0,1881.0,259.0,-480.1928988836861,-13.066097011182364,545.1999999999776,752.3999999999744,188.4475211440956,-2.2619999999999956,1.266055603734709,0.041091269841269845,0.0,-43.885310483979836,-207.20000000000078,-2.6999999999999997,0.0,-2.0,-2.4,-0.6000000000000003,
attn_mappo,Attn+MAPPO,3,11.534115009138882,2.309540569976145,2550.8738184982562,0.76,0.24,0.0,0.9811666666666667,0.9836666666666667,0.8682097307510628,0.8682097307510628,0.13179026924893716,1.0,1.0,0.0,0.25739477413166284,0.6565462962962941,0.13179026924893716,2117.0,1838.0,279.0,-488.88686245906825,-12.344841513498533,511.9999999999812,735.1999999999754,182.28412237686896,-1.6949999999999967,1.2076950131120454,-0.08944083694083696,0.0,-52.761340154465245,-223.200000000001,-5.699999999999998,0.0,-2.0,-1.8,-0.5700000000000003,
joint_greedy,Joint Greedy,1,10.80622356177201,2.363888506957847,3814.114473241286,0.8095238095238095,0.19047619047619047,0.0,0.8670666666666667,0.8691666666666666,0.8265786993402451,0.8258003766478342,0.17325800376647835,0.9990583804143126,0.9990583804143126,0.0009416195856873823,0.21285603801407085,0.6445542328042339,0.17325800376647835,2122.0,1754.0,368.0,-316.85745375669393,-16.287642103809926,407.1999999999811,701.5999999999773,240.62699728967078,-11.963999999999984,1.0754360380223897,0.001984126984126992,0.0,-85.29017288494404,-294.400000000002,0.0,0.0,-2.0,-1.2,-0.5100000000000002,
joint_greedy,Joint Greedy,2,22.052442920708014,2.397379315669794,4251.459444157171,0.72,0.28,0.0,0.9103333333333333,0.9128333333333334,0.8610201216658867,0.8598130841121495,0.13878504672897196,0.9985981308411215,0.9985981308411215,0.0014018691588785046,0.2303883194005713,0.7729616402116396,0.13878504672897196,2137.0,1840.0,297.0,-349.3533121128749,-17.881953471245748,498.39999999997457,735.9999999999753,245.7561978552143,-8.070000000000018,1.1455759720873537,-0.04496031746031747,0.0,-73.0427013661612,-237.60000000000122,0.0,0.0,-2.0,-2.1,-0.5400000000000003,
joint_greedy,Joint Greedy,3,25.424946212579123,2.2974927728909873,4008.3522117136117,0.7272727272727273,0.2727272727272727,0.0,0.9119666666666667,0.9141666666666667,0.8662570888468809,0.8658478979688238,0.1336797354747284,0.9995276334435522,0.9995276334435522,0.0004723665564478035,0.23946206276554977,0.5906192721660845,0.1336797354747284,2116.0,1833.0,283.0,-332.99117177598725,-17.059525998900803,506.79999999997517,733.1999999999755,251.33785738356048,-7.92299999999992,1.031841747346761,-0.0554568525983459,0.0,-71.30408237762965,-226.40000000000106,0.0,0.0,-2.0,-1.8,-0.4800000000000002,
full_local,Full-Local,1,7.551885745981037,2.385122101318306,3777.4588547948015,0.8,0.2,0.0,0.8576666666666667,0.8596666666666667,0.8188679245283019,0.8173258003766478,0.1807909604519774,0.9981167608286252,0.9981167608286252,0.0018832391713747645,0.20708059378913077,0.6960634920634924,0.1807909604519774,2120.0,1736.0,384.0,-313.83728263649124,-16.1044485175508,387.1999999999811,694.3999999999777,237.99554413140248,-12.809999999999919,1.0327317712345532,-0.00134920634920635,0.0,-89.92942499092604,-307.2000000000022,0.0,0.0,-2.0,-1.2,-0.4800000000000002,
full_local,Full-Local,2,22.565920538888154,2.3942094053901344,4253.425499318707,0.782608695652174,0.21739130434782608,0.0,0.9108666666666667,0.9131666666666667,0.8619560131024802,0.8607476635514019,0.1378504672897196,0.9985981308411215,0.9985981308411215,0.0014018691588785046,0.23098938854365408,0.739489417989417,0.1378504672897196,2137.0,1842.0,295.0,-348.6191812210482,-17.892344300446666,500.79999999997455,736.7999999999753,246.16051433334658,-8.02200000000002,1.1545446918690283,-0.007460317460317466,0.0,-72.56245044489953,-236.0000000000012,0.0,0.0,-2.0,-1.5,-0.5400000000000003,
full_local,Full-Local,3,7.353314125318068,2.415740890072191,3780.2919825026793,0.7142857142857143,0.2857142857142857,0.0,0.8615666666666666,0.8636666666666667,0.817966903073286,0.8171941426547,0.18186112423240436,0.9990552668871044,0.9990552668871044,0.000944733112895607,0.20612430982481633,0.7091851851851843,0.18186112423240436,2115.0,1730.0,385.0,-313.2706477290274,-16.068647735368387,383.99999999997635,691.9999999999778,237.7188805227091,-12.45899999999993,0.9762757550833165,-0.0963888888888889,0.0,-90.88633067132689,-308.0000000000022,0.0,0.0,-2.0,-1.8,-0.4500000000000002,
random,Random,1,-51.61681230530258,2.547369227976364,4166.970132537862,0.8041087962962963,0.1958912037037037,0.0008673026886383347,0.4442666666666676,0.7898333333333334,0.8264969354078265,0.8253295668549906,0.17325800376647835,0.998587570621469,0.998587570621469,0.0014124293785310734,0.10336291262730501,0.46756975323162775,0.17325800376647835,2121.0,1753.0,368.0,-414.1577183841799,-16.038623990437475,406.79999999999126,701.1999999999773,217.22029567600364,-50.016000000000325,174.39347443702968,-1.8094869536379234,0.0,-93.24606383780359,-294.400000000002,0.0,-3.0,-1.0,-201.30000000000192,-83.37000000000239,0.0
random,Random,2,-57.9816451986895,2.6970411736298048,4466.57698804688,0.8101784147411524,0.18982158525884762,0.0005846243788365975,0.4598666666666674,0.8013333333333333,0.8058025269068788,0.8046728971962617,0.1939252336448598,0.9985981308411215,0.9985981308411215,0.0014018691588785046,0.1000914584425205,0.4951196490320078,0.1939252336448598,2137.0,1722.0,415.0,-432.04956050581336,-16.589986602985658,356.7999999999922,688.799999999978,209.63255461780855,-48.61200000000025,175.0832954427702,-1.0118917075485305,0.0,-104.16086323112597,-332.00000000000256,0.0,-4.0,-1.0,-192.30000000000157,-83.10000000000238,0.0
random,Random,3,-52.26657424520039,2.592263596306282,4170.045242591477,0.8047703180212014,0.19522968197879859,0.00029437739181630853,0.45573333333333443,0.7948333333333333,0.8202459791863765,0.8190836088804913,0.17949929145016533,0.9985829003306566,0.9985829003306566,0.0014170996693434106,0.10391322723021486,0.5524583991249689,0.17949929145016533,2114.0,1734.0,380.0,-409.7023495628334,-16.05948954734488,389.5999999999898,693.5999999999777,214.8020480936075,-48.98400000000021,171.6340136832518,-1.3958881760586308,0.0,-99.1335913621316,-304.00000000000216,0.0,-2.0,-2.0,-197.70000000000178,-81.99000000000234,0.0
