method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,True,3,93.0000165792448,1.240911365439805,2.237220553351964,1775.5599122934634,0.7201769485627555,0.27982305143724434,0.0,0.9770333333333333,0.9796666666666667,0.8698998044497067,0.8698998044497067,0.13010019555029326,1.0,1.0,0.0,0.13010019555029326,0.26254432292807633,0.6742321228154551,0.8347719380787322,0.0015555555555555555,0.0,0.6165444850921631,190.71411273441822,286.51660131559794,472.1000000000122,-2.066999999999996,1.202416009544417,-0.0032249694749694794,26.066666666666617,-15.128025133987931,-4.399999999999999,0.0,-2.0,-2.1999999999999997,-0.5700000000000003,effective_latency_score,0.26254432292807633,2,Service Continuity | Service Availability,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_g1_300k_600s_u10_20260528_235135/training_history.json,checkpoint_eval
min_distance,Min-Distance,False,3,102.2117032007891,1.3267217761589014,2.1652135230078833,4396.578326900272,0.6937867471794057,0.3062132528205943,0.0,0.9764555555555555,0.9793888888888889,0.9263595194009877,0.9262132275843701,0.07362983581801534,0.9998430634023855,0.9998430634023855,0.0001569365976145637,0.07362983581801534,0.28588934057527354,0.7164858906525565,2.06735658004715,0.004888888888888889,1.0,0.0,267.6443691639231,247.05132509649604,544.0000000000088,-2.1189999999999967,1.1985490972907795,-0.03478835978835979,0.0,-11.24242299003003,0.0,0.0,-2.0,-2.6999999999999997,-0.6100000000000003,effective_latency_score,0.28588934057527354,3,Average Delay | Task Success | Deadline Violation,0.0,min_distance(best_offload=0.00),,heuristic_eval
mappo_no_han,MAPPO (no HAN),False,3,92.61156877367891,1.335665600817077,2.2441182169873533,2053.947844385534,0.7311111111111112,0.2688888888888889,0.0,0.9767777777777779,0.9796111111111111,0.8700550487683808,0.8700550487683808,0.12994495123161923,1.0,1.0,0.0,0.12994495123161923,0.26196365659849596,0.6733629549462871,0.9656548398615581,0.001888888888888889,0.0,0.5519535541534424,190.48366965142688,282.29078233421706,472.3000000000122,-2.089999999999996,1.2987245370997829,-0.025389841639841648,26.25333333333327,-15.154777598108154,-3.899999999999999,0.0,-2.0,-2.3000000000000003,-0.6200000000000003,effective_latency_score,0.26196365659849596,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/g1_300k_600s_u10_20260528_235135/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
joint_greedy,Joint Greedy,False,3,80.12879928546405,5.1345317063638936,2.352941291613005,4024.397610142006,0.7522655122655122,0.24773448773448772,0.0,0.8964555555555557,0.8987222222222222,0.8512853032843376,0.8504871195762691,0.14857426199005958,0.9990613815663288,0.9990613815663288,0.0009386184336712301,0.14857426199005958,0.2275673166722524,0.6693783817273192,1.8938341694785912,0.0003333333333333333,0.9261666666666667,0.07298611104488373,245.90442325369384,226.53403584786986,447.90000000001123,-9.318999999999974,1.0842845858188348,-0.03281101435817879,0.03888888888888889,-22.963695662873487,0.0,0.0,-2.0,-1.7,-0.5100000000000002,effective_latency_score,0.2275673166722524,0,,,,,heuristic_eval
full_local,Full-Local,False,3,74.74135955927864,6.204191640420108,2.3983574655935436,3937.0587788720622,0.7656314699792962,0.23436853002070393,0.0,0.8767,0.8788333333333332,0.8329302802346894,0.8317558688609165,0.1668341839913671,0.9985900528522839,0.9985900528522839,0.0014099471477162923,0.1668341839913671,0.2147314307192004,0.7149126984126979,1.8536058280941912,0.0,1.0,0.0,240.62497966248608,221.4441183169191,424.4000000000103,-11.096999999999957,1.0545174060622993,-0.03506613756613757,0.0,-25.337820610715244,0.0,0.0,-2.0,-1.5,-0.4900000000000002,effective_latency_score,0.2147314307192004,0,,,,,heuristic_eval
random,Random,False,3,21.834940948737188,0.6094360561853441,2.612224665970817,4267.86412105874,0.8063525096862166,0.19364749031378334,0.0005821014864304137,0.4532888888888898,0.7953333333333333,0.8175151471670272,0.8163620243105812,0.18222750962050116,0.9985895339310824,0.9985895339310824,0.001410466068917663,0.18222750962050116,0.10245586610001345,0.5050492671295348,2.0093522227206875,0.5698888888888889,1.0,0.0,213.8849661291399,233.88203818411898,404.60000000000963,-49.20400000000026,173.7035945210172,-1.4057556124150283,0.0,-29.654051843106103,0.0,-3.0,-1.3333333333333333,-197.10000000000176,-82.82000000000237,effective_latency_score,0.10245586610001345,0,,0.0,random(best_offload=0.00),,heuristic_eval
