method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,1,-66.19916400614919,2.9745461533366,2543.7963508949924,0.7238512035010941,0.2761487964989059,0.0004374453193350831,0.8963750000000006,0.9535,0.7651094027202838,0.7651094027202838,0.23489059727971615,1.0,1.0,0.0,0.09520833333333334,0.06492273554146032,0.06492273554146032,0.11300504735360543,0.23489059727971615,8455.0,6469.0,1986.0,-2255.8103066352687,-7.649198741346982,998.799999999917,2587.600000000314,608.6160891003356,-9.326250000000023,100.29586933883104,0.01485417535178556,0.0,-703.9111009539671,-1588.799999999944,-766.4999999999751,-1.5,-5.0,-188.40000000000143,-49.64000000000112,
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,2,-82.35507796144945,3.1241516416388473,2729.923292233461,0.731879409878127,0.268120590121873,0.0003206155819172812,0.8645083333333335,0.9424583333333333,0.7477380952380952,0.7474711412590741,0.25217184338926574,0.9996429846483399,0.9996429846483399,0.0003570153516601214,0.12991666666666668,0.08650518840812511,0.08650518840812511,0.12247474488491814,0.25217184338926574,8400.0,6281.0,2119.0,-2301.8553226474933,-7.6409942859082145,817.1999999999535,2512.400000000297,582.386515935333,-12.194250000000025,143.4830310846788,0.03048780484259095,0.0,-817.5971642276482,-1695.199999999938,-896.3999999999554,-1.0,-5.0,-250.20000000000377,-68.46500000000182,
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,3,-82.4479817168871,3.089749378285754,2667.5811111664293,0.7357529449219994,0.2642470550780006,0.0,0.8656416666666669,0.9441666666666667,0.748300131217941,0.7479432454989865,0.2515798259210683,0.9995230714200548,0.9995230714200548,0.0004769285799451532,0.130875,0.0764647134169702,0.0764647134169702,0.11321548512205482,0.2515798259210683,8383.0,6273.0,2110.0,-2310.036094989104,-7.520940613002619,821.1999999999499,2509.2000000002963,575.7261167004763,-12.092250000000025,145.98227774635137,0.00732594187813665,0.0,-815.3074554737724,-1687.9999999999384,-902.0999999999545,0.0,-5.0,-249.00000000000372,-69.34000000000187,
attn_mappo,Attn+MAPPO,1,-68.27543167856425,2.860604829820128,2253.4157883028442,0.7392160724837502,0.26078392751624974,0.0005905511811023622,0.8026166666666669,0.9295416666666667,0.7718613181871968,0.7714961561206387,0.2280307510348906,0.9995269071555293,0.9995269071555293,0.0004730928444707274,0.21154166666666666,0.07983672344046541,0.07983672344046541,0.12222221894189715,0.2280307510348906,8451.0,6523.0,1928.0,-2243.5930497761997,-7.32094958516475,1066.7999999999427,2609.200000000319,613.362236891718,-17.76450000000003,214.29898201656073,-0.0007692366152471042,0.0,-633.7466772811551,-1542.3999999999467,-511.80000000001365,-1.5,-4.0,-396.3000000000093,-112.60000000000349,
attn_mappo,Attn+MAPPO,2,-71.41941107962765,2.995279277362999,2522.085501082506,0.7286842822119314,0.2713157177880686,0.0,0.8531416666666667,0.9449166666666666,0.77,0.7697250981792217,0.22991788646911818,0.9996429846483399,0.9996429846483399,0.0003570153516601214,0.15295833333333334,0.10640606146009185,0.10640606146009185,0.1315656536569198,0.22991788646911818,8400.0,6468.0,1932.0,-2271.824413131219,-7.5398858180498,1041.5999999999665,2587.200000000314,604.1195587226377,-13.21725000000003,151.78528136290865,0.035302435344627535,0.0,-730.0708413283832,-1545.5999999999465,-735.2999999999798,-0.5,-6.0,-298.50000000000557,-80.28000000000226,
attn_mappo,Attn+MAPPO,3,-69.07626641783746,2.9911782275064147,2529.555641844376,0.7155963302752294,0.28440366972477066,0.0,0.8934750000000001,0.958875,0.7665791984732825,0.766304995826875,0.23333730773816622,0.9996423035650411,0.9996423035650411,0.0003576964349588649,0.109,0.09983072252515686,0.09983072252515686,0.12845117518057425,0.23333730773816622,8384.0,6427.0,1957.0,-2295.302899720278,-7.391296614813664,1005.1999999999233,2570.8000000003103,589.076662868565,-9.587249999999997,106.80593704118617,0.00299544613124258,0.0,-710.3600966290363,-1565.5999999999453,-788.6999999999717,0.0,-5.0,-223.20000000000275,-56.16500000000137,
pdqn,PDQN,1,-51.68685497040367,2.942547066211536,1595.5924994853895,0.7038789025543992,0.2961210974456008,0.000945179584120983,0.9221583333333336,0.9485833333333333,0.7752662721893491,0.7748078060319338,0.22460082791247782,0.9994086339444116,0.9994086339444116,0.0005913660555884093,0.044041666666666666,0.2540739936986027,0.2540739936986027,0.20092592223857839,0.22460082791247782,8450.0,6551.0,1899.0,-2184.394216342027,-4.091293425181442,1101.1999999999475,2620.4000000003216,589.2465705282451,-7.005750000000026,47.00106624449365,0.11272138884325285,0.0,-620.5672557116432,-1519.199999999948,-589.200000000002,-3.5,-5.0,-91.79999999999949,-22.400000000000084,
pdqn,PDQN,2,-67.8867740887485,3.137641216626152,2064.323573775372,0.6986721144024515,0.30132788559754853,0.003054989816700611,0.9364416666666667,0.9609166666666666,0.759014637629418,0.759014637629418,0.24098536237058193,1.0,1.0,0.0,0.040791666666666664,0.24086477152982422,0.24086477152982422,0.18985689990222454,0.24098536237058193,8403.0,6378.0,2025.0,-2285.193625548686,-4.572157578925273,931.1999999999454,2551.200000000306,569.6946290820067,-5.720250000000018,42.38118726028393,0.04030256557744191,0.0,-770.1015663675173,-1619.9999999999422,-855.5999999999616,-4.5,-4.0,-85.79999999999954,-20.565000000000023,
pdqn,PDQN,3,-74.16596880601567,3.130202764906801,1963.9561854451404,0.682791435368755,0.317208564631245,0.0039494470774091624,0.9148916666666669,0.9464166666666667,0.7433174224343675,0.7426970311195898,0.25646834386550615,0.9991653749850959,0.9991653749850959,0.0008346250149040181,0.05254166666666667,0.22915600600918581,0.22915600600918581,0.18455386857191722,0.25646834386550615,8380.0,6229.0,2151.0,-2262.236026836097,-4.449489248920711,770.7999999999502,2491.6000000002923,547.1942723348253,-7.659750000000021,51.95707186597357,0.04030634324844195,0.0,-776.3605675718076,-1720.7999999999365,-835.7999999999646,-7.5,-3.0,-115.49999999999926,-25.91000000000022,
mappo_no_han,MAPPO,1,-76.81947891125216,3.1850560352822814,2925.3503403752757,0.7319587628865979,0.26804123711340205,0.0,0.9814499999999999,0.983875,0.7473684210526316,0.7473684210526316,0.25263157894736843,1.0,1.0,0.0,0.0040416666666666665,0.05318618044880991,0.05318618044880991,0.11738215203707417,0.25263157894736843,8455.0,6319.0,2136.0,-2359.2209964607523,-7.402978831125485,818.7999999999358,2527.6000000003005,589.644115478948,-1.669500000000001,4.4549821657661335,0.006276900936639862,0.0,-855.4984776929979,-1708.7999999999372,-1178.9999999999127,0.0,-6.0,-7.799999999999997,-2.1350000000000007,
