method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_multiuser_u40,HAN+MAPPO,True,3,-77.00074122816191,7.637962670733241,3.0628157244204,2647.100251431628,0.7304945194337402,0.26950548056625984,0.0002526869670841214,0.8755083333333337,0.9467083333333334,0.7537158763921067,0.7535079298261147,0.24621408886335006,0.9997220186894649,0.9997220186894649,0.00027798131053509157,0.24621408886335006,0.11866666666666666,0.07596421245551854,0.07596421245551854,0.11623175912019279,0.3146565002890437,0.11591666666666667,0.0,0.7160140872001648,-2289.233908090622,-7.603711213419271,879.0666666666067,2536.4000000003025,588.9095739120484,-11.204250000000025,129.92039272328705,0.017555974024171053,0.0,-778.9385735517959,-1657.3333333332732,-854.9999999999617,-0.8333333333333334,-5.0,-229.20000000000297,-62.481666666668275,avg_delay,-3.0628157244204,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u40_multiuser_6_7/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,3,-69.59036972534312,1.3340110635895404,2.949020778229847,2435.0189770765755,0.727832228323637,0.272167771676363,0.0001968503937007874,0.8497444444444445,0.9444444444444445,0.7694801722201597,0.7691754167089119,0.23042864841405833,0.9996040651229702,0.9996040651229702,0.00039593487702990456,0.23042864841405833,0.15783333333333333,0.09535783580857138,0.09535783580857138,0.12741301592646373,0.2894811543978493,0.15666666666666668,0.0,0.7309269905090332,-2270.240120875899,-7.417377339342738,1037.8666666666109,2589.066666666981,602.1861528276403,-13.52300000000002,157.63006680688517,0.012509548286874337,0.0,-691.3925384128582,-1551.1999999999462,-678.5999999999884,-0.6666666666666666,-5.0,-306.00000000000585,-83.01500000000237,avg_delay,-2.949020778229847,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u40/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
pdqn,PDQN,False,3,-64.57986595505595,9.470282317583855,3.070130349248163,1874.6240862353006,0.6951141507752019,0.3048858492247981,0.002649872159410252,0.9244972222222225,0.9519722222222221,0.7591994440843782,0.7588398249269805,0.24068484471618865,0.9995246696431691,0.9995246696431691,0.00047533035683080914,0.24068484471618865,0.04579166666666667,0.2413649237458709,0.2413649237458709,0.19177889690424008,0.22287767045955303,0.044180555555555556,0.017069444444444446,0.9687608480453491,-2243.9412895756036,-4.3709800843424755,934.3999999999477,2554.4000000003066,568.7118239816923,-6.7952500000000216,47.11310845691705,0.06444343255637891,0.0,-722.3431298836559,-1619.9999999999425,-760.1999999999761,-5.166666666666667,-4.0,-97.69999999999943,-22.958333333333442,avg_delay,-3.070130349248163,2,Energy per Resolved Task | Active Load Balance,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u40/learned_baselines/pdqn/training_history.json,pdqn_train_eval
mappo_no_han,MAPPO,False,3,-80.08306108151692,2.8166586050466074,3.229349399361844,3004.9478825299066,0.7334155256865135,0.2665844743134865,0.0,0.9836499999999999,0.9862083333333334,0.7437346124416955,0.7437053309318565,0.25625500069573676,0.9999603316275932,0.9999603316275932,3.9668372406680154e-05,0.25625500069573676,0.004263888888888889,0.060396540973274876,0.060396540973274876,0.11539000861553682,0.35710836822966724,0.0009305555555555556,0.0,0.7599738836288452,-2379.590709483864,-7.475694244663976,778.2666666666058,2503.3333333336286,578.4849536492374,-1.4715000000000023,4.712103712981965,0.004092689801041619,0.0,-889.0272818531212,-1725.066666666603,-1213.8999999999073,0.0,-5.666666666666667,-8.2,-2.2566666666666664,avg_delay,-3.229349399361844,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u40/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
min_distance,Min-Distance,False,3,-88.67721843388897,2.279764129577562,3.335961727011463,2693.6540642671685,0.6673971293943936,0.33260287060560656,0.0,0.9827388888888889,0.9858472222222222,0.732196424460299,0.7320220347162191,0.2677404599276769,0.9997624946438961,0.9997624946438961,0.00023750535610397015,0.2677404599276769,0.0051805555555555554,0.10683289536386574,0.10683289536386574,0.1573933753495415,0.320177589952118,0.0051805555555555554,0.0,1.0,-2435.511628383492,-5.3259093929408765,661.5999999999294,2464.000000000286,551.3954275434766,-1.5535000000000017,4.8757286995809705,0.021304991839188197,0.0,-948.1399549661992,-1802.399999999932,-1293.0999999998953,0.0,-5.666666666666667,-12.400000000000007,-2.5033333333333316,avg_delay,-3.335961727011463,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
maddpg,MADDPG,False,3,-81.45176066451619,7.454752916039235,3.5387862794348925,3015.7427107445837,0.7260801406671785,0.27391985933282154,0.0,0.9675111111111111,0.9798611111111111,0.698697215601166,0.6984765231890596,0.30120712264742466,0.9996836458364843,0.9996836458364843,0.00031635416351575804,0.30120712264742466,0.020583333333333332,0.06418136188747356,0.06418136188747356,0.09810605853175124,0.35849063407828785,0.016847222222222222,0.47308333333333336,0.49151167273521423,-2527.036406264476,-5.954860333351239,322.9333333333119,2350.933333333594,517.5819783651059,-2.9240000000000013,22.94478923469056,0.006041760637619923,0.0,-1122.789070549127,-2027.9999999999284,-292.5000000000054,-2.5,-5.666666666666667,-37.799999999999876,-10.89833333333339,avg_delay,-3.5387862794348925,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u40/learned_baselines/maddpg/training_history.json,maddpg_train_eval
random,Random,False,3,-196.53408511443183,3.570976473294479,3.6803192520901984,2894.642978520054,0.7457996993395156,0.2542003006604843,0.0009558733124112063,0.3872416666666667,0.7367083333333334,0.5810658377295764,0.5799850981256037,0.41815287835205334,0.9981379764776569,0.9981379764776569,0.0018620235223430401,0.41815287835205334,0.5824444444444444,0.0,0.0,0.017283949949261215,0.34462770599095804,0.5816944444444444,0.0,0.5,-2500.299410536296,-7.231018027117568,-862.6666666666852,1952.2666666668365,393.0069167714549,-55.148250000000075,653.3249694370636,0.06786287639643496,0.0,-1296.4899853375043,-2814.9333333334253,-647.9999999999931,-14.0,-3.6666666666666665,-1057.3999999999312,-312.896666666624,avg_delay,-3.6803192520901984,0,,0.5,random(best_offload=0.50),,heuristic_eval
joint_greedy,Joint Greedy,False,3,-128.18671640258788,4.8944407211396,4.19543499487508,4152.350087633734,0.8202826247630065,0.17971737523699347,0.003745318352059925,0.9428166666666667,0.945,0.5736845946521293,0.5734830364663269,0.4261604361194146,0.9996434725857415,0.9996434725857415,0.000356527414258549,0.4261604361194146,0.003638888888888889,0.0,0.0,0.0,0.49362221678955465,0.0002777777777777778,0.959875,0.040069445967674255,-2687.212750072795,-7.014535910450225,-938.8000000000084,1930.2666666668317,428.49219746621435,-5.146500000000035,4.504311424240207,0.0,0.0,-1709.8968173483806,-2869.066666666771,0.0,-0.16666666666666666,-5.666666666666667,-4.599999999999999,-2.150000000000001,avg_delay,-4.19543499487508,0,,,,,heuristic_eval
full_local,Full-Local,False,3,-133.28178286428002,2.8508519223423936,4.206367964205641,4032.9038937480236,0.8273115773115775,0.1726884226884227,0.0,0.9152166666666668,0.91725,0.5573927851001037,0.5567301344582359,0.4420814803564162,0.9988116148146521,0.9988116148146521,0.001188385185347907,0.4420814803564162,0.0033888888888888888,0.0,0.0,0.0,0.47982199806639186,0.0,1.0,0.0,-2609.510222599665,-6.818395796452734,-1102.399999999965,1873.8666666668187,415.7523018684149,-7.630499999999998,4.274311568893222,0.0,0.0,-1717.3628202552902,-2976.2666666667956,0.0,0.0,-5.666666666666667,-4.199999999999999,-2.020000000000001,avg_delay,-4.206367964205641,2,Handover Failure | Handover Frequency,,,,heuristic_eval
