method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,source
han_mappo_latency_priority,HAN+MAPPO,True,20,420.461278863588,6.270671302684138,2.184584018486509,1460.7272695788545,0.816973556622749,0.1830264433772513,0.0,0.9801614999999998,0.9826725,0.5502121853798322,0.999909304701583,9.069529841709449e-05,0.4497878146201679,0.6123899246511629,0.1655186902861543,latency_priority_score,0.5546277110426759,0,,,,checkpoint_eval
max_elev,Max-Elev,False,20,403.34164963242335,6.9581457934391935,2.243449181211253,821.5230611410236,0.775797807399766,0.22420219260023394,0.0,0.9795535,0.9823825000000002,0.5417461023300958,0.9998923319459312,0.00010766805406874978,0.4582538976699042,0.6914370323834664,0.0931252548988317,latency_priority_score,0.5653697729157354,0,,1.0,max_elev(best_offload=1.00),heuristic_eval
min_distance,Min-Distance,False,20,403.34164963242335,6.9581457934391935,2.243449181211253,821.5230611410236,0.775797807399766,0.22420219260023394,0.0,0.9795535,0.9823825000000002,0.5417461023300958,0.9998923319459312,0.00010766805406874978,0.4582538976699042,0.6914370323834664,0.0931252548988317,latency_priority_score,0.5653697729157354,0,,1.0,min_distance(best_offload=1.00),heuristic_eval
stay,Stay,False,20,358.87401344459727,6.691019210871011,2.190224974919544,743.7698512586655,0.8312384929514455,0.16876150704855458,0.0,0.8334340000000002,0.8354275,0.5499534830240508,0.9998065317884743,0.00019346821152576503,0.4500465169759491,0.6553393616799856,0.09928183291178877,latency_priority_score,0.5340208506211984,0,,1.0,stay(best_offload=1.00),heuristic_eval
max_rvt,Max-RVT,False,20,422.3457035753351,6.849151247387747,2.173182413486444,996.6922644618495,0.7743799500276347,0.22562004997236534,0.0,0.971938,0.9802975,0.5511603302215036,0.9998866014613681,0.00011339853863188122,0.4488396697784964,0.42669652979170747,0.11325726706194136,latency_priority_score,0.5277928444143741,0,,1.0,max_rvt(best_offload=1.00),heuristic_eval
threshold_rvt_adaptive,Threshold-RVT Adaptive,False,20,442.0344852683572,11.105621910458918,3.829903397082126,4224.508151236279,0.8406228650102596,0.1593771349897403,0.0,0.9803579999999998,0.9827924999999998,0.6085321298248578,0.999937628418072,6.237158192793962e-05,0.39146787017514206,0.621771210317461,0.47861374503472814,latency_priority_score,0.5076021236604176,3,Service Continuity | Service Availability | Task Completion,,,heuristic_eval
joint_greedy,Joint Greedy,False,20,391.23049352836335,15.964242685621775,3.8382069572687363,3760.1785937987515,0.8251385789135298,0.17486142108647026,0.0,0.8722955000000002,0.8744075,0.6079119883604981,0.9998742515648491,0.00012574843515090946,0.3920880116395019,0.6333454661585053,0.47963908793800086,latency_priority_score,0.4874494057530941,0,,,,heuristic_eval
random,Random,False,20,285.0967900402703,7.235582724254353,2.1655400166387353,724.5187239636077,0.7912482241325449,0.20875177586745508,0.0009598720081238418,0.43228799999999745,0.7802874999999999,0.5531942053473691,0.9991515670649027,0.0008484329350971796,0.44680579465263087,0.5081519431768621,0.10339706213847395,latency_priority_score,0.4331299654022403,1,Average Delay,1.0,random(best_offload=1.00),heuristic_eval
