method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,1,-14.791696335718779,2.58142354327205,903.7637651909539,0.7254901960784313,0.27450980392156865,0.0,0.9831166666666666,0.9856666666666667,0.8332938107659473,0.8332938107659473,0.16670618923405264,1.0,1.0,0.0,0.00425,0.00333333326845753,0.00333333326845753,0.07579966100553671,0.16670618923405264,4217.0,3514.0,703.0,-1044.0580734890154,-3.336892197393325,843.1999999999553,1405.6000000000456,340.85289633166474,-1.5194999999999972,2.3692943182756685,0.0,0.0,-208.454581867833,-562.4000000000023,-186.60000000000136,0.0,-3.0,-4.199999999999999,-1.1100000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,2,-20.109955545368674,2.689305361050595,991.1665053616363,0.7843137254901961,0.21568627450980393,0.0,0.9847,0.98725,0.8258386866523911,0.8256422454804948,0.17411988582302568,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00425,0.011644542727132277,0.011644542727132277,0.08148147954295079,0.17411988582302568,4203.0,3471.0,732.0,-1053.6553491209747,-3.4003767611392357,802.7999999999604,1388.4000000000417,333.7853040338991,-1.3769999999999978,2.5546031997034406,0.03310810542611686,0.0,-228.33547579915063,-585.6000000000009,-219.6000000000026,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,3,-23.07413056562832,2.6933924404187684,997.1335733922352,0.6727272727272727,0.32727272727272727,0.0,0.9873333333333334,0.9900833333333333,0.8251249107780158,0.8251249107780158,0.1748750892219843,1.0,1.0,0.0,0.004583333333333333,0.001666666634228765,0.001666666634228765,0.0809764286192755,0.1748750892219843,4203.0,3468.0,735.0,-1072.7806407548742,-3.433684266026345,799.1999999999581,1387.2000000000414,326.4551911226548,-1.1399999999999975,2.359216107916568,0.0,0.0,-240.526977849496,-588.0000000000008,-240.90000000000342,0.0,-2.0,-5.399999999999999,-1.1100000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,4,-17.144299342322206,2.64884075435953,928.4433467196908,0.7916666666666666,0.20833333333333334,0.0,0.98585,0.98825,0.8309143686502177,0.8309143686502177,0.1690856313497823,1.0,1.0,0.0,0.004,0.001666666634228765,0.001666666634228765,0.07432659734040499,0.1690856313497823,4134.0,3435.0,699.0,-1036.7190370237204,-3.2889995602003443,814.7999999999545,1374.0000000000384,329.5768827253915,-1.273499999999998,2.4275159178539774,0.03666206491546803,0.0,-219.81860536175913,-559.2000000000024,-197.70000000000178,0.0,-3.0,-2.9999999999999996,-1.1500000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,5,-21.119287991773085,2.6515617395726836,926.788600516401,0.803921568627451,0.19607843137254902,0.0,0.97395,0.9765,0.8217164532954007,0.8217164532954007,0.17828354670459934,1.0,1.0,0.0,0.00425,0.0083259586003208,0.0083259586003208,0.06940235507984956,0.17828354670459934,4218.0,3466.0,752.0,-1050.975576317279,-3.309958694994884,784.7999999999545,1386.4000000000412,328.7554812556952,-2.344499999999997,2.5588213859743982,0.031153843639870574,0.0,-235.54652080621548,-601.6,-192.9000000000016,0.0,-4.0,-2.9999999999999996,-1.2350000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,6,-15.891540477325453,2.6592567529599487,913.3046963429748,0.6964285714285714,0.30357142857142855,0.0,0.9832,0.986,0.8303417752643226,0.8301376597836775,0.1696165191740413,0.9997541789577188,0.9997541789577188,0.0002458210422812193,0.004666666666666667,0.004985250761040241,0.004985250761040241,0.07647306192666292,0.1696165191740413,4067.0,3377.0,690.0,-1006.0600315590306,-3.23593912821858,798.7999999999637,1350.8000000000332,330.4508795562841,-1.5119999999999965,2.5018870133757614,0.008000003070831296,0.0,-219.47835196652446,-552.0000000000028,-183.30000000000123,0.0,-3.0,-5.099999999999999,-1.1750000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,7,-14.652668295237106,2.605924927571854,939.4344283321414,0.813953488372093,0.18604651162790697,0.0,0.9894333333333334,0.9915833333333334,0.8387945467591486,0.8387945467591486,0.16120545324085148,1.0,1.0,0.0,0.0035833333333333333,0.006633650753186434,0.006633650753186434,0.07853535149867336,0.16120545324085148,4181.0,3507.0,674.0,-1048.1146876581922,-3.471328517128735,863.5999999999561,1402.800000000045,332.6669677152733,-0.9509999999999984,2.2215353345856608,0.0,0.0,-205.33913585501048,-539.2000000000036,-210.00000000000225,0.0,-2.0,-2.4,-1.0500000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,8,-20.866794065536162,2.667654430474048,993.4597477892589,0.7547169811320755,0.24528301886792453,0.0,0.9891833333333333,0.9918333333333333,0.8279697113109323,0.8277738348710669,0.17198959072628342,0.9997634255973503,0.9997634255973503,0.0002365744026496333,0.004416666666666667,0.00333333326845753,0.00333333326845753,0.0754208734879891,0.17198959072628342,4226.0,3499.0,727.0,-1073.7220997597058,-3.4920155685826444,817.9999999999621,1399.6000000000442,334.26142318208264,-0.9734999999999981,2.5588168277402183,0.0,0.0,-235.8841617210425,-581.6000000000012,-232.8000000000031,0.0,-2.0,-3.899999999999999,-1.2000000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,9,-11.931216321378225,2.6127177800234307,890.4350139133753,0.8297872340425532,0.1702127659574468,0.0,0.9840666666666666,0.9864166666666667,0.8420533070088845,0.8416378885051801,0.15786877158362111,0.9995066600888012,0.9995066600888012,0.000493339911198816,0.003916666666666666,0.001666666634228765,0.001666666634228765,0.07213804520045718,0.15786877158362111,4052.0,3412.0,640.0,-1001.694240177721,-3.2337461545948734,852.7999999999622,1364.8000000000363,325.7616014196668,-1.4339999999999968,2.491368404664307,0.029508197182642783,0.0,-197.795617125078,-512.0000000000051,-180.60000000000113,0.0,-3.0,-2.4,-1.1750000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,10,-17.691028389932125,2.662504148366243,938.6341940562482,0.7450980392156863,0.2549019607843137,0.0,0.9808666666666667,0.9834166666666667,0.8342117872544322,0.8338122605363985,0.1657088122605364,0.9995210727969349,0.9995210727969349,0.0004789272030651341,0.00425,0.009992625234549564,0.009992625234549564,0.0779882134248813,0.1657088122605364,4174.0,3482.0,692.0,-1039.8149992526974,-3.3250741054010664,839.1999999999588,1392.8000000000427,328.31281600535704,-1.7219999999999973,2.4414535966559945,0.0053846147497730035,0.0,-219.8442283519117,-553.6000000000028,-217.50000000000253,0.0,-3.0,-3.899999999999999,-1.1450000000000007,
attn_mappo,Attn+MAPPO,1,-3.6364466216756037,2.4664517384231015,855.6344862726202,0.76,0.24,0.0,0.9805833333333334,0.9855833333333334,0.8477590704292151,0.8477590704292151,0.15224092957078492,1.0,1.0,0.0,0.008333333333333333,0.001666666634228765,0.001666666634228765,0.06254208559791247,0.15224092957078492,4217.0,3575.0,642.0,-1023.0049904087335,-3.542142024622209,916.3999999999501,1430.0000000000512,347.66433571359397,-1.7474999999999954,4.559139514280758,0.0,0.0,-160.406850151176,-513.600000000005,-105.89999999999935,0.0,-3.0,-7.1999999999999975,-2.28,
attn_mappo,Attn+MAPPO,2,-16.23499225949615,2.6500151352492978,1008.536599867048,0.7884615384615384,0.21153846153846154,0.0,0.9848166666666667,0.9874166666666667,0.8317868189388532,0.8315889628924833,0.1681731684110371,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.004333333333333333,0.009985250663726538,0.009985250663726538,0.07428450994193554,0.1681731684110371,4203.0,3496.0,707.0,-1044.0947560384527,-3.6218726065484304,832.7999999999599,1398.400000000044,337.7185455416013,-1.3664999999999974,2.598548924892589,0.03310810542611686,0.0,-213.52861569880034,-565.6000000000021,-200.40000000000188,0.0,-3.0,-3.2999999999999994,-1.2350000000000008,
attn_mappo,Attn+MAPPO,3,-16.534682406516577,2.628239708982826,983.3691844422967,0.7333333333333333,0.26666666666666666,0.0,0.988,0.991,0.8336902212705211,0.8336902212705211,0.16630977872947894,1.0,1.0,0.0,0.005,0.001666666634228765,0.001666666634228765,0.07420033443098267,0.16630977872947894,4203.0,3504.0,699.0,-1059.76351272889,-3.5867201226637695,842.3999999999571,1401.6000000000447,331.68025187942084,-1.0799999999999974,2.707318068625868,0.0,0.0,-213.78005171703205,-559.2000000000024,-200.10000000000187,0.0,-2.0,-4.799999999999999,-1.320000000000001,
attn_mappo,Attn+MAPPO,4,-13.54448126164246,2.614027077412246,956.8932602043528,0.7818181818181819,0.21818181818181817,0.0,0.9875833333333334,0.9903333333333333,0.8384131591678762,0.8384131591678762,0.16158684083212385,1.0,1.0,0.0,0.004583333333333333,0.0,0.0,0.0686447792686522,0.16158684083212385,4134.0,3466.0,668.0,-1032.888754873512,-3.5204963922589125,851.9999999999535,1386.4000000000412,333.6408436644147,-1.1174999999999977,2.7105001484475135,0.03199999740600588,0.0,-209.43509502775802,-534.4000000000038,-183.60000000000124,0.0,-3.0,-3.599999999999999,-1.2950000000000008,
attn_mappo,Attn+MAPPO,5,-2.552666506991008,2.455091146358659,827.3162024765127,0.8214285714285714,0.17857142857142858,0.0,0.9728,0.977,0.8463726884779517,0.8463726884779517,0.15362731152204837,1.0,1.0,0.0,0.007,0.0,0.0,0.048316496921082336,0.15362731152204837,4218.0,3570.0,648.0,-1010.3542732025148,-3.5467150437460986,909.5999999999556,1428.0000000000507,342.7104931166043,-2.4479999999999986,4.222855149410706,0.0,0.0,-157.94982976517608,-518.4000000000048,-75.59999999999964,0.0,-4.0,-4.499999999999999,-2.075000000000001,
attn_mappo,Attn+MAPPO,6,-10.306706326735222,2.5980825282456146,918.5900270139828,0.7066666666666667,0.29333333333333333,0.0,0.9819166666666667,0.9856666666666667,0.8389476272436686,0.8387413962635202,0.16101278269419864,0.9997541789577188,0.9997541789577188,0.0002458210422812193,0.00625,0.004985250761040241,0.004985250761040241,0.06965488027781248,0.16101278269419864,4067.0,3412.0,655.0,-990.8697389752274,-3.4558914044288396,840.7999999999622,1364.8000000000363,336.1541703840867,-1.6274999999999975,3.418975927217964,0.0,0.0,-194.73649544366845,-524.0000000000044,-155.7000000000002,0.0,-3.0,-6.599999999999998,-1.5900000000000012,
attn_mappo,Attn+MAPPO,7,-10.643571238268665,2.567342911842109,958.0248267911493,0.8260869565217391,0.17391304347826086,0.0,0.9902833333333333,0.9925833333333334,0.845013154747668,0.845013154747668,0.15498684525233197,1.0,1.0,0.0,0.003833333333333333,0.004985250761040241,0.004985250761040241,0.06919191746662061,0.15498684525233197,4181.0,3533.0,648.0,-1040.3763501973956,-3.6558418296594564,894.7999999999558,1413.2000000000473,337.33056657242685,-0.874499999999999,2.3745148775477265,0.0,0.0,-190.2536931490097,-518.4000000000048,-189.90000000000148,0.0,-2.0,-2.4,-1.1400000000000008,
attn_mappo,Attn+MAPPO,8,-17.815558693615277,2.6372360652208253,1003.8888307168609,0.7288135593220338,0.2711864406779661,0.0,0.98905,0.992,0.8319924278277331,0.8317955997161107,0.16796782588123965,0.9997634255973503,0.9997634255973503,0.0002365744026496333,0.004916666666666666,0.001666666634228765,0.001666666634228765,0.0726010081358254,0.16796782588123965,4226.0,3516.0,710.0,-1066.3973538561565,-3.6619667028058664,838.3999999999614,1406.4000000000458,336.96744011831765,-0.9854999999999983,2.7298039251800907,0.0,0.0,-222.95565545537949,-568.0000000000019,-213.9000000000024,0.0,-2.0,-4.799999999999999,-1.290000000000001,
attn_mappo,Attn+MAPPO,9,1.647955899999119,2.4787842726728786,834.296824098591,0.7948717948717948,0.20512820512820512,0.0,0.9822666666666667,0.9861666666666666,0.8625370187561698,0.8621114948199309,0.13739516526887025,0.9995066600888012,0.9995066600888012,0.000493339911198816,0.0065,0.001666666634228765,0.001666666634228765,0.0551767660304904,0.13739516526887025,4052.0,3495.0,557.0,-972.7476149897939,-3.4460933429453626,952.3999999999571,1398.0000000000439,335.3858422907934,-1.595999999999996,3.766750836726794,0.0,0.0,-141.2924730221111,-445.6000000000042,-98.39999999999942,0.0,-3.0,-4.799999999999999,-1.8600000000000014,
attn_mappo,Attn+MAPPO,10,5.651974581850776,2.419331121637326,803.2273790276927,0.7555555555555555,0.24444444444444444,0.0,0.9800833333333333,0.9845833333333334,0.8658682634730539,0.8656609195402298,0.13409961685823754,0.9997605363984674,0.9997605363984674,0.00023946360153256704,0.0075,0.0033259586976345035,0.0033259586976345035,0.05079966196790338,0.13409961685823754,4175.0,3615.0,560.0,-994.5202043069121,-3.5876009768042656,997.9999999999549,1446.0000000000548,343.7683947283381,-1.7924999999999964,4.142773668423693,0.0,0.0,-125.53908310180091,-448.0000000000042,-59.99999999999979,0.0,-3.0,-6.599999999999998,-2.0400000000000014,
mappo_no_han,MAPPO (no HAN),1,-12.53827257177572,2.5793443320643292,732.9124097459086,0.7272727272727273,0.2727272727272727,0.0,0.9820833333333333,0.9848333333333333,0.8380365188522646,0.8380365188522646,0.16196348114773534,1.0,1.0,0.0,0.004583333333333333,0.00333333326845753,0.00333333326845753,0.08821548586711288,0.16196348114773534,4217.0,3534.0,683.0,-1044.3775784453492,-2.6442042830832735,867.1999999999533,1413.6000000000474,337.2325185259169,-1.6124999999999976,2.536733023195184,0.0,0.0,-201.88689144929236,-546.4000000000032,-168.00000000000065,0.0,-3.0,-4.499999999999999,-1.2000000000000008,
mappo_no_han,MAPPO (no HAN),2,-23.902627730583035,2.7496347135835912,878.7347233012383,0.7843137254901961,0.21568627450980393,0.0,0.9823666666666667,0.9849166666666667,0.8206043302403045,0.8204091341579448,0.17935299714557565,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00425,0.014977875995589807,0.014977875995589807,0.0950336679816246,0.17935299714557565,4203.0,3449.0,754.0,-1065.581793738544,-2.7561747829056173,776.3999999999602,1379.6000000000397,324.5409110695005,-1.587,2.5557840757675034,0.03310810542611686,0.0,-238.67089827386246,-603.1999999999999,-234.00000000000315,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
mappo_no_han,MAPPO (no HAN),3,-26.645028836840307,2.741827808428472,883.1552091064757,0.6491228070175439,0.3508771929824561,0.0,0.9840666666666666,0.9869166666666667,0.8191337458353165,0.8189388532000952,0.18082322150844635,0.9997620747085415,0.9997620747085415,0.00023792529145848205,0.00475,0.0033259586976345035,0.0033259586976345035,0.09074073837449154,0.18082322150844635,4202.0,3442.0,760.0,-1081.1544777030517,-2.811304932806706,768.7999999999569,1376.800000000039,317.73778237495384,-1.4339999999999984,2.3601018768099764,0.0,0.0,-249.73902877927407,-607.9999999999997,-251.70000000000383,0.0,-2.0,-5.999999999999998,-1.1100000000000008,
mappo_no_han,MAPPO (no HAN),4,-19.60026557572899,2.693053860861131,818.6608525039196,0.7450980392156863,0.2549019607843137,0.0,0.9847,0.98725,0.8284954039671021,0.8284954039671021,0.17150459603289792,1.0,1.0,0.0,0.00425,0.004999999902686294,0.004999999902686294,0.0879629607933263,0.17150459603289792,4134.0,3425.0,709.0,-1046.1931963031677,-2.6985312379052884,802.7999999999555,1370.0000000000375,322.2524508810399,-1.3769999999999967,2.4281409323346077,0.03199999740600588,0.0,-224.27913025042122,-567.200000000002,-211.2000000000023,0.0,-3.0,-3.899999999999999,-1.1450000000000007,
mappo_no_han,MAPPO (no HAN),5,-16.457224152598457,2.6153614119351665,730.9846454631428,0.8269230769230769,0.17307692307692307,0.0,0.97315,0.97575,0.826891154849419,0.8266951161688004,0.173067804646752,0.9997629208155524,0.9997629208155524,0.0002370791844476055,0.004333333333333333,0.006659291966092034,0.006659291966092034,0.07840908886864781,0.173067804646752,4217.0,3487.0,730.0,-1045.9596589842254,-2.606610520923941,810.7999999999563,1394.8000000000432,326.16081098675454,-2.416499999999997,2.6720655792796606,0.005637741322963358,0.0,-211.80542482620598,-584.000000000001,-151.80000000000004,0.0,-4.0,-2.6999999999999997,-1.2950000000000008,
mappo_no_han,MAPPO (no HAN),6,-20.0690849211886,2.714538738031847,790.9527559992127,0.6724137931034483,0.3275862068965517,0.0,0.97835,0.98125,0.8224735677403492,0.8222713864306784,0.17748279252704033,0.9997541789577188,0.9997541789577188,0.0002458210422812193,0.004833333333333334,0.00333333326845753,0.00333333326845753,0.08749999764064947,0.17748279252704033,4067.0,3345.0,722.0,-1012.2405513692734,-2.5900596453394593,760.399999999964,1338.0000000000302,321.085197924965,-1.9485000000000001,2.504942157270847,0.008000003070831296,0.0,-231.71405045587275,-577.6000000000014,-192.00000000000156,0.0,-3.0,-5.699999999999998,-1.1750000000000007,
mappo_no_han,MAPPO (no HAN),7,-18.03609972667676,2.6570935650341947,826.0329530413266,0.813953488372093,0.18604651162790697,0.0,0.9876833333333334,0.9898333333333333,0.834011002152595,0.834011002152595,0.16598899784740492,1.0,1.0,0.0,0.0035833333333333333,0.01328556814845544,0.01328556814845544,0.09027777553225556,0.16598899784740492,4181.0,3487.0,694.0,-1059.7327592173613,-2.8373871388706116,839.5999999999572,1394.8000000000432,325.177007712468,-1.1084999999999974,2.2223407714443772,0.0,0.0,-219.01862102170608,-555.2000000000027,-218.40000000000256,0.0,-2.0,-2.4,-1.0500000000000007,
mappo_no_han,MAPPO (no HAN),8,-22.82863893081713,2.7023500377656395,887.6391604006574,0.7547169811320755,0.24528301886792453,0.0,0.98885,0.9915,0.8257988165680473,0.8254080908445706,0.1741187603501301,0.9995268511947007,0.9995268511947007,0.0004731488052992666,0.004416666666666667,0.00333333326845753,0.00333333326845753,0.08745791030426821,0.1741187603501301,4225.0,3489.0,736.0,-1082.609831646451,-2.935730955171063,806.7999999999623,1395.6000000000433,328.2289564486489,-1.003499999999998,2.5589534823774365,0.0,0.0,-239.94652356034717,-588.8000000000008,-242.10000000000346,0.0,-2.0,-3.899999999999999,-1.2000000000000008,
mappo_no_han,MAPPO (no HAN),9,-7.795796322383977,2.590743407256632,710.9310917870029,0.7777777777777778,0.2222222222222222,0.0,0.9821333333333333,0.9848333333333333,0.8484698914116485,0.8480513073507647,0.1514553527380365,0.9995066600888012,0.9995066600888012,0.000493339911198816,0.0045,0.004999999902686294,0.004999999902686294,0.07992424024268985,0.1514553527380365,4052.0,3438.0,614.0,-997.8261701310366,-2.551783620232387,883.9999999999607,1375.2000000000387,323.2692621120066,-1.6079999999999965,2.6594630254872262,0.0,0.0,-178.82293119484606,-491.2000000000048,-145.4999999999998,0.0,-3.0,-3.599999999999999,-1.260000000000001,
mappo_no_han,MAPPO (no HAN),10,-11.038538992999738,2.6077606876822244,728.3749706708878,0.8181818181818182,0.18181818181818182,0.0,0.9801666666666666,0.9829166666666667,0.8425970292285577,0.8421934865900383,0.15732758620689655,0.9995210727969349,0.9995210727969349,0.0004789272030651341,0.004583333333333333,0.00333333326845753,0.00333333326845753,0.08257575550427039,0.15732758620689655,4174.0,3517.0,657.0,-1029.9239759570028,-2.6034696837118254,881.199999999958,1406.8000000000459,327.5104803546139,-1.7849999999999966,2.8389522269579546,0.009308293733840806,0.0,-189.50183618800315,-525.6000000000043,-165.90000000000057,0.0,-3.0,-2.9999999999999996,-1.3600000000000008,
min_distance,Min-Distance,1,-31.55192641670251,2.7863628734536166,648.7533916014233,0.7464788732394366,0.2535211267605634,0.0,0.9713666666666667,0.9749166666666667,0.8074003795066413,0.8070175438596491,0.19250829777145567,0.9995258416311048,0.9995258416311048,0.000474158368895211,0.005916666666666666,0.009970501522080484,0.009970501522080484,0.10753366770222783,0.19250829777145567,4216.0,3404.0,812.0,-1077.7668681776572,-1.6888389915901323,711.9999999999626,1361.6000000000356,310.24647824020445,-2.576999999999998,3.104800685895855,0.0,0.0,-264.03541940422474,-649.5999999999973,-253.20000000000388,0.0,-2.0,-5.399999999999999,-1.5900000000000012,1.0
min_distance,Min-Distance,2,-30.75574569428509,2.8445103276724533,670.4874735693294,0.6724137931034483,0.3275862068965517,0.0,0.9746833333333333,0.9775833333333334,0.8059995082370297,0.8058013765978368,0.193952802359882,0.9997541789577188,0.9997541789577188,0.0002458210422812193,0.004833333333333334,0.001666666634228765,0.001666666634228765,0.10572390339026848,0.193952802359882,4067.0,3278.0,789.0,-1039.1873670878272,-1.6723402850889033,679.9999999999618,1311.2000000000241,306.46491922127336,-2.2784999999999984,2.303901352445232,0.0,0.0,-258.8774792464688,-631.1999999999983,-251.70000000000383,0.0,-2.0,-5.699999999999998,-1.1700000000000008,1.0
