method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,True,10,-17.72726173302201,3.331735035676449,2.6472581878069152,942.2563871614917,0.7618103743780997,0.23818962562190027,0.0,0.9841700000000001,0.9867000000000001,0.8310259357739692,0.8308847979425549,0.1689459489318778,0.9998307468744325,0.9998307468744325,0.0001692531255674346,0.1689459489318778,0.004216666666666667,0.005324869451583067,0.005324869451583067,0.07625420671266814,0.2260963136560268,0.001,0.0,0.780783474445343,-1042.7594735113212,-3.352801495368003,821.7199999999584,1385.240000000041,331.08794433479693,-1.4246999999999974,2.448451210674599,0.014381682898470255,0.0,-221.10236567040215,-563.5200000000023,-206.1900000000021,0.0,-2.8,-3.6599999999999993,-1.1555000000000009,avg_delay,-2.6472581878069152,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_g1_300k_600s_u20_20260603_201842/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,10,-8.396917483309107,7.7887726735859,2.5514601706044884,914.9777620911105,0.7697036157979416,0.2302963842020585,0.0,0.9837383333333334,0.9872333333333334,0.8442380450332709,0.8441146667325509,0.15574002650203514,0.9998546932345859,0.9998546932345859,0.00014530676541417792,0.15574002650203514,0.0058249999999999994,0.002994837742035658,0.002994837742035658,0.06454124400392175,0.21954548471329074,0.0028333333333333335,0.0,0.7553213834762573,-1023.5017549577587,-3.5625340446483214,887.7599999999568,1407.280000000046,338.3020884009598,-1.4635499999999975,3.3231181040753706,0.006510810283212274,0.0,-182.98778425319125,-519.5200000000038,-148.35000000000073,0.0,-2.8,-4.859999999999998,-1.6125000000000012,avg_delay,-2.5514601706044884,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiseed_u20_reeval_20260604_171158/seed_46/learned_baselines/attn_mappo/training_history.json,attn_mappo_checkpoint_eval
mappo_no_han,MAPPO (no HAN),False,10,-17.89115777615927,5.695756549563588,2.6651708562643224,798.8378772019771,0.7569774234486443,0.24302257655135567,0.0,0.9823550000000001,0.985,0.8306511460845604,0.8304510299714855,0.16930855901509156,0.9997595889865771,0.9997595889865771,0.00024041101342300668,0.16930855901509156,0.0044083333333333335,0.006158202768697449,0.006158202768697449,0.08680976211093366,0.1916965533696432,0.000525,0.0,0.8626230359077454,-1046.5599993495464,-2.703525680095017,819.7999999999586,1384.520000000041,325.31953783908676,-1.588049999999998,2.533747715092477,0.008805414095975819,0.0,-218.5385335999831,-564.7200000000018,-198.0600000000018,0.0,-2.8,-3.8999999999999995,-1.2000000000000008,avg_delay,-2.6651708562643224,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiseed_u20_reeval_20260604_171158/seed_46/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_checkpoint_eval
min_distance,Min-Distance,False,10,-30.90716266188438,2.9349900640084323,2.8174691001836565,688.1969913377194,0.735961096786731,0.2640389032132689,0.0,0.9776283333333333,0.9805333333333334,0.8120986459545803,0.8117466409303603,0.18782053049549619,0.9995671714258565,0.9995671714258565,0.0004328285741435877,0.18782053049549619,0.004841666666666666,0.011119942390526731,0.011119942390526731,0.10821548578950266,0.1653246670040405,0.004841666666666667,0.0,1.0,-1076.813854951522,-1.738119077636615,726.3199999999617,1352.1600000000335,308.5641899660014,-2.0134499999999997,2.52290445293711,0.007020770978219973,0.0,-261.21429965021133,-625.8399999999986,-267.4800000000044,0.0,-2.1,-4.619999999999999,-1.2830000000000008,avg_delay,-2.8174691001836565,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
random,Random,False,10,-146.34529385744457,8.389792014365298,3.137036427059882,399.37875435096333,0.7390936979011838,0.26090630209881605,0.0010377792243150608,0.37504666666666686,0.7261833333333334,0.661332211233803,0.6596559460969489,0.33780760361372,0.997463549710669,0.997463549710669,0.002536450289331027,0.33780760361372,0.585325,0.014784770882997825,0.014784770882997825,0.0888678431045264,0.0961454908281286,0.58455,0.0,1.0,-1110.186654284409,-1.1657334057721878,-27.079999999997845,1098.679999999976,231.68541567726373,-56.24579999999999,326.5674358773499,0.651317758480747,0.0,-425.99253539498767,-1125.7599999999704,-86.06999999999954,-7.85,-1.2,-544.9500000000087,-156.51550000000458,avg_delay,-3.137036427059882,2,Energy per Resolved Task | Active Load Balance,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,10,-124.67836381216728,4.604910503523132,4.2043473267051255,2069.1620176624688,0.836596367943411,0.16340363205658898,0.002040816326530612,0.9470216666666668,0.9492166666666666,0.5822209617722306,0.5819434375197521,0.4175760577194028,0.9995194952391548,0.9995194952391548,0.00048050476084514403,0.4175760577194028,0.003658333333333333,0.0,0.0,0.0,0.4970959802192117,0.00048333333333333334,0.96295,0.037045832723379135,-1333.7453580382535,-3.5437847466189987,-421.68000000002365,969.4399999999621,213.26354077450387,-4.76804999999999,2.3134145728371722,0.0,0.0,-850.2845092788687,-1391.119999999955,0.0,-0.05,-1.9,-2.1900000000000004,-1.0950000000000009,avg_delay,-4.2043473267051255,1,Handover Failure,,,,heuristic_eval
full_local,Full-Local,False,10,-127.45377434662696,4.796321684756926,4.212274095404679,2041.5996904010408,0.8328609399962422,0.16713906000375778,0.0,0.9335183333333333,0.9356333333333333,0.5734105835595986,0.573041739934284,0.42631124038309987,0.9993529803173837,0.9993529803173837,0.0006470196826161457,0.42631124038309987,0.0035249999999999995,0.0,0.0,0.0,0.4905568961509541,0.0,1.0,0.0,-1315.2062583546394,-3.4916591781284567,-465.64000000002363,954.5999999999628,210.06708730631917,-5.983349999999981,2.2622291144564786,0.0,0.0,-853.3565904227486,-1420.2399999999534,0.0,0.0,-1.7,-2.19,-1.0500000000000007,avg_delay,-4.212274095404679,1,Handover Frequency,,,,heuristic_eval
