method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority,HAN+MAPPO,True,10,404.0315731466602,8.800100345447781,2.226986544724478,1317.724780291535,0.8076144722095162,0.19238552779048382,0.0,0.9791640000000001,0.982005,0.5400636548444713,0.9998215921982669,0.0001784078017328894,0.45985416795009526,0.16384210340471,0.6134051029526024,0.14680698094804254,effective_latency_score,0.16384210340471,2,Average Delay | Task Resolution,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_20260508_234536/training_history.json,checkpoint_eval
mappo_no_han,MAPPO (no HAN),False,10,400.5390408986773,8.546211541472527,2.2406620648448223,1602.9949326829028,0.8816762463426366,0.11832375365736328,0.0,0.9701079999999997,0.98119,0.5386242154985748,0.9998215921982669,0.0001784078017328894,0.4612933432786619,0.16121116945839298,0.5785301318418787,0.17858876911317004,effective_latency_score,0.16121116945839298,1,Task Resolution,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260508_234536/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
min_distance,Min-Distance,False,10,389.30459705748785,9.31380381803525,2.2781997142966413,821.5673052231884,0.7775688944996336,0.22243110550036632,0.0,0.97958,0.9823999999999999,0.5335412127443162,0.9998107087255086,0.0001892912744912677,0.46637031689881175,0.1594005299617108,0.6909960484368577,0.09153137382998602,effective_latency_score,0.1594005299617108,2,Service Continuity | Service Availability,1.0,min_distance(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,10,319.89183919723695,12.97276347824201,3.866393553871254,3861.555789234302,0.8288650786069631,0.1711349213930368,0.0,0.897306,0.899415,0.5467857919250465,0.9996547020899357,0.0003452979100643496,0.4530579196376854,0.10081238767505243,0.5605816876969223,0.4302856780658654,effective_latency_score,0.10081238767505243,1,Task Completion,,,,heuristic_eval
full_local,Full-Local,False,10,235.1511638726392,8.710532247773031,3.89896686123,3593.223236190798,0.8468578086237073,0.15314219137629262,0.0,0.8335500000000001,0.8355,0.5070212933074922,0.9996547020899357,0.0003452979100643496,0.49280854931780677,0.08625204995981378,0.6657324999999996,0.40038590169713834,effective_latency_score,0.08625204995981378,0,,,,,heuristic_eval
maddpg,MADDPG,False,10,235.1511638726392,8.710532247773031,3.89896686123,3593.223236190798,0.8468578086237073,0.15314219137629262,0.0,0.8335500000000001,0.8355,0.5070212933074922,0.9996547020899357,0.0003452979100643496,0.49280854931780677,0.08625204995981378,0.6657324999999996,0.40038590169713834,effective_latency_score,0.08625204995981378,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260508_234536/learned_baselines/maddpg/training_history.json,maddpg_train_eval
dqn,DQN,False,10,239.7588411133686,25.875265803126805,3.540174355734448,3262.852974426286,0.8230841651495637,0.17691583485043633,0.00027241626758210425,0.6696729999999976,0.867835,0.5041601892003807,0.9994760820903374,0.0005239179096625965,0.4955800876802641,0.07439208405126778,0.5736313186441622,0.3636382148745415,effective_latency_score,0.07439208405126778,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260508_234536/learned_baselines/dqn/training_history.json,dqn_train_eval
random,Random,False,10,160.49720066892525,9.924318720013988,2.5377520999829115,867.3463642136616,0.7839745779233749,0.21602542207662517,0.0009800351465547438,0.42563299999999804,0.7737749999999999,0.45895901008305984,0.9989964132627165,0.0010035867372834195,0.5404978033957243,0.05516918337438781,0.5035301470504083,0.09671030431105107,effective_latency_score,0.05516918337438781,0,,1.0,random(best_offload=1.00),,heuristic_eval
