method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,True,10,-17.727261739045584,3.331735033824381,2.64725818806941,942.256387013241,0.7618103743780997,0.23818962562190027,0.0,0.9841700000000001,0.9867000000000001,0.8310259357739692,0.8308847979425549,0.1689459489318778,0.9998307468744325,0.9998307468744325,0.0001692531255674346,0.1689459489318778,0.004216666666666667,0.005324869451583067,0.005324869451583067,0.07625420671266814,0.22609631362045376,0.001,0.0,0.780783474445343,-1042.7594735814955,-3.352801494634774,821.7199999999584,1385.240000000041,331.0879442847232,-1.4246999999999974,2.448451210674599,0.014381682898470255,0.0,-221.10236567060483,-563.5200000000023,-206.1900000000021,0.0,-2.8,-3.6599999999999993,-1.1555000000000009,avg_delay,-2.64725818806941,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_g1_300k_600s_u20_20260603_201842/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,10,-8.396917483309107,7.7887726735859,2.5514601706044884,914.9777620911105,0.7697036157979416,0.2302963842020585,0.0,0.9837383333333334,0.9872333333333334,0.8442380450332709,0.8441146667325509,0.15574002650203514,0.9998546932345859,0.9998546932345859,0.00014530676541417792,0.15574002650203514,0.0058249999999999994,0.002994837742035658,0.002994837742035658,0.06454124400392175,0.21954548471329074,0.0028333333333333335,0.0,0.7553213834762573,-1023.5017549577587,-3.5625340446483214,887.7599999999568,1407.280000000046,338.3020884009598,-1.4635499999999975,3.3231181040753706,0.006510810283212274,0.0,-182.98778425319125,-519.5200000000038,-148.35000000000073,0.0,-2.8,-4.859999999999998,-1.6125000000000012,avg_delay,-2.5514601706044884,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiseed_u20_reeval_20260604_171158/seed_43/learned_baselines/attn_mappo/training_history.json,attn_mappo_checkpoint_eval
mappo_no_han,MAPPO (no HAN),False,10,-17.89115777615927,5.695756549563588,2.6651708562643224,798.8378772019771,0.7569774234486443,0.24302257655135567,0.0,0.9823550000000001,0.985,0.8306511460845604,0.8304510299714855,0.16930855901509156,0.9997595889865771,0.9997595889865771,0.00024041101342300668,0.16930855901509156,0.0044083333333333335,0.006158202768697449,0.006158202768697449,0.08680976211093366,0.1916965533696432,0.000525,0.0,0.8626230359077454,-1046.5599993495464,-2.703525680095017,819.7999999999586,1384.520000000041,325.31953783908676,-1.588049999999998,2.533747715092477,0.008805414095975819,0.0,-218.5385335999831,-564.7200000000018,-198.0600000000018,0.0,-2.8,-3.8999999999999995,-1.2000000000000008,avg_delay,-2.6651708562643224,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiseed_u20_reeval_20260604_171158/seed_43/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_checkpoint_eval
min_distance,Min-Distance,False,10,-32.21464809728307,3.9631563504187866,2.8291327257558203,709.5663364537681,0.7448006266405056,0.2551993733594944,0.0,0.9808133333333334,0.9837083333333332,0.8109511679006018,0.8106564009315725,0.18898173588306916,0.9996381368146418,0.9996381368146418,0.0003618631853582468,0.18898173588306916,0.004825,0.00931402133935801,0.00931402133935801,0.10976430739896992,0.17052374046616714,0.004816666666666667,0.0,1.0,-1085.1249691833361,-1.7564849068750177,720.1599999999612,1349.6800000000328,308.31452640124314,-1.726799999999999,2.544035602168706,0.023503228503152257,0.0,-263.8679953110433,-629.5199999999984,-280.20000000000493,0.0,-4.0,-4.469999999999999,-1.295500000000001,avg_delay,-2.8291327257558203,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
random,Random,False,10,-146.68175300622278,10.732197595270428,3.1357034081534687,402.5553433045296,0.7408202207320004,0.25917977926799945,0.0007784309526640776,0.37597833333333325,0.7291083333333334,0.6594984442070339,0.6581501076671019,0.3398092735275242,0.9979593811946259,0.9979593811946259,0.0020406188053739612,0.3398092735275242,0.5886083333333334,0.01729166501938678,0.01729166501938678,0.0888425904667626,0.096905549530471,0.587775,0.0,1.0,-1111.096482298685,-1.1621082067167818,-36.35999999999475,1095.639999999975,232.84988791132986,-56.16195000000001,331.3351770976856,0.5639224690643219,0.0,-426.1113604226201,-1131.99999999997,-88.49999999999952,-7.45,-3.1,-544.4100000000087,-157.7920000000046,avg_delay,-3.1357034081534687,2,Energy per Resolved Task | Active Load Balance,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,10,-131.20534580286,6.502984333802858,4.226443772429668,2016.2205900964677,0.8189030072457332,0.18109699275426688,0.0022727272727272726,0.9185666666666666,0.9208666666666666,0.56345757177844,0.5630563368336364,0.4362236031172541,0.9992799399508904,0.9992799399508904,0.0007200600491096052,0.4362236031172541,0.0038333333333333336,0.0,0.0,0.0,0.4847150182941791,0.00065,0.94225,0.05767916515469551,-1299.6400555688263,-3.4342902115508958,-515.3600000000229,937.4399999999639,207.03339127787967,-7.32900000000001,2.423313725653405,0.0,0.0,-862.989642778222,-1452.799999999952,0.0,-0.05,-3.8,-2.4899999999999998,-1.1280000000000008,avg_delay,-4.226443772429668,0,,,,,heuristic_eval
full_local,Full-Local,False,10,-136.25881725257184,10.350568511200429,4.238475192366066,1957.640513045974,0.8293383732992193,0.17066162670078056,0.0,0.8928633333333333,0.8949833333333335,0.54674195988264,0.5461536232803385,0.45276706156568236,0.9989206848460208,0.9989206848460208,0.0010793151539791378,0.45276706156568236,0.0035333333333333336,0.0,0.0,0.0,0.47080169140856976,0.0,1.0,0.0,-1260.8920885854131,-3.328563028933788,-598.8800000000135,909.1999999999655,201.02615398701215,-9.642300000000029,2.298044822155803,0.0,0.0,-868.4249081345921,-1508.0799999999485,0.0,0.0,-3.1,-2.2199999999999998,-1.0500000000000007,avg_delay,-4.238475192366066,2,Handover Failure | Handover Frequency,,,,heuristic_eval
