num_users,method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
20,joint_greedy,Joint Greedy,False,3,-130.67697358186265,6.197999283968563,4.2181705995989365,2083.835125359701,0.7664970706136294,0.23350292938637063,0.0,0.9406499999999999,0.9430000000000001,0.5677929450078283,0.5675693222604994,0.43203469990848414,0.9996040221689836,0.9996040221689836,0.0003959778310164324,0.43203469990848414,0.003916666666666666,0.0,0.0,0.0,0.4954041822711074,0.00047222222222222224,0.9578333333333333,0.0421319454908371,-1343.8218229983079,-3.491853704109585,-499.06666666669116,955.3333333332962,212.39621985479707,-5.341499999999967,2.298318447273101,0.0,0.0,-869.4070722519991,-1454.3999999999517,0.0,0.0,-2.6666666666666665,-3.2999999999999994,-1.0800000000000007,avg_delay,-4.2181705995989365,0,,,,,heuristic_eval
20,full_local,Full-Local,False,3,-133.78972067648672,4.625058659993488,4.222776528635116,2041.7499981940825,0.774074074074074,0.22592592592592595,0.0,0.9220055555555554,0.9242222222222223,0.5571692621618775,0.5566389965011568,0.44241067540655926,0.999049671907716,0.999049671907716,0.00095032809228396,0.44241067540655926,0.0036944444444444446,0.0,0.0,0.0,0.4856684106075363,0.0,1.0,0.0,-1316.5794908990456,-3.4255455597058133,-552.4000000000225,936.9333333332974,208.30328527813427,-7.019499999999998,2.218024995781644,0.0,0.0,-868.625480652836,-1489.333333333283,0.0,0.0,-2.6666666666666665,-2.9999999999999996,-1.0300000000000007,avg_delay,-4.222776528635116,2,Handover Failure | Handover Frequency,,,,heuristic_eval
30,han_mappo_latency_priority_multiuser_u30,HAN+MAPPO,True,3,-27.434292034071103,10.200751953486888,2.7366565225673334,1522.3491298247457,0.7870824185080858,0.21291758149191428,0.0015209086533045195,0.9718629629629629,0.9857962962962962,0.8200607982369018,0.8199297090840229,0.17991245106752207,0.9998421601515449,0.9998421601515449,0.00015783984845508397,0.17991245106752207,0.023222222222222224,0.04657402348704065,0.04657402348704065,0.10784230923487081,0.24198841675802665,0.019333333333333334,0.0,0.7936273217201233,-1616.0702069841825,-5.066762941960118,1158.7999999999981,2063.866666666862,486.4340312095172,-2.532333333333329,21.922858779115355,0.028965370102919923,0.0,-372.54262670075803,-905.0666666666494,-378.3000000000086,-0.5,-3.0,-26.30000000000004,-9.89166666666665,avg_delay,-2.7366565225673334,2,Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u30_multiuser_6_7/training_history.json,checkpoint_eval
30,attn_mappo,Attn+MAPPO,False,3,-39.81515597331,2.9342929087708307,2.7182812607558966,1449.1428821953225,0.7344247346843772,0.26557526531562275,0.00025480298612090574,0.8810148148148148,0.9572037037037037,0.8100286927605139,0.8098572901264763,0.18993132250164144,0.9997886126281178,0.9997886126281178,0.0002113873718821255,0.18993132250164144,0.1269814814814815,0.06211365710565353,0.06211365710565353,0.10888046840619708,0.23036395965377104,0.1252037037037037,0.0,0.7789727449417114,-1619.366645583502,-4.986627695302965,1082.2666666666412,2038.2666666668558,479.66405312565166,-10.708666666666653,95.44591519029446,0.023474188310008883,0.0,-368.2276500852774,-955.9999999999799,-300.0000000000056,-0.5,-3.3333333333333335,-181.60000000000127,-50.38833333333448,avg_delay,-2.7182812607558966,1,Average Delay,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u30/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
30,pdqn,PDQN,False,3,-43.00178354495272,7.030871104077274,2.877094222621776,1099.7827807363044,0.7437064230192503,0.25629357698074967,0.0034618296988473524,0.9317333333333332,0.9628333333333333,0.7943727714769935,0.7937418911504874,0.20546509049875902,0.9992069816492464,0.9992069816492464,0.0007930183507536044,0.20546509049875902,0.051833333333333335,0.11075740153743563,0.11075740153743563,0.15246913277854524,0.17492966132277785,0.050055555555555555,0.015555555555555555,0.966031551361084,-1638.8151803123183,-2.829413664842398,963.999999999956,1997.8666666668469,450.16167674860367,-6.143999999999999,44.77769678260978,0.059259209573906124,0.0,-427.4877190658567,-1033.8666666666422,-396.10000000000923,-4.166666666666667,-2.6666666666666665,-68.9999999999997,-20.908333333333374,avg_delay,-2.877094222621776,1,Active Load Balance,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u30/learned_baselines/pdqn/training_history.json,pdqn_train_eval
30,maddpg,MADDPG,False,3,-47.70745194746667,7.520413106926072,2.9522171932999535,1245.8043079775887,0.7074933561529955,0.2925066438470046,0.0,0.9503296296296296,0.9642962962962963,0.7819325972714978,0.7816425930814025,0.21798648061481818,0.9996290736962208,0.9996290736962208,0.00037092630377921244,0.21798648061481818,0.023277777777777776,0.08584476783042,0.08584476783042,0.1423260351229045,0.198071594887528,0.020370370370370372,0.018537037037037036,0.9724148511886597,-1658.5744416266018,-3.0808485220736763,870.6666666666125,1967.46666666684,442.0706737026132,-4.47033333333331,17.530623063324402,0.03959447882572645,0.0,-458.544150409305,-1096.799999999972,-455.9000000000072,0.0,-3.6666666666666665,-36.59999999999994,-8.948333333333295,avg_delay,-2.9522171932999535,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u30/learned_baselines/maddpg/training_history.json,maddpg_train_eval
30,mappo_no_han,MAPPO,False,3,-53.41939731955737,3.0533419377216897,2.994214754313313,2013.34718703759,0.751268874508311,0.24873112549168885,0.0,0.9878148148148148,0.9903148148148149,0.7814407213409761,0.7814407213409761,0.21855927865902394,1.0,1.0,0.0,0.21855927865902394,0.004166666666666667,0.015522426281624065,0.015522426281624065,0.09015151263318129,0.3199852490523824,0.000462962962962963,0.0,0.7086368203163147,-1702.568309055571,-5.84752406552131,866.3999999999497,1966.6666666668398,462.3160103405099,-1.096666666666666,3.589564628481696,0.0034972676057857407,0.0,-530.8987614022631,-1100.2666666666385,-649.6999999999929,0.0,-3.6666666666666665,-5.599999999999999,-1.6933333333333345,avg_delay,-2.994214754313313,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u30/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
30,min_distance,Min-Distance,False,3,-64.04184252580923,2.0482686576549383,3.124586364006451,1626.845407326941,0.7122815456148789,0.287718454385121,0.0,0.9874037037037038,0.9903703703703703,0.767625457283569,0.7675447278464876,0.23234987619010025,0.9998946040365878,0.9998946040365878,0.00010539596341207997,0.23234987619010025,0.004944444444444444,0.050975056552730935,0.050975056552730935,0.1393658781424165,0.25858515534496257,0.004944444444444444,0.0,1.0,-1752.5242099121963,-3.393199974252397,762.1333333332801,1931.7333333334984,437.9114632191657,-1.1336666666666666,3.736411830232232,0.0,0.0,-581.4335843930235,-1169.5999999999678,-738.4999999999794,0.0,-3.6666666666666665,-7.699999999999998,-1.9000000000000012,avg_delay,-3.124586364006451,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
30,random,Random,False,3,-184.13590616845477,2.598171502498653,3.438349016705198,1017.9598631988437,0.7120234659255623,0.28797653407443774,0.000845383697882026,0.3535037037037041,0.7070370370370371,0.6080659007609645,0.6066525989158259,0.3910223144969344,0.9976749134127605,0.9976749134127605,0.002325086587239593,0.3910223144969344,0.5892222222222223,0.07478564580353464,0.07478564580353464,0.13929573258178102,0.1621643792266637,0.5883888888888889,0.0,1.0,-1768.9223495955177,-2.0931866813918893,-441.46666666672314,1526.8000000000732,315.99202866593464,-58.184666666666665,475.86253054875425,0.7520489465541754,0.0,-839.7563475829301,-1968.2666666665891,-367.0000000000082,-11.333333333333334,-2.0,-909.3999999999534,-227.83333333334022,avg_delay,-3.438349016705198,1,Energy per Resolved Task,1.0,random(best_offload=1.00),,heuristic_eval
30,joint_greedy,Joint Greedy,False,3,-127.37585817259259,5.8559517069318,4.200292340034895,3123.434910713218,0.8241983360508383,0.17580166394916175,0.004830917874396135,0.9483,0.9505,0.575256733195579,0.574921177508769,0.4244949842355914,0.9994161617443605,0.9994161617443605,0.000583838255639554,0.4244949842355914,0.0036666666666666666,0.0,0.0,0.0,0.49670313979006914,0.00035185185185185184,0.9630740740740741,0.03687962889671326,-2020.1608730158148,-5.286602321119086,-690.2666666666946,1446.800000000055,320.3012709636025,-4.6529999999999765,3.456841504745659,0.0,0.0,-1280.9835447860814,-2137.0666666666057,0.0,-0.16666666666666666,-3.6666666666666665,-3.4,-1.6300000000000014,avg_delay,-4.200292340034895,1,Handover Failure,,,,heuristic_eval
