seed,method,avg_delay,task_success_rate,deadline_violation_rate,service_continuity_rate,handover_failure_rate,handover_frequency,energy_per_resolved_task,active_load_balance_score,mec_activity_score,mean_offload_ratio
42,han_mappo_latency_priority_g1_300k_600s_u20,2.6472581878763957,0.8308847979425549,0.1689459489318778,0.9841700000000001,0.23818962562190027,0.004216666666666667,0.22609631358746785,0.005324869451583067,0.07625420671266814,0.780783474445343
42,attn_mappo,2.5514601706044884,0.8441146667325509,0.15574002650203514,0.9837383333333334,0.2302963842020585,0.0058249999999999994,0.21954548471329074,0.002994837742035658,0.06454124400392175,0.7553213834762573
42,mappo_no_han,2.6651708562643224,0.8304510299714855,0.16930855901509156,0.9823550000000001,0.24302257655135567,0.0044083333333333335,0.1916965533696432,0.006158202768697449,0.08680976211093366,0.8626230359077454
42,min_distance,2.779600364879085,0.8190701293514632,0.1806179909863107,0.9842366666666666,0.27444125983423295,0.004966666666666667,0.15893351796046287,0.016294289499201565,0.10995791008075077,1.0
42,random,3.1059297502390217,0.6664932473064565,0.3317056723263935,0.3794966666666668,0.25941038206734435,0.5913166666666666,0.0946721890427078,0.02044455079641105,0.08801346590432028,1.0
42,joint_greedy,4.213608093490715,0.5758256545577147,0.4235496186175598,0.9400283333333335,0.1972850176209076,0.0038000000000000004,0.4938682481394452,0.0,0.0,0.04286041483283043
42,full_local,4.223679833726022,0.5650549189479819,0.4339625149299827,0.9236666666666666,0.18180336875871445,0.0035833333333333333,0.48567282888318447,0.0,0.0,0.0
43,han_mappo_latency_priority_g1_300k_600s_u20,2.64725818806941,0.8308847979425549,0.1689459489318778,0.9841700000000001,0.23818962562190027,0.004216666666666667,0.22609631362045376,0.005324869451583067,0.07625420671266814,0.780783474445343
43,attn_mappo,2.5514601706044884,0.8441146667325509,0.15574002650203514,0.9837383333333334,0.2302963842020585,0.0058249999999999994,0.21954548471329074,0.002994837742035658,0.06454124400392175,0.7553213834762573
43,mappo_no_han,2.6651708562643224,0.8304510299714855,0.16930855901509156,0.9823550000000001,0.24302257655135567,0.0044083333333333335,0.1916965533696432,0.006158202768697449,0.08680976211093366,0.8626230359077454
43,min_distance,2.8291327257558203,0.8106564009315725,0.18898173588306916,0.9808133333333334,0.2551993733594944,0.004825,0.17052374046616714,0.00931402133935801,0.10976430739896992,1.0
43,random,3.1357034081534687,0.6581501076671019,0.3398092735275242,0.37597833333333325,0.25917977926799945,0.5886083333333334,0.096905549530471,0.01729166501938678,0.0888425904667626,1.0
43,joint_greedy,4.226443772429668,0.5630563368336364,0.4362236031172541,0.9185666666666666,0.18109699275426688,0.0038333333333333336,0.4847150182941791,0.0,0.0,0.05767916515469551
43,full_local,4.238475192366066,0.5461536232803385,0.45276706156568236,0.8928633333333333,0.17066162670078056,0.0035333333333333336,0.47080169140856976,0.0,0.0,0.0
44,han_mappo_latency_priority_g1_300k_600s_u20,2.6472581880363686,0.8308847979425549,0.1689459489318778,0.9841700000000001,0.23818962562190027,0.004216666666666667,0.22609631360559468,0.005324869451583067,0.07625420671266814,0.780783474445343
44,attn_mappo,2.5514601706044884,0.8441146667325509,0.15574002650203514,0.9837383333333334,0.2302963842020585,0.0058249999999999994,0.21954548471329074,0.002994837742035658,0.06454124400392175,0.7553213834762573
44,mappo_no_han,2.6651708562643224,0.8304510299714855,0.16930855901509156,0.9823550000000001,0.24302257655135567,0.0044083333333333335,0.1916965533696432,0.006158202768697449,0.08680976211093366,0.8626230359077454
44,min_distance,2.790552447819503,0.8153984076415538,0.18409880605466297,0.9758416666666667,0.28055004832908514,0.005,0.15786215731576925,0.017447633011441387,0.10923821311444044,1.0
44,random,3.1103504909206956,0.6609132421954917,0.3368623326821736,0.37403166666666665,0.2572593268677751,0.5881833333333334,0.09145837172226572,0.017442107064077665,0.08719696758314968,1.0
44,joint_greedy,4.214125249141435,0.5653512159813291,0.4340029159318023,0.9186016666666665,0.17223896943065825,0.0035666666666666668,0.48271439283380785,0.0,0.0,0.057602085173130035
44,full_local,4.230706700319489,0.5421067274375664,0.45676675831418423,0.8813116666666667,0.158298976821215,0.003258333333333333,0.4637870904939934,0.0,0.0,0.0
45,han_mappo_latency_priority_g1_300k_600s_u20,2.6472581879676236,0.8308847979425549,0.1689459489318778,0.9841700000000001,0.23818962562190027,0.004216666666666667,0.2260963135959352,0.005324869451583067,0.07625420671266814,0.780783474445343
45,attn_mappo,2.5514601706044884,0.8441146667325509,0.15574002650203514,0.9837383333333334,0.2302963842020585,0.0058249999999999994,0.21954548471329074,0.002994837742035658,0.06454124400392175,0.7553213834762573
